State_Name,Year,Polling_Date,Seat,Poll,District,LB_Name,LB_Type,LB_Code,Ward_No,Ward_Name,Ward_Reservation,OSN,Candidate_Name,Father_Husband_Name,Candidate_Name_O,Father_Husband_Name_O,Gender,Age,Category,Party_ID,Party_Name,Party_Abbreviation,Education,Votes,Position,Status,N_Cand,Valid_Votes,Vote_Share_Percentage,Deposit_Lost,Total_Electors,Total_Votes,Rejected_Votes,Voter_Turnout_Percentage,Notes,Affidavit 
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,1,NARELA,Women,,SWETA KHATRI,KAMAL KHATRI,,,Female,38,,,AAM AADMI PARTY,,Graduate,15929,1,,4,27874,57.146,,51678,27874,0,53.938,,ward1_6248_1668416032_SWETAKHATRI_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,1,NARELA,Women,,KESHRANI NEEL DAMAN KHATRI,NEEL DAMAN KHATRI,,,Female,41,,,BHARATIYA JANATA PARTY,,Inter,10960,2,,4,27874,39.32,,51678,27874,0,53.938,,ward1_6248_1668445450_KESHRANINEELDAMANKHATRI_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,1,NARELA,Women,,NIRMALA,DILBAG SINGH,,,Female,62,,,INDIAN NATIONAL CONGRESS,,Higher,546,3,,4,27874,1.959,,51678,27874,0,53.938,,ward1_6248_1668444993_NIRMALA_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,1,NARELA,Women,,USHA DEVI,CHAND RAM,,,Female,45,,,NATIONALIST CONGRESS PARTY,,Higher,117,4,,4,27874,0.42,,51678,27874,0,53.938,,ward1_6248_1668445798_USHADEVI_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,1,NARELA,Women,,NOTA,,,,,,,,,,,322,5,,4,27874,1.155,,51678,27874,0,53.938,,
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,DINESH KUMAR,PREM SINGH,,,Male,43,,,AAM AADMI PARTY,,Inter,10765,1,,6,25147,42.801,,43803,25151,4,57.418,,ward2_6248_1668424390_DINESHKUMAR_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,VINOD BHARDWAJ,HARI PRAKASH,,,Male,52,,,BHARATIYA JANATA PARTY,,Inter,10387,2,,6,25147,41.299,,43803,25151,4,57.418,,ward2_6248_1668438336_VINODBHARDWAJ_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,ANAND KUMAR KHATREE,NARESH KUMAR,,,Male,37,,,INDIAN NATIONAL CONGRESS,,Inter,2486,3,,6,25147,9.884,,43803,25151,4,57.418,,ward2_6248_1668438770_ANANDKUMARKHATREE_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,pratap singh,PREM SHANKAR,,,Male,40,,,INDEPENDENT,,Inter,850,4,,6,25147,3.38,,43803,25151,4,57.418,,ward2_6248_1668437943_PRATAPSINGH_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,NEELAM KHATRI,NARESH PAL KHATRI,,,Female,49,,,BAHUJAN SAMAJ PARTY,,Graduate,361,5,,6,25147,1.435,,43803,25151,4,57.418,,ward2_6248_1668417335_NEELAMKHATRI_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,ANIL KUMAR SINGH,SHARDA NAND SINGH,,,Male,36,,,Communist Party of India (Marxist-Leninist) (Liberation),,Inter,159,6,,6,25147,0.632,,43803,25151,4,57.418,,ward2_6248_1668449023_ANILKUMARSINGH_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,2,BANKNER,Unreserved,,NOTA,,,,,,,,,,,139,7,,6,25147,0.553,,43803,25151,4,57.418,,
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,NEHA,BABU LAL,,,Female,38,,,AAM AADMI PARTY,,Higher,15631,1,,9,28644,54.562,,56201,28648,4,50.974,,ward3_6248_1668421805_NEHA_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,ARCHANA,BHAWANI SINGH,,,Female,35,,,BHARATIYA JANATA PARTY,,Postgraduate,7490,2,,9,28644,26.145,,56201,28648,4,50.974,,ward3_6248_1668680417_ARCHANA_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,sushila devi,MANGE RAM,,,Female,31,,,INDEPENDENT,,Graduate,1541,3,,9,28644,5.379,,56201,28648,4,50.974,,ward3_6248_1668447824_SUSHILADEVI_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,MONIKA CHAUDHARY,PURAN LAL CHAUDHARY,,,Female,21,,,INDIAN NATIONAL CONGRESS,,Inter,1137,4,,9,28644,3.969,,56201,28648,4,50.974,,ward3_6248_1668447482_MONIKACHAUDHARY_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,usha,RASHTRAPAL,,,Female,35,,,INDEPENDENT,,Middle,977,5,,9,28644,3.41,,56201,28648,4,50.974,,ward3_6248_1668446351_USHA_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,RITU,DHARAMPAL,,,Female,33,,,BAHUJAN SAMAJ PARTY,,Graduate,608,6,,9,28644,2.122,,56201,28648,4,50.974,,ward3_6248_1668444738_RITU_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,sonika,PRADIP SHARMA,,,Female,25,,,INDEPENDENT,,Graduate,597,7,,9,28644,2.084,,56201,28648,4,50.974,,ward3_6248_1668600127_SONIKA_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,SHABNAM,ABDUL KALAN,,,Female,31,,,COMMUNIST PARTY OF INDIA (MARXIST),,Middle,260,8,,9,28644,0.908,,56201,28648,4,50.974,,ward3_6248_1668429390_SHABNAM_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,anchal,LALIT KUMAR,,,Female,34,,,INDEPENDENT,,Graduate,170,9,,9,28644,0.593,,56201,28648,4,50.974,,ward3_6248_1668449690_ANCHAL_file.pdf
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,3,HOLAMBI KALAN,Women,,NOTA,,,,,,,,,,,233,10,,9,28644,0.813,,56201,28648,4,50.974,,
Delhi,2022,04-12-2022,,0,Delhi,Delhi Municipal Corporation,MC,1,4,ALIPUR,Unreserved,,YOGESH,JAI KARAN,,,Male,38,,,BHARATIYA JANATA PARTY,,Inter,14929,1,,7,37751,39.546,,67686,37751,0,55.774,,ward4_6248_1668450685_YOGESH_file.pdf
