source_id,state,path,sha256,bytes,requested_url,final_url,retrieved_utc,http_status,content_type,acquired,artifact_status,parent_url,discovery
bihar_sharan_kumar_paper,Bihar,data/source_search/early_heads/raw/bihar_sharan_kumar_paper.pdf,18ad55bcb8c1a4c1a0b8ee334c5bada4c5d1a11ea5c0b058cc271694da54c0c9,1001691,https://chinmayakumar.com/research/reservation_paper.pdf,https://chinmayakumar.com/research/reservation_paper.pdf,2026-09-08T05:02:49.626765+00:00,200,application/pdf,True,acquired_source,,"Author paper: source chronology and no-Mukhiya-reservation2001 claim, not raw roster"
mp_fao_case_study,Madhya Pradesh,data/source_search/early_heads/raw/mp_fao_case_study.html,314bdb6dbcaeb55ffcfcbb851b94150ef29596790f2cd3a53078b87cbf2959c4,140060,https://www.fao.org/4/ac158e/ac158e0a.htm,https://www.fao.org/4/ac158e/ac158e0a.htm,2026-09-08T05:02:50.028867+00:00,200,text/html,True,acquired_source,,FAO case account: named1994GP example; not representative administrative series
mp_pri_research,Madhya Pradesh,data/source_search/early_heads/raw/mp_pri_research.html,1f2e1251b1d5fab2f47bbfe3e09b149064e61571f98a5e02c6ace5f86bacb1d5,179,https://gala.gre.ac.uk/id/eprint/11657/1/Doc-0279.pdf,https://gala.gre.ac.uk/id/eprint/11657/1/Doc-0279.pdf,2026-09-08T05:04:25.336049+00:00,403,text/html,False,retained_http_error_response,,"Primary field-research report: historical source leads, scope requires inspection"
raj_hanumangarh_gazetteer,Rajasthan,data/source_search/early_heads/raw/raj_hanumangarh_gazetteer.pdf,02b5afdb26288fb990599641e846465c6e03b73c43e1e1415884e9284b67e9e0,3133237,https://jankalyanfile.rajasthan.gov.in/Content/UploadFolder/DepartmentMaster/100/2023/Sep/30409/100f28a40a7-1e4e-4e8c-bf4d-2578bca7930a.pdf,https://jankalyanfile.rajasthan.gov.in/Content/UploadFolder/DepartmentMaster/100/2023/Sep/30409/100f28a40a7-1e4e-4e8c-bf4d-2578bca7930a.pdf,2026-09-08T05:02:44.619543+00:00,200,application/pdf,True,acquired_source,,Official gazetteer: early election counts; inspect appendices before calling GP data
raj_voters_research,Rajasthan,data/source_search/early_heads/raw/raj_voters_research.pdf,41668a176424f89a36336a9fd5c88f695dbca85e349c39f85728677c454eadd8,15283292,https://www.povertyactionlab.org/sites/default/files/research-paper/2024-07-29%20Rajasthan%20Voters.pdf,https://www.povertyactionlab.org/sites/default/files/research-paper/2024-07-29%20Rajasthan%20Voters.pdf,2026-09-08T05:02:43.321100+00:00,200,application/pdf,True,acquired_source,,"Author paper: election data source/coverage lead, not acquired microdata"
tn_1_58_1996_395_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_1996_395_en.pdf,bf7d114ca27493203573adaaf9334477b481462afa013f8437896d36b3503e27,70126400,https://tnrd.tn.gov.in/project/go_files/1_58_1996_395_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_1996_395_en.pdf,2026-09-08T04:58:12.716647+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_1996_401_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_1996_401_en.pdf,869ffacec087105967d17ee8f072fb417c76aae786d60ef06e63f1c6b88aec07,48284176,https://tnrd.tn.gov.in/project/go_files/1_58_1996_401_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_1996_401_en.pdf,2026-09-08T04:57:57.442573+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_2001_636_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,46417323,https://tnrd.tn.gov.in/project/go_files/1_58_2001_636_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2001_636_en.pdf,2026-09-08T04:57:46.198772+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_2006_214_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2006_214_en.pdf,8b9ec221985b122d4b9d0720acd68b07aca400f73375aa8fc07d842b4bae5586,2722375,https://tnrd.tn.gov.in/project/go_files/1_58_2006_214_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2006_214_en.pdf,2026-09-08T04:57:45.472564+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_2006_228_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2006_228_en.pdf,1d6db70518c7460a4618032cb91c2818541ad2f4243d72d332b0fb9e94b00498,116427005,https://tnrd.tn.gov.in/project/go_files/1_58_2006_228_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2006_228_en.pdf,2026-09-08T04:57:29.291641+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
