1 2 3
Chetpet Panchayat Union Contd.,
46 Othalavadi General
47 Sadupperi General
48 Thirumalai General
49 Uthur General
Chengam Panchayat Union
1 Kattamaduvu ST(General)
2 Melpennathur SC(Women)
3 Paramanandal SC(Women)
4 Chinnakolapadi SC(Women)
5 Perumbakkam SC(Women)
6 Theethandapattu SC(Women)
7 Melpallipattu SC(General)
8 Arattavadi SC(General)
9 Manmalai SC(General)
10 Se.Agaram SC(General)
11 Melravandavadi SC(General)
12 Melvanakkambadi SC(General)
13 Anthanur SC(General)
14 Aswanagasurnai SC(General)
15 Chennasamudram SC(General)
16 Kariyamangalam SC(General)
17 Anwarabath General(Women)
18 Ariyakunjur General(Women)
19 Beemanandal General(Women)
20 Kayambattu General(Women)
21 Alaputhur General(Women)
22 Andipatti General(Women)
23 Pinjur General(Women)
24 Porasapattu General(Women)
25 Paliapattu General(Women)
26 Pudupattu General(Women)
27 Quilam General
28 Uchimalaikuppam General
29 Se. Sorapanandal General
30 Melchengam General
31 Se.Nachipattu General
32 Melpulidiyur General
33 Kottavoor General
34 Valayambattu General
35 Vinnavanoor General
