source_page,table_columns,office_rows,unaccounted_lines
3,2,83,0
4,2,91,0
5,2,90,0
6,2,90,0
7,2,90,0
8,2,90,0
9,2,99,0
10,2,75,0
11,2,95,0
12,2,93,0
13,2,94,0
14,2,98,0
15,2,71,0
16,2,81,0
17,2,94,0
18,2,94,0
19,2,94,0
20,2,94,0
21,2,95,0
22,2,100,0
23,2,31,0
24,2,104,0
25,2,115,0
26,2,116,0
27,2,115,0
28,2,116,0
29,2,116,0
30,2,114,0
31,2,117,0
32,2,116,0
33,2,70,0
34,2,80,0
35,2,78,0
36,2,96,0
37,2,83,0
38,2,86,0
39,2,81,0
40,2,80,0
41,2,80,0
42,2,79,0
43,2,81,0
44,2,90,0
45,2,80,0
46,2,79,0
47,2,78,0
48,2,79,0
49,2,78,0
50,2,81,0
51,2,79,0
52,2,78,0
53,2,57,0
54,2,84,0
55,2,96,0
56,2,99,0
57,2,102,0
58,2,4,0
59,2,75,0
60,2,84,0
61,2,77,0
62,2,86,0
63,2,60,0
64,2,67,0
65,2,62,0
66,2,62,0
67,2,98,0
68,2,116,0
69,2,103,0
70,2,16,0
71,2,107,0
72,2,118,0
73,2,91,0
74,2,107,0
75,2,30,0
76,2,93,0
77,2,110,0
78,2,62,0
79,1,35,0
80,2,90,0
81,2,103,0
82,2,107,0
83,2,102,0
84,2,102,0
85,2,85,0
86,2,112,0
87,2,124,0
88,2,118,0
89,2,80,0
90,2,92,0
91,2,106,0
92,2,106,0
93,2,105,0
94,2,21,0
95,2,47,0
96,2,41,0
97,2,67,0
98,2,65,0
99,2,64,0
100,2,64,0
101,2,56,0
102,2,81,0
103,2,76,0
104,2,60,0
105,2,61,0
106,2,73,0
107,2,65,0
108,2,63,0
109,2,95,0
110,2,103,0
111,2,104,0
112,2,102,0
113,2,93,0
114,2,90,0
115,2,98,0
116,2,93,0
117,2,98,0
118,2,41,0
119,2,93,0
120,2,37,0
121,2,90,0
122,2,97,0
123,2,92,0
124,2,27,0
125,2,86,0
126,2,111,0
127,2,111,0
128,2,110,0
129,2,11,0
130,2,74,0
131,2,82,0
132,2,83,0
133,2,82,0
134,2,83,0
135,2,46,0
136,2,86,0
137,2,88,0
138,2,101,0
139,2,83,0
140,2,87,0
141,2,70,0
142,2,84,0
143,2,85,0
144,2,83,0
145,2,76,0
146,2,27,0
147,2,76,0
148,2,93,0
149,2,106,0
150,2,108,0
151,2,20,0
152,2,78,0
153,2,17,0
