district,union_key,office_rows
ARIYALUR,ANDIMADAM,30
ARIYALUR,ARIYALUR,37
ARIYALUR,JEYANKONDAM,35
ARIYALUR,SENDURAI,30
ARIYALUR,T.PALUR,33
ARIYALUR,THIRUMANUR,36
COIMBATORE,ANAIMALAI,19
COIMBATORE,ANNUR,21
COIMBATORE,KARAMADAI,17
COIMBATORE,KINATHUKADAVU,34
COIMBATORE,MADUKKARAI,9
COIMBATORE,PERIYANAICKENPALAYAM,9
COIMBATORE,POLLACHI(NORTH),39
COIMBATORE,POLLACHI(SOUTH),26
COIMBATORE,SARKARSAMAKULAM,7
COIMBATORE,SULTHANPET,20
COIMBATORE,SULUR,17
COIMBATORE,THONDAMUTHUR,10
CUDDALORE,ANNAGRAMAM,42
CUDDALORE,CUDDALORE,51
CUDDALORE,KAMMAPURAM,53
CUDDALORE,KATTUMANNARKOIL,55
CUDDALORE,KEERAPALAYAM,63
CUDDALORE,KUMARATCHI,57
CUDDALORE,KURINJIPADI,51
CUDDALORE,MANGALORE,66
CUDDALORE,MELBHUVANAGIRI,47
CUDDALORE,NALLUR,64
CUDDALORE,PANRUTI,42
CUDDALORE,PARANGIPETTAI,41
CUDDALORE,VIRUDHACHALAM,51
DHARMAPURI,DHARMAPURI,28
DHARMAPURI,HARUR,34
DHARMAPURI,KARIMANGALAM,30
DHARMAPURI,MORAPPUR,43
DHARMAPURI,NALLAMPALLI,32
DHARMAPURI,PALACODE,32
DHARMAPURI,PAPPIREDDIPATTI,19
DHARMAPURI,PENNAGARAM,33
DINDIGUL,ATHOOR,22
DINDIGUL,DINDIGUL,14
DINDIGUL,GUZILIAMPARAI,17
DINDIGUL,KODAIKANAL,15
DINDIGUL,NATHAM,23
DINDIGUL,NILAKOTTAI,23
DINDIGUL,ODDANCHATRAM,35
DINDIGUL,PALANI,20
DINDIGUL,REDDIARCHATRAM,24
DINDIGUL,SHANARPATTI,21
DINDIGUL,THOPPAMPATTI,38
DINDIGUL,VADAMADURAI,15
DINDIGUL,VATHLAGUNDU,17
DINDIGUL,VEDASANDUR,22
ERODE,AMMAPETTAI,20
ERODE,ANTHIYUR,14
ERODE,BHAVANI,15
ERODE,BHAVANISAGAR,15
ERODE,CHENNIMALAI,22
ERODE,ERODE,6
ERODE,GOBICHETTIPALAYAM,21
ERODE,KODUMUDI,10
ERODE,MODAKKURICHI,23
ERODE,NAMBIYUR,15
ERODE,PERUNDURAI,29
ERODE,SATHYAMANGALAM,15
ERODE,THALAVADI,10
ERODE,THOOKKANAICKENPALAYAM,10
KANCHEEPURAM,ACHARAPAKKAM,59
KANCHEEPURAM,CHITHAMUR,43
KANCHEEPURAM,KANCHEEPURAM,40
KANCHEEPURAM,KATTANKOLATHUR,39
KANCHEEPURAM,KUNDRATHUR,42
KANCHEEPURAM,LATHUR,41
KANCHEEPURAM,MADURANTAKAM,58
KANCHEEPURAM,SRIPERUMBUDUR,58
KANCHEEPURAM,ST.THOMASMOUNT,15
KANCHEEPURAM,THIRUKKALUKUNDRAM,54
KANCHEEPURAM,THIRUPORUR,50
KANCHEEPURAM,UTHIRAMERUR,73
KANCHEEPURAM,WALAJABAD,61
KANNIYAKUMARI,AGASTHEESWARAM,12
KANNIYAKUMARI,KILLIYOOR,8
KANNIYAKUMARI,KURUNTHENCODE,9
KANNIYAKUMARI,MELPURAM,10
KANNIYAKUMARI,MUNCHIRAI,11
KANNIYAKUMARI,RAJAKKAMANGALAM,12
KANNIYAKUMARI,THIRUVATTAR,10
KANNIYAKUMARI,THOVALAI,16
KANNIYAKUMARI,THUCKALAY,7
KARUR,ARAVAKURICHI,20
KARUR,K.PARAMATHI,30
KARUR,KADAVUR,20
KARUR,KARUR,14
KARUR,KRISHNARAYAPURAM,23
KARUR,KULITHALAI,13
KARUR,THANTHONI,17
KARUR,THOGAMALAI,20
KRISHNAGIRI,BARGUR,36
KRISHNAGIRI,HOSUR,26
KRISHNAGIRI,KAVERIPATTINAM,36
KRISHNAGIRI,KELAMANGALAM,28
KRISHNAGIRI,KRISHNAGIRI,30
KRISHNAGIRI,MATHUR,24
KRISHNAGIRI,SHOOLAGIRI,42
KRISHNAGIRI,THALLY,50
KRISHNAGIRI,UTHANGARAI,34
KRISHNAGIRI,VEPPANAPALLI,27
MADURAI,ALANGANALLUR,37
MADURAI,CHELLAMPATTI,29
MADURAI,KALLIGUDI,36
MADURAI,KOTTAMPATTI,27
MADURAI,MADURAIEAST,36
MADURAI,MADURAIWEST,29
MADURAI,MELUR,36
MADURAI,SEDAPATTI,31
MADURAI,T.KALLUPATTI,42
MADURAI,TIRUMANGALAM,38
MADURAI,TIRUPPARANKUNDRAM,38
MADURAI,USILAMPATTI,18
MADURAI,VADIPATTI,23
NAGAPATTINAM,KEELAIYUR,27
NAGAPATTINAM,KILVELUR,38
NAGAPATTINAM,KOLLIDAM,42
NAGAPATTINAM,KUTHALAM,51
NAGAPATTINAM,MAYILADUTHURAI,54
NAGAPATTINAM,NAGAPATTINAM,29
NAGAPATTINAM,SEMBANARKOIL,57
NAGAPATTINAM,SIRKALI,37
NAGAPATTINAM,THALANAYAR,24
NAGAPATTINAM,THIRUMARUGAL,39
NAGAPATTINAM,VEDARANYAM,36
NAMAKKAL,ELACHIPALAYAM,29
NAMAKKAL,ERUMAPATTY,24
NAMAKKAL,KABILARMALAI,20
NAMAKKAL,KOLLIHILLS,14
NAMAKKAL,MALLASAMUDRAM,27
NAMAKKAL,MOHANUR,25
NAMAKKAL,NAMAGIRIPET,18
NAMAKKAL,NAMAKKAL,25
NAMAKKAL,PALLIPALAYAM,15
NAMAKKAL,PARAMATHI,20
NAMAKKAL,PUDUCHATRAM,21
NAMAKKAL,RASIPURAM,20
NAMAKKAL,SENDAMANGALAM,14
NAMAKKAL,TIRUCHENGODE,26
NAMAKKAL,VENNANDUR,24
NILGIRIS,COONOOR,6
NILGIRIS,GUDALUR,5
NILGIRIS,KOTAGIRI,11
NILGIRIS,UDHAGAMANDALAM,13
PERAMBALUR,ALATHUR,39
PERAMBALUR,PERAMBALUR,20
PERAMBALUR,VEPPANTHATTAI,29
PERAMBALUR,VEPPUR,33
PUDUKKOTTAI,ANNAVASAL,43
PUDUKKOTTAI,ARANTHANGI,52
PUDUKKOTTAI,ARIMALAM,32
PUDUKKOTTAI,AVUDAIYARKOIL,35
PUDUKKOTTAI,GANDARVAKKOTTAI,36
PUDUKKOTTAI,KARAMBAKUDI,39
PUDUKKOTTAI,KUNNANDARKOIL,37
PUDUKKOTTAI,MANAMELKUDI,28
PUDUKKOTTAI,PONNAMARAVATHY,42
PUDUKKOTTAI,PUDUKKOTTAI,27
PUDUKKOTTAI,THIRUMAYAM,33
PUDUKKOTTAI,THIRUVARANKULAM,48
PUDUKKOTTAI,VIRALIMALAI,45
RAMANATHAPURAM,BOGALUR,26
RAMANATHAPURAM,KADALADI,60
RAMANATHAPURAM,KAMUTHI,53
RAMANATHAPURAM,MANDAPAM,28
RAMANATHAPURAM,MUDUKULATHUR,46
RAMANATHAPURAM,NAINARKOVIL,37
RAMANATHAPURAM,PARAMAKUDI,39
RAMANATHAPURAM,R.S.MANGALAM,35
RAMANATHAPURAM,RAMANATHAPURAM,25
RAMANATHAPURAM,THIRUPPULLANI,33
RAMANATHAPURAM,THIRUVADANAI,47
SALEM,ATTUR,20
SALEM,AYOTHIPATTINAM,32
SALEM,EDAPPADI,10
SALEM,GANGAVALLI,14
SALEM,KADAYAMPATTI,17
SALEM,KOLATHUR,14
SALEM,KONGANAPURAM,9
SALEM,MC.DONALDCHOULTRY,12
SALEM,MECHERI,17
SALEM,NANGAVALLI,9
SALEM,OMALUR,33
SALEM,PANAMARATHUPATTY,20
SALEM,PEDDANAICKANPALAYAM,36
SALEM,SALEM,14
SALEM,SANKARI,22
SALEM,THALAIVASAL,35
SALEM,THARAMANGALAM,17
SALEM,VALAPADY,20
SALEM,VEERAPANDY,25
SALEM,YERCAUD,9
SIVAGANGAI,DEVAKOTTAI,42
SIVAGANGAI,ILAYANGUDI,55
SIVAGANGAI,KALAYARKOVIL,43
SIVAGANGAI,KALLAL,44
SIVAGANGAI,KANNANGUDI,17
SIVAGANGAI,MANAMADURAI,39
SIVAGANGAI,S-PUDUR,21
SIVAGANGAI,SAKKOTTAI,26
SIVAGANGAI,SINGAMPUNARI,30
SIVAGANGAI,SIVAGANGAI,43
SIVAGANGAI,THIRUPPATHUR,40
SIVAGANGAI,THIRUPPUVANAM,45
THANJAVUR,AMMAPET,46
THANJAVUR,BUDALUR,42
THANJAVUR,KUMBAKONAM,47
THANJAVUR,MADUKKUR,33
THANJAVUR,ORATHANAD,58
THANJAVUR,PAPANSAM,34
THANJAVUR,PATTUKKOTTAI,43
THANJAVUR,PERAVURANI,26
THANJAVUR,SETHUBAVACHATRAM,37
THANJAVUR,THANJAVUR,61
THANJAVUR,THIRUPPANANDAL,44
THANJAVUR,THIRUVAIYARU,40
THANJAVUR,THIRUVIDAIMARUDUR,48
THANJAVUR,THIRUVONAM,30
THENI,ANDIPATTI,30
THENI,BODINAYAKANUR,15
THENI,CHINNAMANUR,14
THENI,CUMBUM,5
THENI,K.MYLADUMPARAI,18
THENI,PERIYAKULAM,17
THENI,THENI,18
THENI,UTHAMAPALAYAM,13
THOOTHUKUDI,ALWARTHIRUNAGARI,30
THOOTHUKUDI,KARUNGULAM,31
THOOTHUKUDI,KAYATHAR,45
THOOTHUKUDI,KOVILPATTI,38
THOOTHUKUDI,OTTAPIDARAM,61
THOOTHUKUDI,PUDUR,44
THOOTHUKUDI,SATHNKULAM,24
THOOTHUKUDI,SRIVAIKUNDAM,31
THOOTHUKUDI,THOOTHUKUDI,20
THOOTHUKUDI,TIRUCHENDUR,11
THOOTHUKUDI,UDANGUDI,17
THOOTHUKUDI,VILATHIKULAM,51
TIRUAVANNAMALAI,ANAKKAVUR,55
TIRUAVANNAMALAI,ARNI,38
TIRUAVANNAMALAI,CHENGAM,44
TIRUAVANNAMALAI,CHETPET,49
TIRUAVANNAMALAI,CHEYYAR,53
TIRUAVANNAMALAI,JAWADHUHILLS,11
TIRUAVANNAMALAI,KALASAPAKKAM,45
TIRUAVANNAMALAI,KILPENNATHUR,45
TIRUAVANNAMALAI,PERANAMALLUR,57
TIRUAVANNAMALAI,POLUR,40
TIRUAVANNAMALAI,PUDUPALAYAM,37
TIRUAVANNAMALAI,THANDRAMPET,47
TIRUAVANNAMALAI,THELLAR,61
TIRUAVANNAMALAI,THURINJAPURAM,47
TIRUAVANNAMALAI,TIRUVANNAMALAI,69
TIRUAVANNAMALAI,VANDAVASI,61
TIRUAVANNAMALAI,VEMBAKKAM,64
TIRUAVANNAMALAI,WESTARNI,37
TIRUCHIRAPALLI,ANDANALLUR,25
TIRUCHIRAPALLI,LALGUDI,45
TIRUCHIRAPALLI,MANACHANALLUR,35
TIRUCHIRAPALLI,MANAPPARAI,21
TIRUCHIRAPALLI,MANIKANDAM,22
TIRUCHIRAPALLI,MARUNGAPURI,49
TIRUCHIRAPALLI,MUSIRI,33
TIRUCHIRAPALLI,PULLAMBADI,33
TIRUCHIRAPALLI,THATHAIYENGARPETTAI,25
TIRUCHIRAPALLI,THIRUVERAMBUR,20
TIRUCHIRAPALLI,THOTTIAM,26
TIRUCHIRAPALLI,THURAIYUR,34
TIRUCHIRAPALLI,UPPILIAPURAM,18
TIRUCHIRAPALLI,VAIYAMPATTI,18
TIRUNELVELI,ALANGULAM,28
TIRUNELVELI,AMBASAMUDRAM,12
TIRUNELVELI,CHERANMAHADEVI,12
TIRUNELVELI,KADAYAM,23
