level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	401	0	1151	4	-1	
3	1	1	1	0	0	401	0	1151	4	-1	
4	1	1	1	1	0	401	0	1151	4	-1	
5	1	1	1	1	1	401	0	1151	4	95.000000	 
2	1	2	0	0	0	101	5	2093	15	-1	
3	1	2	1	0	0	101	5	2093	15	-1	
4	1	2	1	1	0	101	5	2093	15	-1	
5	1	2	1	1	1	101	5	2093	15	95.000000	 
2	1	3	0	0	0	180	78	2047	13	-1	
3	1	3	1	0	0	180	78	2047	13	-1	
4	1	3	1	1	0	180	78	2047	13	-1	
5	1	3	1	1	1	180	78	2047	13	95.000000	 
2	1	4	0	0	0	96	38	2257	3047	-1	
3	1	4	1	0	0	96	38	2257	3047	-1	
4	1	4	1	1	0	167	38	2021	40	-1	
5	1	4	1	1	1	167	38	63	37	0.000000	4)
5	1	4	1	1	2	642	40	38	32	88.677895	(2)
5	1	4	1	1	3	1074	43	38	32	84.745010	{3}
5	1	4	1	1	4	1358	44	39	31	29.335041	©)
5	1	4	1	1	5	1763	44	39	32	90.283493	(2)
5	1	4	1	1	6	2150	47	38	31	95.832573	(3)
4	1	4	1	2	0	181	172	2026	43	-1	
5	1	4	1	2	1	181	177	43	24	36.788445	44.
5	1	4	1	2	2	301	172	156	41	71.906776	Othalavadi
5	1	4	1	2	3	966	174	114	40	96.284027	General
5	1	4	1	2	4	1309	175	41	40	95.776886	20.
5	1	4	1	2	5	1429	180	246	31	91.183853	Amarnathapudur
5	1	4	1	2	6	2089	182	118	25	96.177582	General
4	1	4	1	3	0	181	211	2025	41	-1	
5	1	4	1	3	1	181	216	43	24	93.021912	42.
5	1	4	1	3	2	302	211	249	40	22.155142	Peranambakkarm
5	1	4	1	3	3	966	213	114	39	96.661446	General
5	1	4	1	3	4	1309	220	41	23	74.958122	21,
5	1	4	1	3	5	1430	219	249	31	9.064550	Ohamarapakkam
5	1	4	1	3	6	2089	221	117	25	95.570869	General
4	1	4	1	4	0	181	252	2025	42	-1	
5	1	4	1	4	1	181	255	43	24	80.910187	43.
5	1	4	1	4	2	302	254	234	31	90.147758	Rajammapuram
5	1	4	1	4	3	965	252	115	39	95.750267	General
5	1	4	1	4	4	1309	259	41	24	79.707062	22.
5	1	4	1	4	5	1429	254	137	40	45.769409	Gulalpaci
5	1	4	1	4	6	2089	260	117	25	96.481934	General
4	1	4	1	5	0	181	292	2025	42	-1	
5	1	4	1	5	1	181	295	43	23	90.764961	44,
5	1	4	1	5	2	302	293	122	25	90.041641	Randam
5	1	4	1	5	3	965	292	114	40	96.651367	General
5	1	4	1	5	4	1309	299	41	23	94.421371	23.
5	1	4	1	5	5	1430	294	158	40	61.737152	Karappaittu
5	1	4	1	5	6	2089	299	117	25	96.293968	General
4	1	4	1	6	0	181	328	2025	45	-1	
5	1	4	1	6	1	137	353	9	14	66.075325	ag
5	1	4	1	6	2	181	334	42	23	75.241852	45.
5	1	4	1	6	3	300	328	149	41	92.510437	Sadupperi
5	1	4	1	6	4	965	331	114	40	96.654121	General
5	1	4	1	6	5	1308	338	42	23	84.468399	24,
5	1	4	1	6	6	1430	333	204	40	63.084484	Korattampattu
5	1	4	1	6	7	2088	338	118	25	96.584824	General
4	1	4	1	7	0	140	355	2066	59	-1	
5	1	4	1	7	1	140	355	32	26	6.947927	»
5	1	4	1	7	2	181	372	42	24	94.561859	46.
5	1	4	1	7	3	300	371	295	33	91.093628	Semmiyamangalam
5	1	4	1	7	4	965	370	114	40	96.572723	General
5	1	4	1	7	5	1308	372	42	40	93.939453	25.
5	1	4	1	7	6	1430	372	162	40	67.819664	Kottakulam
5	1	4	1	7	7	2088	373	118	41	95.559105	General
4	1	4	1	8	0	180	409	2026	43	-1	
5	1	4	1	8	1	180	412	43	24	78.550179	47.
5	1	4	1	8	2	299	411	134	25	90.078712	Thumbur
5	1	4	1	8	3	964	409	115	42	96.809067	General
5	1	4	1	8	4	1308	411	42	41	92.716499	26.
5	1	4	1	8	5	1429	416	109	25	91.188522	Mashar
5	1	4	1	8	6	2088	416	118	26	96.090637	General
4	1	4	1	9	0	180	445	2025	47	-1	
5	1	4	1	9	1	180	445	43	42	85.718285	48.
5	1	4	1	9	2	301	451	80	25	82.105553	Uthur
5	1	4	1	9	3	397	450	2	2	0.000000	-
5	1	4	1	9	4	964	448	115	42	96.114265	General
5	1	4	1	9	5	1308	456	42	24	70.875679	27,
5	1	4	1	9	6	1429	450	157	42	53.500626	Melapunjal
5	1	4	1	9	7	2088	456	117	26	96.408882	General
4	1	4	1	10	0	180	486	2025	42	-1	
5	1	4	1	10	1	180	491	43	25	82.152138	49.
5	1	4	1	10	2	300	486	170	40	91.769478	Vilapakkam
5	1	4	1	10	3	964	489	115	39	96.170555	General
5	1	4	1	10	4	1308	495	42	25	92.930542	28.
5	1	4	1	10	5	1429	494	137	32	91.297150	Melpadur
5	1	4	1	10	6	2088	495	117	26	96.647163	General
4	1	4	1	11	0	176	525	2029	45	-1	
5	1	4	1	11	1	176	525	29	41	90.789383	7.
5	1	4	1	11	2	300	530	169	25	90.466721	CHENGAM
5	1	4	1	11	3	485	530	208	25	95.969597	PANCHAYAT
5	1	4	1	11	4	707	531	104	26	95.800125	UNION
5	1	4	1	11	5	1308	529	42	41	75.097343	29.
5	1	4	1	11	6	1429	534	139	25	91.027519	Muthanur
5	1	4	1	11	7	2088	535	117	25	96.427734	General
4	1	4	1	12	0	183	565	2022	41	-1	
5	1	4	1	12	1	183	570	22	24	58.815071	1.
5	1	4	1	12	2	300	565	263	40	91.079544	Uchimalaikuppam
5	1	4	1	12	3	964	572	45	25	88.778236	SC
5	1	4	1	12	4	1024	572	131	32	94.806335	(Women)
5	1	4	1	12	5	1308	575	42	24	93.742920	30.
5	1	4	1	12	6	1429	574	182	32	91.766792	Naiyampady
5	1	4	1	12	7	2088	574	117	26	96.398819	General
4	1	4	1	13	0	181	604	2024	42	-1	
5	1	4	1	13	1	181	609	24	24	72.940926	2.
5	1	4	1	13	2	300	604	103	42	92.654366	Quilam
5	1	4	1	13	3	964	611	44	26	82.776154	SC
5	1	4	1	13	4	1023	612	132	32	96.308250	(Women)
5	1	4	1	13	5	1307	614	43	24	42.002991	34.
5	1	4	1	13	6	1429	613	167	32	92.447388	Nagappady
5	1	4	1	13	7	2088	613	117	26	96.443291	General
4	1	4	1	14	0	180	643	2025	42	-1	
5	1	4	1	14	1	180	649	25	24	94.285614	3.
5	1	4	1	14	2	300	643	205	42	91.014030	Sorapanandal
5	1	4	1	14	3	965	651	65	32	81.857010	Sc
5	1	4	1	14	4	1023	652	132	32	94.424843	(Women)
5	1	4	1	14	5	1307	653	43	25	86.189056	32.
5	1	4	1	14	6	1430	653	197	31	77.251350	Panaiolapady
5	1	4	1	14	7	2088	653	117	25	96.497467	General
4	1	4	1	15	0	180	687	2025	42	-1	
5	1	4	1	15	1	180	689	25	24	89.271263	4,
5	1	4	1	15	2	300	687	46	26	93.297478	Se.
5	1	4	1	15	3	362	688	156	32	79.301521	Nachipattu
5	1	4	1	15	4	964	691	44	25	80.191566	Sc
5	1	4	1	15	5	1023	691	132	33	95.654442	(Women)
5	1	4	1	15	6	1307	693	43	25	74.765320	33,
5	1	4	1	15	7	1429	688	108	41	88.755402	Periyeri
5	1	4	1	15	8	2088	692	117	26	96.208420	General
4	1	4	1	16	0	181	723	2024	45	-1	
5	1	4	1	16	1	181	729	24	24	94.743790	5.
5	1	4	1	16	2	300	723	178	45	88.506226	Melpulidiyur
5	1	4	1	16	3	964	731	44	25	94.793327	SC
5	1	4	1	16	4	1023	731	132	32	95.253937	(Women)
5	1	4	1	16	5	1307	733	43	24	77.520645	34,
