level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	538	0	1796	25	-1	
3	1	1	1	0	0	538	0	1796	25	-1	
4	1	1	1	1	0	538	0	1796	25	-1	
5	1	1	1	1	1	538	0	1796	25	95.000000	 
2	1	2	0	0	0	283	46	2079	38	-1	
3	1	2	1	0	0	283	46	2079	38	-1	
4	1	2	1	1	0	283	46	2079	38	-1	
5	1	2	1	1	1	283	46	2079	38	95.000000	 
2	1	3	0	0	0	139	167	24	23	-1	
3	1	3	1	0	0	139	167	24	23	-1	
4	1	3	1	1	0	139	167	24	23	-1	
5	1	3	1	1	1	139	167	24	23	57.021069	oo
2	1	4	0	0	0	140	364	27	339	-1	
3	1	4	1	0	0	140	364	27	339	-1	
4	1	4	1	1	0	140	364	27	339	-1	
5	1	4	1	1	1	140	364	27	339	28.830299	CONGO
5	1	4	1	1	2	136	409	41	52	0.000000	wh
2	1	5	0	0	0	1219	2	39	3103	-1	
3	1	5	1	0	0	1219	2	39	3103	-1	
4	1	5	1	1	0	1219	2	39	3103	-1	
5	1	5	1	1	1	1219	2	39	3103	95.000000	 
2	1	6	0	0	0	1234	3105	51	38	-1	
3	1	6	1	0	0	1234	3105	51	38	-1	
4	1	6	1	1	0	1234	3105	51	38	-1	
5	1	6	1	1	1	1234	3105	51	38	71.182892	410.
2	1	7	0	0	0	139	18	2279	3062	-1	
3	1	7	1	0	0	198	18	1947	72	-1	
4	1	7	1	1	0	198	18	1947	72	-1	
5	1	7	1	1	1	198	32	7	18	84.204742	:
5	1	7	1	1	2	218	32	14	58	0.000000	:
5	1	7	1	1	3	597	25	40	32	95.789597	(2)
5	1	7	1	1	4	1031	23	38	33	69.242012	3)
5	1	7	1	1	5	1314	22	39	32	37.794285	(1)
5	1	7	1	1	6	1721	21	38	32	37.147301	@)
5	1	7	1	1	7	2106	18	39	32	72.210907	3)
3	1	7	2	0	0	259	152	2053	40	-1	
4	1	7	2	1	0	259	152	2053	40	-1	
5	1	7	2	1	1	259	163	198	26	92.008369	Palamarathur
5	1	7	2	1	2	924	161	40	25	77.239227	ST
5	1	7	2	1	3	978	161	135	31	96.255226	(General)
5	1	7	2	1	4	1268	160	41	24	93.175682	16.
5	1	7	2	1	5	1388	158	118	31	81.278015	Palanjur
5	1	7	2	1	6	2046	152	118	25	95.954659	General
5	1	7	2	1	7	2179	152	133	32	62.681217	(Women)
3	1	7	3	0	0	139	191	2174	49	-1	
4	1	7	3	1	0	139	191	2174	49	-1	
5	1	7	3	1	1	139	206	24	24	77.281288	9.
5	1	7	3	1	2	259	199	101	41	90.798576	Kovilur
5	1	7	3	1	3	924	200	40	25	94.436714	ST
5	1	7	3	1	4	978	200	136	32	59.512566	(General)
5	1	7	3	1	5	1268	195	41	40	27.855167	V7.
5	1	7	3	1	6	1387	193	188	40	73.231445	Mulagiripattu
5	1	7	3	1	7	2047	191	118	26	17.698336	Seneral
5	1	7	3	1	8	2180	191	133	32	75.794952	(Women)
3	1	7	4	0	0	141	230	2173	49	-1	
4	1	7	4	1	0	141	230	2173	49	-1	
5	1	7	4	1	1	141	245	40	25	88.766388	10.
5	1	7	4	1	2	259	238	131	41	82.903824	Kailathur
5	1	7	4	1	3	924	239	115	26	93.411880	General
5	1	7	4	1	4	1054	239	132	32	95.152596	(Women)
5	1	7	4	1	5	1269	239	40	25	36.538193	18,
