level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	1796	0	458	34	-1	
3	1	1	1	0	0	1796	0	458	34	-1	
4	1	1	1	1	0	1796	0	458	34	-1	
5	1	1	1	1	1	1796	0	458	34	95.000000	 
2	1	2	0	0	0	152	131	2139	15	-1	
3	1	2	1	0	0	152	131	2139	15	-1	
4	1	2	1	1	0	152	131	2139	15	-1	
5	1	2	1	1	1	152	131	2139	15	95.000000	 
2	1	3	0	0	0	0	0	404	176	-1	
3	1	3	1	0	0	0	0	404	176	-1	
4	1	3	1	1	0	0	0	404	176	-1	
5	1	3	1	1	1	0	0	404	176	95.000000	 
2	1	4	0	0	0	1226	27	13	2912	-1	
3	1	4	1	0	0	1226	27	13	2912	-1	
4	1	4	1	1	0	1226	27	13	2912	-1	
5	1	4	1	1	1	1226	27	13	2912	95.000000	 
2	1	5	0	0	0	1209	2948	40	32	-1	
3	1	5	1	0	0	1209	2948	40	32	-1	
4	1	5	1	1	0	1209	2948	40	32	-1	
5	1	5	1	1	1	1209	2948	40	32	94.654739	14
2	1	6	0	0	0	136	61	2161	2862	-1	
3	1	6	1	0	0	136	61	2161	2858	-1	
4	1	6	1	1	0	454	61	1714	32	-1	
5	1	6	1	1	1	454	61	25	24	80.802086	2.
5	1	6	1	1	2	922	63	24	24	87.942139	3.
5	1	6	1	1	3	1806	68	26	24	82.512917	2,
5	1	6	1	1	4	2143	68	25	25	91.930099	3.
4	1	6	1	2	0	153	188	1861	36	-1	
5	1	6	1	2	1	153	189	43	25	84.272469	23,
5	1	6	1	2	2	303	188	173	32	71.149033	Andrayanur
5	1	6	1	2	3	922	189	106	26	96.357178	General
5	1	6	1	2	4	1037	190	106	26	96.767365	Women
5	1	6	1	2	5	1295	192	25	24	91.655365	5.
5	1	6	1	2	6	1447	192	227	26	70.578384	ULUNDUAPET
5	1	6	1	2	7	1688	194	206	25	92.520386	PANCHAYAT
5	1	6	1	2	8	1908	195	106	40	93.283852	UNION
4	1	6	1	3	0	153	224	2082	35	-1	
5	1	6	1	3	1	153	226	43	24	78.080475	24.
5	1	6	1	3	2	303	224	257	33	91.308800	Sithalingamadam
5	1	6	1	3	3	918	226	110	26	94.019852	General
5	1	6	1	3	4	1037	227	106	25	95.968521	Women
5	1	6	1	3	5	1298	228	21	24	85.304558	1.
5	1	6	1	3	6	1446	228	172	31	86.779953	Sirupakkam
5	1	6	1	3	7	2063	233	46	25	94.880928	SC
5	1	6	1	3	8	2121	233	114	25	95.387024	Women
4	1	6	1	4	0	152	261	2082	41	-1	
5	1	6	1	4	1	152	263	44	25	54.554287	26.
5	1	6	1	4	2	303	261	181	33	89.425430	Sithanangur
5	1	6	1	4	3	922	263	106	25	96.476227	General
5	1	6	1	4	4	1037	264	106	25	96.342682	Women
5	1	6	1	4	5	1295	266	24	24	92.463768	2.
5	1	6	1	4	6	1445	262	109	40	92.017929	Alangiri
5	1	6	1	4	7	2063	269	45	26	69.764000	SCG
5	1	6	1	4	8	2121	270	113	25	85.486526	Women
4	1	6	1	5	0	152	295	2082	43	-1	
5	1	6	1	5	1	152	299	44	25	91.894928	26.
5	1	6	1	5	2	301	295	195	42	42.235191	Asunkurukkail
5	1	6	1	5	3	922	300	106	35	46.568451	General
5	1	6	1	5	4	1036	301	106	25	92.347824	Wornen
5	1	6	1	5	5	1295	302	24	25	89.380493	3.
5	1	6	1	5	6	1446	302	151	25	91.391045	Koothanur
5	1	6	1	5	7	2063	305	45	33	76.752533	SC
5	1	6	1	5	8	2121	306	113	27	94.772438	Women
4	1	6	1	6	0	152	333	2082	42	-1	
5	1	6	1	6	1	152	336	43	24	93.381546	27.
5	1	6	1	6	2	302	335	185	32	92.563164	Alankuppam
5	1	6	1	6	3	922	333	115	40	95.294579	General
5	1	6	1	6	4	1294	340	24	23	85.161789	4.
5	1	6	1	6	5	1446	335	171	40	91.986160	Nonayavadi
5	1	6	1	6	6	2062	342	46	26	80.180023	SG
5	1	6	1	6	7	2121	343	113	26	94.976959	Women
4	1	6	1	7	0	151	369	2083	40	-1	
5	1	6	1	7	1	151	372	45	25	93.125755	28.
5	1	6	1	7	2	301	372	99	25	91.819229	Amoor
5	1	6	1	7	3	415	387	3	3	91.300224	-
5	1	6	1	7	4	922	369	115	40	92.125938	Generai
5	1	6	1	7	5	1294	377	24	23	95.972397	5.
5	1	6	1	7	6	1444	375	175	32	91.077240	Thengunam
5	1	6	1	7	7	2062	378	46	26	80.570854	SC
5	1	6	1	7	8	2120	379	114	26	94.866028	Women
4	1	6	1	8	0	151	406	2086	41	-1	
5	1	6	1	8	1	151	410	44	24	90.383652	29.
5	1	6	1	8	2	301	409	117	26	86.540154	Anathur
5	1	6	1	8	3	921	406	116	41	95.202934	General
5	1	6	1	8	4	1294	413	24	25	72.877197	8.
5	1	6	1	8	5	1444	413	28	25	88.403976	A,
5	1	6	1	8	6	1487	413	123	25	80.490112	Kolathur
5	1	6	1	8	7	2062	415	45	26	79.302788	SC
5	1	6	1	8	8	2121	416	116	25	95.790184	General
4	1	6	1	9	0	151	441	2086	45	-1	
5	1	6	1	9	1	151	446	44	25	93.474785	30.
5	1	6	1	9	2	301	441	209	42	25.605059	Chinnasevalai
5	1	6	1	9	3	921	443	116	41	95.978470	General
5	1	6	1	9	4	1294	450	24	24	94.470596	7.
5	1	6	1	9	5	1445	444	168	42	92.101952	Pinnalavadi
5	1	6	1	9	6	2061	451	46	26	82.229469	SC
5	1	6	1	9	7	2121	452	116	26	96.140282	General
4	1	6	1	10	0	151	478	2086	42	-1	
5	1	6	1	10	1	151	483	44	24	75.930977	31.
5	1	6	1	10	2	303	478	137	40	84.983994	Elendurai
5	1	6	1	10	3	921	480	115	40	75.050903	General
5	1	6	1	10	4	1294	487	24	24	75.658913	8.
5	1	6	1	10	5	1445	486	61	25	86.102974	R.R.
5	1	6	1	10	6	1522	486	120	32	89.439026	Kuppam
5	1	6	1	10	7	2061	488	46	26	94.959854	SC
5	1	6	1	10	8	2121	488	116	26	94.959854	General
4	1	6	1	11	0	151	517	2085	43	-1	
5	1	6	1	11	1	151	519	44	25	85.436485	32.
5	1	6	1	11	2	302	519	135	33	89.442001	Emappur
5	1	6	1	11	3	921	517	115	41	96.108513	General
5	1	6	1	11	4	1294	524	24	24	82.108055	9.
5	1	6	1	11	5	1445	519	118	41	91.267838	Parindal
5	1	6	1	11	6	2061	525	46	26	66.030396	Sc
5	1	6	1	11	7	2121	525	115	27	80.526535	General
4	1	6	1	12	0	150	555	2086	42	-1	
5	1	6	1	12	1	150	557	44	25	61.948166	33.
5	1	6	1	12	2	302	557	249	32	87.569588	Enathimangalam
5	1	6	1	12	3	920	555	116	40	16.129465	General
5	1	6	1	12	4	1295	561	40	24	86.239471	70.
5	1	6	1	12	5	1445	556	51	41	94.334358	Pali
