level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	44	2831	14	39	-1	
3	1	1	1	0	0	44	2831	14	39	-1	
4	1	1	1	1	0	44	2831	14	15	-1	
5	1	1	1	1	1	44	2831	14	15	63.717144	oy
4	1	1	1	2	0	46	2863	4	7	-1	
5	1	1	1	2	1	46	2863	4	7	2.806015	‘
2	1	2	0	0	0	26	2886	50	586	-1	
3	1	2	1	0	0	26	2886	50	586	-1	
4	1	2	1	1	0	26	2886	50	586	-1	
5	1	2	1	1	1	26	2886	50	586	95.000000	 
2	1	3	0	0	0	184	423	614	54	-1	
3	1	3	1	0	0	184	423	614	54	-1	
4	1	3	1	1	0	184	423	614	54	-1	
5	1	3	1	1	1	184	433	36	26	84.277092	SI,
5	1	3	1	1	2	235	434	48	26	94.540062	No.
5	1	3	1	1	3	297	436	91	26	93.918205	Name
5	1	3	1	1	4	402	438	27	25	93.918205	of
5	1	3	1	1	5	443	441	49	24	96.931282	the
5	1	3	1	1	6	504	441	100	33	95.399651	Village
5	1	3	1	1	7	619	424	154	53	96.146255	Panchayat
2	1	4	0	0	0	952	180	599	49	-1	
3	1	4	1	0	0	952	180	599	49	-1	
4	1	4	1	1	0	952	180	599	49	-1	
5	1	4	1	1	1	952	180	350	49	90.903320	DHARMAPURI
5	1	4	1	1	2	1326	180	225	48	95.966591	DISTRICT
2	1	5	0	0	0	784	314	944	56	-1	
3	1	5	1	0	0	784	314	944	56	-1	
4	1	5	1	1	0	784	314	944	56	-1	
5	1	5	1	1	1	784	314	252	44	96.225739	Reservation
5	1	5	1	1	2	1055	316	60	42	96.722733	for
5	1	5	1	1	3	1133	316	141	54	96.656570	Village
5	1	5	1	1	4	1293	316	214	53	96.869896	Panchayat
5	1	5	1	1	5	1526	316	202	45	96.595047	President
2	1	6	0	0	0	180	593	237	9	-1	
3	1	6	1	0	0	180	593	237	9	-1	
4	1	6	1	1	0	180	593	237	9	-1	
5	1	6	1	1	1	180	593	237	9	95.000000	 
2	1	7	0	0	0	963	424	95	3	-1	
3	1	7	1	0	0	963	424	95	3	-1	
4	1	7	1	1	0	963	424	95	3	-1	
5	1	7	1	1	1	963	424	95	3	95.000000	 
2	1	8	0	0	0	680	601	508	16	-1	
3	1	8	1	0	0	680	601	508	16	-1	
4	1	8	1	1	0	680	601	508	16	-1	
5	1	8	1	1	1	680	601	508	16	95.000000	 
2	1	9	0	0	0	182	663	401	19	-1	
3	1	9	1	0	0	182	663	401	19	-1	
4	1	9	1	1	0	182	663	401	19	-1	
5	1	9	1	1	1	182	663	401	19	95.000000	 
2	1	10	0	0	0	181	618	793	2372	-1	
3	1	10	1	0	0	184	618	790	2372	-1	
4	1	10	1	1	0	217	618	471	42	-1	
5	1	10	1	1	1	217	618	39	31	42.789326	a)
5	1	10	1	1	2	651	630	37	30	96.152023	(2)
4	1	10	1	2	0	184	693	766	43	-1	
5	1	10	1	2	1	184	693	16	29	16.510544	\.
5	1	10	1	2	2	297	695	272	38	91.356689	DHARMAPURI
5	1	10	1	2	3	586	705	232	30	95.269463	PANCHAYAT
5	1	10	1	2	4	834	707	116	29	96.652641	UNION
4	1	10	1	3	0	187	746	278	30	-1	
5	1	10	1	3	1	187	746	20	23	0.000000	\.
5	1	10	1	3	2	298	746	167	30	90.289551	Mookkanur
4	1	10	1	4	0	184	781	291	38	-1	
5	1	10	1	4	1	184	781	23	25	42.173595	2.
5	1	10	1	4	2	298	784	177	35	60.898026	Vellalapatty
4	1	10	1	5	0	184	818	225	34	-1	
5	1	10	1	5	1	184	818	17	23	91.129280	3
5	1	10	1	5	2	299	820	110	32	92.666359	Kuppur
