level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	1675	65	329	-1	
3	1	1	1	0	0	0	1675	65	329	-1	
4	1	1	1	1	0	0	1675	65	329	-1	
5	1	1	1	1	1	0	1675	65	329	95.000000	 
2	1	2	0	0	0	0	2005	25	10	-1	
3	1	2	1	0	0	0	2005	25	10	-1	
4	1	2	1	1	0	0	2005	25	10	-1	
5	1	2	1	1	1	0	2005	25	10	95.000000	 
2	1	3	0	0	0	0	2017	404	1339	-1	
3	1	3	1	0	0	0	2017	404	1339	-1	
4	1	3	1	1	0	0	2017	69	44	-1	
5	1	3	1	1	1	0	2017	69	44	95.000000	 
4	1	3	1	2	0	0	2061	69	40	-1	
5	1	3	1	2	1	0	2061	69	40	95.000000	 
4	1	3	1	3	0	0	2101	34	43	-1	
5	1	3	1	3	1	0	2101	34	43	95.000000	 
4	1	3	1	4	0	0	2144	34	40	-1	
5	1	3	1	4	1	0	2144	34	40	95.000000	 
4	1	3	1	5	0	0	2184	34	46	-1	
5	1	3	1	5	1	0	2184	34	46	95.000000	 
4	1	3	1	6	0	0	2230	35	32	-1	
5	1	3	1	6	1	0	2230	35	32	95.000000	 
4	1	3	1	7	0	0	2262	35	46	-1	
5	1	3	1	7	1	0	2262	35	46	95.000000	 
4	1	3	1	8	0	0	2308	35	48	-1	
5	1	3	1	8	1	0	2308	35	48	95.000000	 
4	1	3	1	9	0	0	2356	35	35	-1	
5	1	3	1	9	1	0	2356	35	35	95.000000	 
4	1	3	1	10	0	0	2391	35	36	-1	
5	1	3	1	10	1	0	2391	35	36	95.000000	 
4	1	3	1	11	0	0	2427	35	40	-1	
5	1	3	1	11	1	0	2427	35	40	95.000000	 
4	1	3	1	12	0	0	2467	65	90	-1	
5	1	3	1	12	1	0	2467	65	90	95.000000	  
4	1	3	1	13	0	0	2557	62	41	-1	
5	1	3	1	13	1	0	2557	62	41	95.000000	 
4	1	3	1	14	0	0	2598	68	43	-1	
5	1	3	1	14	1	0	2598	68	43	95.000000	 
4	1	3	1	15	0	0	2641	91	42	-1	
5	1	3	1	15	1	0	2641	91	42	95.000000	 
4	1	3	1	16	0	0	2683	94	31	-1	
5	1	3	1	16	1	0	2683	94	31	95.000000	 
4	1	3	1	17	0	0	2714	97	47	-1	
5	1	3	1	17	1	0	2714	97	47	95.000000	 
4	1	3	1	18	0	0	2761	124	36	-1	
5	1	3	1	18	1	0	2761	124	36	95.000000	 
4	1	3	1	19	0	0	2797	124	43	-1	
5	1	3	1	19	1	0	2797	124	43	95.000000	 
4	1	3	1	20	0	0	2840	124	41	-1	
5	1	3	1	20	1	0	2840	124	41	95.000000	 
4	1	3	1	21	0	0	2881	404	475	-1	
5	1	3	1	21	1	0	2881	404	475	95.000000	  
2	1	4	0	0	0	168	2761	15	9	-1	
3	1	4	1	0	0	168	2761	15	9	-1	
4	1	4	1	1	0	168	2761	15	9	-1	
5	1	4	1	1	1	168	2761	15	9	0.000000	S
2	1	5	0	0	0	0	0	231	1671	-1	
3	1	5	1	0	0	0	0	231	1671	-1	
4	1	5	1	1	0	0	0	231	1671	-1	
5	1	5	1	1	1	0	0	231	1671	95.000000	 
2	1	6	0	0	0	165	2555	76	312	-1	
3	1	6	1	0	0	165	2555	76	312	-1	
4	1	6	1	1	0	166	2555	42	25	-1	
5	1	6	1	1	1	166	2555	42	25	37.963600	18.
4	1	6	1	2	0	165	2596	43	24	-1	
5	1	6	1	2	1	165	2596	43	24	93.928627	20.
4	1	6	1	3	0	165	2637	43	24	-1	
5	1	6	1	3	1	165	2637	43	24	24.748745	2i.
4	1	6	1	4	0	166	2678	43	25	-1	
5	1	6	1	4	1	166	2678	43	25	84.853600	22.
4	1	6	1	5	0	167	2720	43	24	-1	
5	1	6	1	5	1	167	2720	43	24	95.574791	23.
4	1	6	1	6	0	168	2767	43	18	-1	
5	1	6	1	6	1	168	2767	43	18	31.585125	ak,
4	1	6	1	7	0	168	2801	43	24	-1	
5	1	6	1	7	1	168	2801	43	24	91.733185	25.
4	1	6	1	8	0	169	2841	72	26	-1	
5	1	6	1	8	1	169	2842	43	25	85.418533	26.
5	1	6	1	8	2	238	2841	3	6	0.000000	¢
2	1	7	0	0	0	887	0	1340	25	-1	
3	1	7	1	0	0	887	0	1340	25	-1	
4	1	7	1	1	0	887	0	1340	25	-1	
5	1	7	1	1	1	887	0	1340	25	95.000000	 
2	1	8	0	0	0	350	56	2060	33	-1	
3	1	8	1	0	0	350	56	2060	33	-1	
4	1	8	1	1	0	350	56	2060	33	-1	
5	1	8	1	1	1	350	56	2060	33	95.000000	 
2	1	9	0	0	0	249	7	2144	2910	-1	
3	1	9	1	0	0	249	7	2144	2906	-1	
4	1	9	1	1	0	609	7	1683	53	-1	
5	1	9	1	1	1	609	29	41	31	61.878487	(2)
5	1	9	1	1	2	1108	24	38	30	59.285141	(3)
5	1	9	1	1	3	1313	21	38	31	95.240273	(1)
5	1	9	1	1	4	1751	15	52	31	78.256088	(2)
5	1	9	1	1	5	2235	7	57	36	0.000000	—@)
4	1	9	1	2	0	251	91	1775	53	-1	
5	1	9	1	2	1	251	108	201	36	49.252296	BARUGUR
5	1	9	1	2	2	471	105	253	38	94.919395	PANCHAYAT
5	1	9	1	2	3	740	103	124	30	95.748306	UNION
5	1	9	1	2	4	1278	94	46	44	39.736485	Xi.
5	1	9	1	2	5	1397	94	220	31	91.460732	PALACODE
5	1	9	1	2	6	1634	92	250	30	95.466591	PANCHAYAT
5	1	9	1	2	7	1899	91	127	29	96.421219	UNION
4	1	9	1	3	0	251	170	2120	58	-1	
5	1	9	1	3	1	251	188	144	40	92.369316	Balavarthi
5	1	9	1	3	2	1017	182	60	25	7.245083	$.C.
5	1	9	1	3	3	1092	181	131	32	94.546844	(Women)
5	1	9	1	3	4	1246	177	14	40	93.394318	|
5	1	9	1	3	5	1282	181	22	23	79.927536	1.
5	1	9	1	3	6	1397	171	276	41	84.543892	Dhandugaranahalli
5	1	9	1	3	7	2157	171	64	31	66.265511	S.C.
5	1	9	1	3	8	2238	170	133	31	95.750954	(Women)
4	1	9	1	4	0	249	209	2125	63	-1	
5	1	9	1	4	1	249	229	132	43	92.272186	Jagadevi
5	1	9	1	4	2	1018	223	59	25	61.097580	S.C.
5	1	9	1	4	3	1093	221	131	32	77.733803	(Women)
5	1	9	1	4	4	1247	217	14	40	96.067070	|
5	1	9	1	4	5	1280	222	25	24	96.609230	2.
5	1	9	1	4	6	1397	212	235	39	84.490852	Belamaranahalli
5	1	9	1	4	7	2160	211	62	25	87.282188	S.C.
5	1	9	1	4	8	2238	209	136	32	83.300232	(General)
4	1	9	1	5	0	251	249	2091	55	-1	
5	1	9	1	5	1	251	278	92	26	85.522324	Guttur
5	1	9	1	5	2	1018	263	60	25	71.760849	S.C.
5	1	9	1	5	3	1093	263	135	31	93.538841	(General)
5	1	9	1	5	4	1249	259	15	41	93.191025	|
5	1	9	1	5	5	1281	263	24	23	91.458015	3.
5	1	9	1	5	6	1398	260	133	25	91.038063	Samanur
5	1	9	1	5	7	2160	251	118	25	93.063423	General
5	1	9	1	5	8	2292	249	50	32	91.833954	(W)
4	1	9	1	6	0	252	290	2090	65	-1	
5	1	9	1	6	1	252	312	132	43	91.560715	Batlapalli
5	1	9	1	6	2	1018	305	61	25	93.131409	S.C.
5	1	9	1	6	3	1094	303	135	33	94.830353	(General)
5	1	9	1	6	4	1252	299	11	42	77.012245	|
5	1	9	1	6	5	1281	304	24	23	95.291260	4.
5	1	9	1	6	6	1398	299	199	26	18.691854	Koravanahalli
5	1	9	1	6	7	2161	291	117	26	92.349762	General
