level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	242	0	312	16	-1	
3	1	1	1	0	0	242	0	312	16	-1	
4	1	1	1	1	0	242	0	312	16	-1	
5	1	1	1	1	1	242	0	312	16	95.000000	 
2	1	2	0	0	0	490	0	99	28	-1	
3	1	2	1	0	0	490	0	99	28	-1	
4	1	2	1	1	0	490	0	99	28	-1	
5	1	2	1	1	1	490	0	99	28	95.000000	 
2	1	3	0	0	0	590	0	462	36	-1	
3	1	3	1	0	0	590	0	462	36	-1	
4	1	3	1	1	0	590	0	462	15	-1	
5	1	3	1	1	1	590	0	462	15	95.000000	 
4	1	3	1	2	0	590	15	64	21	-1	
5	1	3	1	2	1	590	15	64	21	95.000000	 
2	1	4	0	0	0	1059	2	188	33	-1	
3	1	4	1	0	0	1059	2	188	33	-1	
4	1	4	1	1	0	1059	2	188	33	-1	
5	1	4	1	1	1	1059	2	188	33	45.776917	THORANMAL
2	1	5	0	0	0	1322	0	59	24	-1	
3	1	5	1	0	0	1322	0	59	24	-1	
4	1	5	1	1	0	1322	0	59	24	-1	
5	1	5	1	1	1	1322	0	59	24	95.000000	 
2	1	6	0	0	0	649	6	804	72	-1	
3	1	6	1	0	0	649	8	804	70	-1	
4	1	6	1	1	0	649	12	399	25	-1	
5	1	6	1	1	1	649	27	2	2	36.042450	:
5	1	6	1	1	2	793	12	45	25	87.428139	PA
5	1	6	1	1	3	1045	30	3	1	36.960701	i
4	1	6	1	2	0	654	6	799	72	-1	
5	1	6	1	2	1	654	26	252	52	96.458961	RESERVATION
5	1	6	1	2	2	918	23	49	49	96.497719	OF
5	1	6	1	2	3	980	37	114	34	96.568970	SEATS
5	1	6	1	2	4	1109	43	69	26	96.739304	FOR
5	1	6	1	2	5	1192	14	150	52	96.506119	VILLAGE
5	1	6	1	2	6	1357	6	96	57	87.574623	PANC
2	1	7	0	0	0	1457	1	353	59	-1	
3	1	7	1	0	0	1457	1	367	59	-1	
4	1	7	1	1	0	1457	1	353	59	-1	
5	1	7	1	1	1	1457	9	119	51	90.710838	HAYAT
5	1	7	1	1	2	1560	2	11	3	41.599026	+
5	1	7	1	1	3	1595	1	215	56	93.384872	PRESIDENTS
2	1	8	0	0	0	1661	0	161	21	-1	
3	1	8	1	0	0	1661	0	161	21	-1	
4	1	8	1	1	0	1661	0	161	21	-1	
5	1	8	1	1	1	1661	0	161	21	95.000000	 
2	1	9	0	0	0	1805	0	305	17	-1	
3	1	9	1	0	0	1805	0	305	17	-1	
4	1	9	1	1	0	1805	0	305	17	-1	
5	1	9	1	1	1	1805	0	305	17	95.000000	 
2	1	10	0	0	0	2028	0	453	136	-1	
3	1	10	1	0	0	2028	0	453	136	-1	
4	1	10	1	1	0	2028	0	453	136	-1	
5	1	10	1	1	1	2028	0	453	136	95.000000	 
2	1	11	0	0	0	134	107	2205	61	-1	
3	1	11	1	0	0	134	107	2205	61	-1	
4	1	11	1	1	0	134	107	2205	61	-1	
5	1	11	1	1	1	134	107	2205	61	95.000000	 
2	1	12	0	0	0	137	212	2204	59	-1	
3	1	12	1	0	0	137	212	2204	59	-1	
4	1	12	1	1	0	137	212	2204	59	-1	
5	1	12	1	1	1	137	212	2204	59	95.000000	 
2	1	13	0	0	0	140	278	2201	59	-1	
3	1	13	1	0	0	140	278	2201	59	-1	
4	1	13	1	1	0	140	278	2201	59	-1	
5	1	13	1	1	1	140	278	2201	59	95.000000	 
2	1	14	0	0	0	55	2625	17	108	-1	
3	1	14	1	0	0	55	2625	17	108	-1	
4	1	14	1	1	0	55	2625	17	108	-1	
5	1	14	1	1	1	55	2625	17	108	95.000000	 
2	1	15	0	0	0	0	2918	404	438	-1	
3	1	15	1	0	0	0	2918	404	438	-1	
4	1	15	1	1	0	0	2918	404	438	-1	
5	1	15	1	1	1	0	2918	404	438	95.000000	 
2	1	16	0	0	0	1219	118	72	2798	-1	
3	1	16	1	0	0	1219	118	72	2798	-1	
4	1	16	1	1	0	1219	118	72	2798	-1	
5	1	16	1	1	1	1219	118	72	2798	95.000000	 
2	1	17	0	0	0	1271	2944	43	31	-1	
3	1	17	1	0	0	1271	2944	43	31	-1	
4	1	17	1	1	0	1271	2944	43	31	-1	
5	1	17	1	1	1	1271	2944	43	31	96.331924	39
2	1	18	0	0	0	1292	279	1049	31	-1	
3	1	18	1	0	0	1292	279	1049	31	-1	
4	1	18	1	1	0	1292	279	1049	31	-1	
5	1	18	1	1	1	1292	279	1049	31	95.000000	 
2	1	19	0	0	0	177	155	2176	2762	-1	
3	1	19	1	0	0	177	155	2176	2753	-1	
4	1	19	1	1	0	192	155	2074	97	-1	
5	1	19	1	1	1	192	198	44	54	41.657253	a
5	1	19	1	1	2	324	212	77	21	95.940315	Name
5	1	19	1	1	3	413	209	26	22	95.949265	of
5	1	19	1	1	4	450	209	43	21	96.442322	the
5	1	19	1	1	5	504	207	94	27	77.124313	Village
5	1	19	1	1	6	611	204	145	26	95.932777	Panchayat
5	1	19	1	1	7	851	185	105	52	0.000000	ead
5	1	19	1	1	8	987	183	28	53	23.702536	te
5	1	19	1	1	9	1047	180	77	54	11.435175	ae
5	1	19	1	1	10	1347	174	44	53	28.431839	No.
5	1	19	1	1	11	1471	187	77	20	96.578339	Name
5	1	19	1	1	12	1560	185	25	20	95.301933	of
5	1	19	1	1	13	1596	185	42	19	96.882034	the
5	1	19	1	1	14	1650	182	93	26	96.560623	Village
5	1	19	1	1	15	1755	179	145	26	96.677818	Panchayat
5	1	19	1	1	16	1989	160	68	53	0.000000	ate
5	1	19	1	1	17	2067	163	28	49	0.000000	g
5	1	19	1	1	18	2133	158	23	53	0.000000	ne
5	1	19	1	1	19	2177	155	89	55	0.000000	eade
4	1	19	1	2	0	177	252	1978	74	-1	
5	1	19	1	2	1	177	299	33	27	44.838005	(1
5	1	19	1	2	2	499	290	33	28	87.831917	{2)
5	1	19	1	2	3	976	281	33	26	74.453804	i3)
