level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	404	190	-1	
3	1	1	1	0	0	0	0	404	190	-1	
4	1	1	1	1	0	0	0	404	190	-1	
5	1	1	1	1	1	0	0	404	190	95.000000	 
2	1	2	0	0	0	246	557	24	320	-1	
3	1	2	1	0	0	246	557	24	320	-1	
4	1	2	1	1	0	246	557	24	320	-1	
5	1	2	1	1	1	246	557	24	320	0.000000	OANONRON
5	1	2	1	1	2	241	553	41	24	63.555561	>
2	1	3	0	0	0	244	46	2142	10	-1	
3	1	3	1	0	0	244	46	2142	10	-1	
4	1	3	1	1	0	244	46	2142	10	-1	
5	1	3	1	1	1	244	46	2142	10	95.000000	 
2	1	4	0	0	0	244	161	2139	10	-1	
3	1	4	1	0	0	244	161	2139	10	-1	
4	1	4	1	1	0	244	161	2139	10	-1	
5	1	4	1	1	1	244	161	2139	10	95.000000	 
2	1	5	0	0	0	1327	50	13	2923	-1	
3	1	5	1	0	0	1327	50	13	2923	-1	
4	1	5	1	1	0	1327	50	13	2923	-1	
5	1	5	1	1	1	1327	50	13	2923	95.000000	 
2	1	6	0	0	0	1316	2988	44	32	-1	
3	1	6	1	0	0	1316	2988	44	32	-1	
4	1	6	1	1	0	1316	2988	44	32	-1	
5	1	6	1	1	1	1316	2988	44	32	96.673492	48
2	1	7	0	0	0	239	89	2176	2879	-1	
3	1	7	1	0	0	239	89	2176	2875	-1	
4	1	7	1	1	0	547	89	1714	28	-1	
5	1	7	1	1	1	547	94	24	23	89.386307	2.
5	1	7	1	1	2	1001	93	24	24	90.377472	3.
5	1	7	1	1	3	1457	92	3	21	59.061768	i
5	1	7	1	1	4	1900	89	24	24	33.192444	2.
5	1	7	1	1	5	2237	91	24	23	77.912521	3.
4	1	7	1	2	0	248	215	2012	41	-1	
5	1	7	1	2	1	248	223	40	23	93.822838	16.
5	1	7	1	2	2	396	215	278	41	61.814091	Ullarthalavaipuram
5	1	7	1	2	3	1001	216	114	39	82.306496	Generai
5	1	7	1	2	4	1391	220	40	23	91.106529	13.
5	1	7	1	2	5	1540	218	229	31	91.979126	Kuthappanchan
5	1	7	1	2	6	2143	216	117	26	91.851784	General
4	1	7	1	3	0	248	251	2012	43	-1	
5	1	7	1	3	1	248	260	39	24	85.694054	17.
5	1	7	1	3	2	396	254	118	40	81.567390	Gudaiur
5	1	7	1	3	3	1001	253	114	40	91.746521	Generai
5	1	7	1	3	4	1391	257	40	23	84.618652	14.
5	1	7	1	3	5	1541	251	91	40	54.383583	idaikal
5	1	7	1	3	6	2143	254	117	25	96.643837	General
4	1	7	1	4	0	248	289	2012	42	-1	
5	1	7	1	4	1	248	297	39	24	87.583687	18.
5	1	7	1	4	2	396	296	135	31	92.002762	Nagaram
5	1	7	1	4	3	1001	291	114	40	95.778145	General
5	1	7	1	4	4	1391	295	40	23	89.167725	15.
5	1	7	1	4	5	1539	289	179	40	91.975960	Chattupathu
5	1	7	1	4	6	2143	290	117	26	90.084267	General
4	1	7	1	5	0	248	328	867	41	-1	
5	1	7	1	5	1	248	334	40	23	92.572800	19.
5	1	7	1	5	2	396	328	227	41	90.881454	Netkattumseval
5	1	7	1	5	3	1001	332	114	25	96.745583	General
4	1	7	1	6	0	246	364	1673	43	-1	
5	1	7	1	6	1	246	371	42	24	96.292877	20.
5	1	7	1	6	2	395	365	155	42	89.811264	Thenmalai
5	1	7	1	6	3	1146	364	93	41	13.718891	Genel
5	1	7	1	6	4	1388	368	193	25	90.374687	VALLIYOOR
5	1	7	1	6	5	1596	366	206	26	95.951012	PANCHAYAT
5	1	7	1	6	6	1817	365	102	25	96.179703	UNION
4	1	7	1	7	0	246	400	2066	42	-1	
5	1	7	1	7	1	246	408	42	24	79.609100	21.
5	1	7	1	7	2	395	407	218	31	91.299072	Tharukapuram
5	1	7	1	7	3	1001	403	114	39	96.579887	General
5	1	7	1	7	4	1391	406	22	24	85.094505	1.
5	1	7	1	7	5	1541	400	184	39	91.603645	Erukanthurai
5	1	7	1	7	6	2143	401	44	25	94.929733	SC
5	1	7	1	7	7	2199	401	113	25	95.610802	Women
4	1	7	1	8	0	246	438	2070	44	-1	
5	1	7	1	8	1	246	441	42	41	96.263199	22.
5	1	7	1	8	2	397	440	236	42	91.583488	Melaiyadikurichi
5	1	7	1	8	3	1002	439	113	41	96.876190	General
5	1	7	1	8	4	1541	442	128	24	90.888329	Palavoor
5	1	7	1	8	5	2144	438	43	26	93.332611	SC
5	1	7	1	8	6	2201	439	115	26	93.332611	General
4	1	7	1	9	0	1389	476	992	33	-1	
5	1	7	1	9	1	1389	481	16	23	96.801033	3
5	1	7	1	9	2	1539	478	176	31	91.492775	Achampadu
5	1	7	1	9	3	2143	476	117	25	92.964806	General
5	1	7	1	9	4	2269	476	112	25	92.964806	Women
4	1	7	1	10	0	247	513	2134	31	-1	
5	1	7	1	10	1	247	519	295	25	91.057053	AMBASAMUDRAM
5	1	7	1	10	2	558	519	209	25	96.351509	PANCHAYAT
5	1	7	1	10	3	781	518	103	25	95.698112	UNION
5	1	7	1	10	4	1389	518	16	23	96.992416	4
5	1	7	1	10	5	1538	515	235	25	91.239189	Vadakkankulam
5	1	7	1	10	6	2143	513	117	24	96.469879	General
5	1	7	1	10	7	2268	513	113	26	96.418648	Women
4	1	7	1	11	0	396	547	1985	45	-1	
5	1	7	1	11	1	396	551	246	41	54.595589	Ayansingampaitti
5	1	7	1	11	2	1002	555	42	24	95.709732	SC
5	1	7	1	11	3	1057	555	112	24	95.709732	Women
5	1	7	1	11	4	1389	554	24	23	95.041855	5.
5	1	7	1	11	5	1539	547	272	40	91.342392	A.Thirumalapuram
5	1	7	1	11	6	2143	549	117	25	96.759834	General
5	1	7	1	11	7	2268	549	113	26	96.054176	Women
4	1	7	1	12	0	397	585	1984	40	-1	
5	1	7	1	12	1	397	593	226	25	90.665787	Brammadesam
5	1	7	1	12	2	1002	592	43	24	96.233444	SC
5	1	7	1	12	3	1058	592	114	24	96.476723	General
5	1	7	1	12	4	1389	591	24	24	95.782249	6.
5	1	7	1	12	5	1541	585	153	40	92.960236	Kavalkinar
5	1	7	1	12	6	2143	587	117	25	80.488091	General
5	1	7	1	12	7	2268	586	113	26	96.554115	Women
4	1	7	1	13	0	396	623	1985	43	-1	
5	1	7	1	13	1	396	626	190	40	91.924866	Vairavikulam
5	1	7	1	13	2	1002	629	113	24	96.608795	General
5	1	7	1	13	3	1125	629	111	23	96.642494	Women
5	1	7	1	13	4	1389	628	16	23	96.682007	7
5	1	7	1	13	5	1539	626	227	29	34.760342	Vappeiankulam
5	1	7	1	13	6	2143	623	117	25	5.375977	Generali
5	1	7	1	13	7	2268	623	113	25	96.082062	Women
4	1	7	1	14	0	396	660	1864	38	-1	
5	1	7	1	14	1	396	667	90	24	91.975983	Zamin
5	1	7	1	14	2	501	666	176	32	90.406387	Singampaiti
5	1	7	1	14	3	982	672	3	1	9.761362	~
5	1	7	1	14	4	1002	665	113	25	95.321075	General
5	1	7	1	14	5	1125	665	110	24	95.321075	Women
5	1	7	1	14	6	1389	665	15	22	93.277275	8
5	1	7	1	14	7	1539	662	117	25	91.577103	Therkku
5	1	7	1	14	8	1671	662	126	31	86.835495	Valliyoor
5	1	7	1	14	9	2143	660	117	25	94.622658	General
4	1	7	1	15	0	397	697	1863	32	-1	
5	1	7	1	15	1	397	704	215	25	90.777534	Kodarankulam
5	1	7	1	15	2	1002	702	113	25	95.104706	General
5	1	7	1	15	3	1125	702	111	24	95.872490	Women
5	1	7	1	15	4	1389	702	24	23	69.646446	9.
5	1	7	1	15	5	1539	699	153	25	53.606812	Anaikulam
5	1	7	1	15	6	2143	697	117	25	96.791107	General
4	1	7	1	16	0	396	735	1864	42	-1	
5	1	7	1	16	1	396	737	142	40	91.018456	Vellanguli
5	1	7	1	16	2	1002	735	113	40	55.549831	General
