level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	404	84	-1	
3	1	1	1	0	0	0	0	404	84	-1	
4	1	1	1	1	0	0	0	404	84	-1	
5	1	1	1	1	1	0	0	404	84	95.000000	 
2	1	2	0	0	0	117	54	2074	32	-1	
3	1	2	1	0	0	117	54	2074	32	-1	
4	1	2	1	1	0	117	54	2074	32	-1	
5	1	2	1	1	1	117	54	2074	32	95.000000	 
2	1	3	0	0	0	187	84	217	65	-1	
3	1	3	1	0	0	187	84	217	65	-1	
4	1	3	1	1	0	187	84	217	65	-1	
5	1	3	1	1	1	187	84	217	65	95.000000	 
2	1	4	0	0	0	1900	0	581	127	-1	
3	1	4	1	0	0	1900	0	581	127	-1	
4	1	4	1	1	0	1900	0	581	127	-1	
5	1	4	1	1	1	1900	0	581	127	95.000000	 
2	1	5	0	0	0	2196	70	41	50	-1	
3	1	5	1	0	0	2196	70	41	50	-1	
4	1	5	1	1	0	2196	70	41	50	-1	
5	1	5	1	1	1	2196	70	41	50	96.386681	(3)
2	1	6	0	0	0	119	122	2198	36	-1	
3	1	6	1	0	0	119	122	2198	36	-1	
4	1	6	1	1	0	119	122	2198	36	-1	
5	1	6	1	1	1	119	122	2198	36	95.000000	 
2	1	7	0	0	0	0	84	140	320	-1	
3	1	7	1	0	0	0	84	140	320	-1	
4	1	7	1	1	0	0	84	140	320	-1	
5	1	7	1	1	1	0	84	140	320	95.000000	 
2	1	8	0	0	0	1900	127	581	887	-1	
3	1	8	1	0	0	1900	127	581	887	-1	
4	1	8	1	1	0	1900	127	581	37	-1	
5	1	8	1	1	1	1900	127	157	37	95.000000	 
5	1	8	1	1	2	2320	127	161	37	95.000000	 
4	1	8	1	2	0	2321	164	159	38	-1	
5	1	8	1	2	1	2321	164	159	38	95.000000	  
4	1	8	1	3	0	2321	202	159	37	-1	
5	1	8	1	3	1	2321	202	159	37	95.000000	  
4	1	8	1	4	0	2322	239	158	37	-1	
5	1	8	1	4	1	2322	239	158	37	95.000000	  
4	1	8	1	5	0	2323	276	157	38	-1	
5	1	8	1	5	1	2323	276	157	38	95.000000	  
4	1	8	1	6	0	2323	314	157	38	-1	
5	1	8	1	6	1	2323	314	157	38	95.000000	  
4	1	8	1	7	0	2323	352	158	36	-1	
5	1	8	1	7	1	2323	352	158	36	95.000000	  
4	1	8	1	8	0	2348	388	133	28	-1	
5	1	8	1	8	1	2348	388	133	28	95.000000	 
4	1	8	1	9	0	2348	416	133	37	-1	
5	1	8	1	9	1	2348	416	133	37	95.000000	 
4	1	8	1	10	0	2348	453	133	36	-1	
5	1	8	1	10	1	2348	453	133	36	95.000000	 
4	1	8	1	11	0	2325	489	156	525	-1	
5	1	8	1	11	1	2325	489	156	525	95.000000	  
2	1	9	0	0	0	2471	668	10	357	-1	
3	1	9	1	0	0	2471	668	10	357	-1	
