level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	98	0	2381	11	-1	
3	1	1	1	0	0	98	0	2381	11	-1	
4	1	1	1	1	0	98	0	2381	11	-1	
5	1	1	1	1	1	98	0	2381	11	95.000000	 
2	1	2	0	0	0	217	121	2053	11	-1	
3	1	2	1	0	0	217	121	2053	11	-1	
4	1	2	1	1	0	217	121	2053	11	-1	
5	1	2	1	1	1	217	121	2053	11	95.000000	 
2	1	3	0	0	0	216	218	2052	9	-1	
3	1	3	1	0	0	216	218	2052	9	-1	
4	1	3	1	1	0	216	218	2052	9	-1	
5	1	3	1	1	1	216	218	2052	9	95.000000	 
2	1	4	0	0	0	218	271	2050	9	-1	
3	1	4	1	0	0	218	271	2050	9	-1	
4	1	4	1	1	0	218	271	2050	9	-1	
5	1	4	1	1	1	218	271	2050	9	95.000000	 
2	1	5	0	0	0	0	2924	404	432	-1	
3	1	5	1	0	0	0	2924	404	432	-1	
4	1	5	1	1	0	0	2924	404	432	-1	
5	1	5	1	1	1	0	2924	404	432	95.000000	  
2	1	6	0	0	0	1239	130	6	2830	-1	
3	1	6	1	0	0	1239	130	6	2830	-1	
4	1	6	1	1	0	1239	130	6	2830	-1	
5	1	6	1	1	1	1239	130	6	2830	95.000000	 
2	1	7	0	0	0	1228	2984	44	38	-1	
3	1	7	1	0	0	1228	2984	44	38	-1	
4	1	7	1	1	0	1228	2984	44	38	-1	
5	1	7	1	1	1	1228	2984	44	38	74.576073	55
2	1	8	0	0	0	221	140	2031	2807	-1	
3	1	8	1	0	0	226	140	2026	82	-1	
4	1	8	1	1	0	233	140	1989	39	-1	
5	1	8	1	1	1	233	142	36	27	46.489822	SI
5	1	8	1	1	2	453	140	95	29	58.495136	Name
5	1	8	1	1	3	562	143	30	27	96.482643	of
5	1	8	1	1	4	603	143	50	27	96.836060	the
5	1	8	1	1	5	860	143	147	35	96.531281	Category
5	1	8	1	1	6	1020	147	29	23	95.868347	to
5	1	8	1	1	7	1061	144	94	26	95.868347	which
5	1	8	1	1	8	1297	141	35	27	76.454529	Si.
5	1	8	1	1	9	1517	141	95	26	96.295723	Name
5	1	8	1	1	10	1625	141	30	26	96.476303	of
5	1	8	1	1	11	1665	141	51	27	96.110184	the
5	1	8	1	1	12	1921	142	150	37	96.180176	Category
5	1	8	1	1	13	2084	147	32	24	96.180176	to
5	1	8	1	1	14	2128	146	94	26	95.311348	which
4	1	8	1	2	0	226	181	2026	44	-1	
5	1	8	1	2	1	226	181	51	44	82.719421	No.
5	1	8	1	2	2	404	185	113	37	89.959297	Village.
