level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	500	298	-1	
3	1	1	1	0	0	0	0	500	298	-1	
4	1	1	1	1	0	0	0	500	298	-1	
5	1	1	1	1	1	0	0	500	298	95.000000	  
2	1	2	0	0	0	445	0	1767	13	-1	
3	1	2	1	0	0	445	0	1767	13	-1	
4	1	2	1	1	0	445	0	1767	13	-1	
5	1	2	1	1	1	445	0	1767	13	95.000000	 
2	1	3	0	0	0	1001	116	151	57	-1	
3	1	3	1	0	0	1001	116	151	57	-1	
4	1	3	1	1	0	1001	116	151	57	-1	
5	1	3	1	1	1	1001	116	151	57	95.000000	  
5	1	3	1	1	2	1147	145	5	28	95.000000	 
2	1	4	0	0	0	434	206	1078	45	-1	
3	1	4	1	0	0	434	206	1078	45	-1	
4	1	4	1	1	0	434	206	1078	45	-1	
5	1	4	1	1	1	434	206	411	42	95.293373	RESERVATION
5	1	4	1	1	2	881	208	120	41	96.832245	FOR
5	1	4	1	1	3	1034	210	364	41	96.068642	PRESIDENTS
5	1	4	1	1	4	1434	210	78	41	96.821800	OF
2	1	5	0	0	0	1544	209	680	44	-1	
3	1	5	1	0	0	1544	209	680	44	-1	
4	1	5	1	1	0	1544	209	680	44	-1	
5	1	5	1	1	1	1544	209	263	41	91.560654	VILLAGE
5	1	5	1	1	2	1843	210	381	43	91.560654	PANCHAYATS
2	1	6	0	0	0	1724	121	79	50	-1	
3	1	6	1	0	0	1724	121	79	50	-1	
4	1	6	1	1	0	1724	121	79	50	-1	
5	1	6	1	1	1	1724	121	79	50	95.000000	 
2	1	7	0	0	0	1808	120	99	53	-1	
3	1	7	1	0	0	1808	120	99	53	-1	
4	1	7	1	1	0	1808	120	99	53	-1	
5	1	7	1	1	1	1808	120	99	53	93.461121	CT
2	1	8	0	0	0	212	318	2194	15	-1	
3	1	8	1	0	0	212	318	2194	15	-1	
4	1	8	1	1	0	212	318	2194	15	-1	
5	1	8	1	1	1	212	318	2194	15	95.000000	 
2	1	9	0	0	0	212	332	2194	10	-1	
3	1	9	1	0	0	212	332	2194	10	-1	
4	1	9	1	1	0	212	332	2194	10	-1	
5	1	9	1	1	1	212	332	2194	10	95.000000	 
2	1	10	0	0	0	367	337	2039	8	-1	
3	1	10	1	0	0	367	337	2039	8	-1	
4	1	10	1	1	0	367	337	2039	8	-1	
5	1	10	1	1	1	367	337	2039	8	95.000000	 
2	1	11	0	0	0	367	336	2039	9	-1	
3	1	11	1	0	0	367	336	2039	9	-1	
4	1	11	1	1	0	367	336	2039	9	-1	
5	1	11	1	1	1	367	336	2039	9	95.000000	 
2	1	12	0	0	0	349	485	2056	10	-1	
3	1	12	1	0	0	349	485	2056	10	-1	
4	1	12	1	1	0	349	485	2056	10	-1	
5	1	12	1	1	1	349	485	2056	10	95.000000	 
2	1	13	0	0	0	241	495	2164	18	-1	
3	1	13	1	0	0	241	495	2164	18	-1	
