level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	112	507	9	23	-1	
3	1	1	1	0	0	112	507	9	23	-1	
4	1	1	1	1	0	112	507	9	23	-1	
5	1	1	1	1	1	112	507	9	23	40.434448	nats
2	1	2	0	0	0	110	546	17	409	-1	
3	1	2	1	0	0	110	546	17	409	-1	
4	1	2	1	1	0	110	546	17	409	-1	
5	1	2	1	1	1	111	932	10	23	32.637520	veh
5	1	2	1	1	2	111	894	10	22	50.687134	mb
5	1	2	1	1	3	111	857	10	20	26.668396	oo
5	1	2	1	1	4	110	816	16	22	30.847984	YE)
5	1	2	1	1	5	110	777	16	23	27.169804	OP
5	1	2	1	1	6	110	738	16	23	31.400620	mal
5	1	2	1	1	7	110	701	16	22	41.271416	CH
5	1	2	1	1	8	110	662	17	22	32.719654	TE
5	1	2	1	1	9	110	585	17	61	27.874851	Sad
2	1	3	0	0	0	128	855	24	254	-1	
3	1	3	1	0	0	128	855	24	254	-1	
4	1	3	1	1	0	128	855	24	254	-1	
5	1	3	1	1	1	128	1047	24	62	27.726074	GU
5	1	3	1	1	2	128	1008	17	23	21.929045	bo
5	1	3	1	1	3	129	969	16	23	46.108974	Gb
5	1	3	1	1	4	128	932	17	23	46.760742	AS
5	1	3	1	1	5	129	893	10	23	22.913942	mb
5	1	3	1	1	6	129	855	16	22	15.736399	ot
2	1	4	0	0	0	0	72	18	955	-1	
3	1	4	1	0	0	0	72	18	955	-1	
4	1	4	1	1	0	0	72	18	955	-1	
5	1	4	1	1	1	0	72	18	955	95.000000	 
2	1	5	0	0	0	111	970	10	61	-1	
3	1	5	1	0	0	111	970	10	61	-1	
4	1	5	1	1	0	111	970	10	61	-1	
5	1	5	1	1	1	101	1004	28	27	32.945778	rad
5	1	5	1	1	2	101	967	28	24	8.837042	ale
2	1	6	0	0	0	110	1047	34	140	-1	
3	1	6	1	0	0	110	1047	34	140	-1	
4	1	6	1	1	0	110	1047	10	140	-1	
5	1	6	1	1	1	110	1125	10	62	25.996637	ee
5	1	6	1	1	2	110	1086	10	22	21.304665	ee
5	1	6	1	1	3	111	1047	9	24	20.849491	re
4	1	6	1	2	0	127	1125	17	24	-1	
5	1	6	1	2	1	127	1125	17	24	52.065849	eu
2	1	7	0	0	0	110	1203	10	23	-1	
3	1	7	1	0	0	110	1203	10	23	-1	
4	1	7	1	1	0	110	1203	10	23	-1	
5	1	7	1	1	1	110	1203	10	23	65.630295	ash
2	1	8	0	0	0	102	2164	44	68	-1	
3	1	8	1	0	0	102	2164	44	68	-1	
4	1	8	1	1	0	102	2164	44	68	-1	
5	1	8	1	1	1	102	2164	44	68	95.000000	 
2	1	9	0	0	0	105	2222	44	239	-1	
3	1	9	1	0	0	105	2222	44	239	-1	
4	1	9	1	1	0	105	2244	18	139	-1	
5	1	9	1	1	1	105	2361	17	22	31.176023	Ge
5	1	9	1	1	2	108	2322	14	23	32.313705	ge
5	1	9	1	1	3	106	2283	16	23	50.427055	ty
5	1	9	1	1	4	106	2244	17	23	24.552170	ee
4	1	9	1	2	0	124	2222	25	239	-1	
5	1	9	1	2	1	126	2438	22	23	41.133202	=
5	1	9	1	2	2	124	2325	25	50	22.055737	Sw
5	1	9	1	2	3	125	2253	24	50	64.371468	NG
5	1	9	1	2	4	125	2222	24	6	0.528259	|
2	1	10	0	0	0	105	2399	33	118	-1	
3	1	10	1	0	0	105	2399	33	118	-1	
4	1	10	1	1	0	105	2399	33	118	-1	
5	1	10	1	1	1	107	2516	4	1	8.068085	‘
5	1	10	1	1	2	105	2476	33	23	35.784706	it
5	1	10	1	1	3	105	2438	16	22	20.964155	Sih
5	1	10	1	1	4	106	2399	16	23	31.395527	Lg
2	1	11	0	0	0	105	2554	35	23	-1	
3	1	11	1	0	0	105	2554	35	23	-1	
4	1	11	1	1	0	105	2560	17	16	-1	
5	1	11	1	1	1	105	2560	17	16	51.861462	ay
4	1	11	1	2	0	125	2554	15	23	-1	
5	1	11	1	2	1	125	2554	15	23	20.879040	rr
2	1	12	0	0	0	104	2707	25	369	-1	
3	1	12	1	0	0	104	2707	25	369	-1	
4	1	12	1	1	0	104	2707	25	369	-1	
5	1	12	1	1	1	88	3053	53	27	18.815660	mi
5	1	12	1	1	2	88	2974	53	58	33.854202	OOF
5	1	12	1	1	3	104	2903	25	49	16.012621	EE
5	1	12	1	1	4	88	2823	53	59	35.696278	GTB
5	1	12	1	1	5	88	2784	53	23	24.920731	Gd
5	1	12	1	1	6	88	2744	53	23	30.654102	RY
5	1	12	1	1	7	88	2707	53	20	48.773212	mt
2	1	13	0	0	0	123	3053	25	23	-1	
3	1	13	1	0	0	123	3053	25	23	-1	
4	1	13	1	1	0	123	3053	25	23	-1	
5	1	13	1	1	1	123	3053	25	23	0.000000	co
2	1	14	0	0	0	106	156	666	151	-1	
3	1	14	1	0	0	106	156	666	151	-1	
4	1	14	1	1	0	106	156	666	151	-1	
5	1	14	1	1	1	106	156	666	151	95.000000	 
2	1	15	0	0	0	270	451	703	9	-1	
3	1	15	1	0	0	270	451	703	9	-1	
4	1	15	1	1	0	270	451	703	9	-1	
5	1	15	1	1	1	270	451	703	9	95.000000	 
2	1	16	0	0	0	228	428	634	347	-1	
3	1	16	1	0	0	228	428	634	347	-1	
4	1	16	1	1	0	228	428	552	75	-1	
5	1	16	1	1	1	228	428	552	75	95.000000	 
4	1	16	1	2	0	228	503	552	35	-1	
5	1	16	1	2	1	228	503	552	35	95.000000	  
4	1	16	1	3	0	228	623	634	70	-1	
5	1	16	1	3	1	228	623	634	70	95.000000	    
4	1	16	1	4	0	228	693	634	33	-1	
5	1	16	1	4	1	228	693	634	33	95.000000	  
4	1	16	1	5	0	228	726	81	49	-1	
5	1	16	1	5	1	228	726	81	49	95.000000	 
2	1	17	0	0	0	291	1821	97	30	-1	
3	1	17	1	0	0	291	1821	97	30	-1	
4	1	17	1	1	0	291	1821	97	30	-1	
5	1	17	1	1	1	291	1821	97	30	3.997879	Sub
5	1	17	1	1	2	359	1817	33	38	32.973869	uy
2	1	18	0	0	0	225	1858	168	102	-1	
3	1	18	1	0	0	225	1858	168	102	-1	
4	1	18	1	1	0	225	1858	168	25	-1	
5	1	18	1	1	1	225	1858	168	25	29.757290	Shharkadu
4	1	18	1	2	0	225	1936	85	24	-1	
5	1	18	1	2	1	225	1936	85	24	0.228577	Athy
2	1	19	0	0	0	219	1970	212	445	-1	
3	1	19	1	0	0	219	1970	212	445	-1	
4	1	19	1	1	0	219	1970	212	445	-1	
5	1	19	1	1	1	219	1970	212	445	95.000000	 
2	1	20	0	0	0	225	2376	64	47	-1	
3	1	20	1	0	0	225	2376	64	47	-1	
4	1	20	1	1	0	225	2376	26	47	-1	
5	1	20	1	1	1	225	2376	26	47	39.454468	ta
5	1	20	1	1	2	221	2372	41	14	0.000000	&
4	1	20	1	2	0	272	2399	17	24	-1	
5	1	20	1	2	1	272	2399	17	24	25.910387	gh
2	1	21	0	0	0	225	2481	18	18	-1	
3	1	21	1	0	0	225	2481	18	18	-1	
4	1	21	1	1	0	225	2481	7	18	-1	
5	1	21	1	1	1	225	2481	7	18	37.511845	oe
4	1	21	1	2	0	233	2487	10	3	-1	
5	1	21	1	2	1	233	2487	10	3	56.607166	i
2	1	22	0	0	0	225	2514	176	32	-1	
3	1	22	1	0	0	225	2514	176	32	-1	
4	1	22	1	1	0	225	2514	176	32	-1	
5	1	22	1	1	1	225	2514	176	32	0.000000	Elanthossy
2	1	23	0	0	0	225	2553	230	31	-1	
3	1	23	1	0	0	225	2553	230	31	-1	
4	1	23	1	1	0	225	2553	230	31	-1	
5	1	23	1	1	1	225	2553	230	31	69.448448	Mannampands
2	1	24	0	0	0	223	726	497	466	-1	
3	1	24	1	0	0	223	726	497	466	-1	
4	1	24	1	1	0	223	726	497	231	-1	
5	1	24	1	1	1	223	726	497	231	95.000000	  
4	1	24	1	2	0	223	957	317	235	-1	
5	1	24	1	2	1	223	957	317	235	95.000000	     
2	1	25	0	0	0	302	738	307	101	-1	
3	1	25	1	0	0	302	738	307	63	-1	
4	1	25	1	1	0	309	738	214	25	-1	
5	1	25	1	1	1	309	738	214	25	14.038897	chhrambalar
4	1	25	1	2	0	302	773	307	66	-1	
