level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	244	0	2235	16	-1	
3	1	1	1	0	0	244	0	2235	16	-1	
4	1	1	1	1	0	244	0	2235	16	-1	
5	1	1	1	1	1	244	0	2235	16	95.000000	 
2	1	2	0	0	0	278	120	42	52	-1	
3	1	2	1	0	0	278	120	42	52	-1	
4	1	2	1	1	0	278	120	42	52	-1	
5	1	2	1	1	1	278	120	42	52	95.000000	 
2	1	3	0	0	0	287	211	10	33	-1	
3	1	3	1	0	0	287	211	10	33	-1	
4	1	3	1	1	0	287	211	10	33	-1	
5	1	3	1	1	1	287	211	10	33	95.000000	 
2	1	4	0	0	0	282	228	17	249	-1	
3	1	4	1	0	0	282	228	17	249	-1	
4	1	4	1	1	0	282	228	17	249	-1	
5	1	4	1	1	1	282	455	17	22	61.131763	Te
5	1	4	1	1	2	282	416	16	23	76.802551	G2
5	1	4	1	1	3	282	377	16	23	80.262268	Gd
5	1	4	1	1	4	282	338	16	23	56.531990	tod
5	1	4	1	1	5	282	300	16	22	27.138567	GS
5	1	4	1	1	6	282	262	16	21	61.627281	fl
5	1	4	1	1	7	282	228	15	14	40.170345	os
2	1	5	0	0	0	282	222	44	681	-1	
3	1	5	1	0	0	282	222	44	681	-1	
4	1	5	1	1	0	282	225	17	291	-1	
5	1	5	1	1	1	282	493	17	23	54.010696	Pe
5	1	5	1	1	2	282	225	5	4	80.042664	3
4	1	5	1	2	0	300	222	26	681	-1	
5	1	5	1	2	1	300	222	26	681	0.000000	SOCIO
5	1	5	1	2	2	283	491	56	94	54.256584	ABS
5	1	5	1	2	3	283	412	56	57	33.076241	SS
5	1	5	1	2	4	283	305	56	84	33.076241	BNO
5	1	5	1	2	5	283	221	56	56	26.923170	hd
2	1	6	0	0	0	282	532	17	178	-1	
3	1	6	1	0	0	282	532	17	178	-1	
4	1	6	1	1	0	282	532	17	178	-1	
5	1	6	1	1	1	283	687	16	23	51.003281	ws
5	1	6	1	1	2	282	648	17	23	56.615833	te
5	1	6	1	1	3	282	609	17	23	55.972984	oft
5	1	6	1	1	4	282	570	17	23	26.737820	AG
5	1	6	1	1	5	283	532	16	23	18.726139	>
2	1	7	0	0	0	283	725	16	23	-1	
3	1	7	1	0	0	283	725	16	23	-1	
4	1	7	1	1	0	283	725	16	23	-1	
5	1	7	1	1	1	283	725	16	23	35.715771	a
2	1	8	0	0	0	282	764	22	139	-1	
3	1	8	1	0	0	282	764	22	139	-1	
4	1	8	1	1	0	282	764	17	22	-1	
5	1	8	1	1	1	282	764	17	22	93.353081	4
4	1	8	1	2	0	283	802	16	23	-1	
5	1	8	1	2	1	283	802	16	23	83.942047	4
4	1	8	1	3	0	283	841	21	24	-1	
5	1	8	1	3	1	283	841	21	24	31.210403	5!
4	1	8	1	4	0	283	880	16	23	-1	
5	1	8	1	4	1	283	880	16	23	65.274124	3
2	1	9	0	0	0	276	909	56	191	-1	
3	1	9	1	0	0	276	909	56	191	-1	
4	1	9	1	1	0	276	909	56	191	-1	
