level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	212	788	-1	
3	1	1	1	0	0	0	0	212	788	-1	
4	1	1	1	1	0	0	0	212	788	-1	
5	1	1	1	1	1	0	0	212	788	95.000000	 
2	1	2	0	0	0	1129	1	381	57	-1	
3	1	2	1	0	0	1095	1	415	57	-1	
4	1	2	1	1	0	1129	1	381	57	-1	
5	1	2	1	1	1	1095	1	167	3	0.766907	 BNNA
5	1	2	1	1	2	1289	1	221	55	95.162094	DISTRICT
2	1	3	0	0	0	1706	0	59	6	-1	
3	1	3	1	0	0	1706	0	59	6	-1	
4	1	3	1	1	0	1706	0	59	6	-1	
5	1	3	1	1	1	1706	0	59	6	95.000000	 
2	1	4	0	0	0	881	65	904	38	-1	
3	1	4	1	0	0	881	65	904	38	-1	
4	1	4	1	1	0	881	65	904	38	-1	
5	1	4	1	1	1	881	77	226	24	93.955887	RESERVATION
5	1	4	1	1	2	1119	76	68	23	95.673820	FOR
5	1	4	1	1	3	1202	74	149	29	94.400307	VILLAGE
5	1	4	1	1	4	1369	69	195	26	95.674660	PANCHAYAT
5	1	4	1	1	5	1584	65	201	25	12.383757	PRESIDENTS
2	1	5	0	0	0	287	105	2068	35	-1	
3	1	5	1	0	0	287	105	2068	35	-1	
4	1	5	1	1	0	287	105	2068	35	-1	
5	1	5	1	1	1	287	105	2068	35	95.000000	 
2	1	6	0	0	0	289	247	2068	35	-1	
3	1	6	1	0	0	289	247	2068	35	-1	
4	1	6	1	1	0	289	247	2068	35	-1	
5	1	6	1	1	1	289	247	2068	35	95.000000	 
2	1	7	0	0	0	289	124	2050	3075	-1	
3	1	7	1	0	0	289	124	2050	188	-1	
4	1	7	1	1	0	289	124	2019	63	-1	
5	1	7	1	1	1	289	151	98	29	60.272579	SLNo.
5	1	7	1	1	2	511	145	112	42	87.774529	“Namie
5	1	7	1	1	3	638	146	30	27	94.836769	of
5	1	7	1	1	4	679	146	52	27	96.598404	the
5	1	7	1	1	5	745	145	103	33	91.712646	Village
5	1	7	1	1	6	954	144	143	33	94.568558	Category
5	1	7	1	1	7	1111	144	28	25	94.175293	to
5	1	7	1	1	8	1154	141	91	28	76.714798	which
5	1	7	1	1	9	1352	137	89	28	18.633165	SLNo
5	1	7	1	1	10	1589	134	94	26	96.665283	Name
5	1	7	1	1	11	1698	131	30	27	96.669037	of
5	1	7	1	1	12	1740	131	49	26	96.913506	the
5	1	7	1	1	13	1803	129	104	33	94.944168	Village
5	1	7	1	1	14	2014	128	146	32	96.238068	Category
5	1	7	1	1	15	2173	127	29	26	96.051598	to
5	1	7	1	1	16	2216	124	92	27	95.514786	which
4	1	7	1	2	0	318	168	2021	59	-1	
5	1	7	1	2	1	318	222	3	5	17.888641	.
5	1	7	1	2	2	592	191	179	34	96.246429	Panchayat
5	1	7	1	2	3	946	188	186	28	96.256210	Reservation
5	1	7	1	2	4	1150	188	21	26	94.652939	is
5	1	7	1	2	5	1188	186	87	28	96.051979	Made
5	1	7	1	2	6	1653	175	177	33	91.097916	Panchayat
5	1	7	1	2	7	2007	171	187	28	96.046265	Reservation
5	1	7	1	2	8	2212	170	22	27	95.782112	is
5	1	7	1	2	9	2252	168	87	29	73.751350	Made
4	1	7	1	3	0	310	212	1868	59	-1	
5	1	7	1	3	1	310	240	36	31	36.777596	(1)
5	1	7	1	3	2	667	233	36	31	94.643021	(2)
5	1	7	1	3	3	1080	230	35	31	29.710016	(3)
5	1	7	1	3	4	1140	243	2	2	64.833122	-
5	1	7	1	3	5	1373	225	36	31	19.125795	7)
5	1	7	1	3	6	1727	217	34	30	96.785606	(2)
5	1	7	1	3	7	2142	212	36	31	29.077892	(B
4	1	7	1	4	0	417	268	1843	44	-1	
5	1	7	1	4	1	417	287	22	24	66.868652	4,
5	1	7	1	4	2	459	282	280	29	81.179222	KANCHEEPURAM
5	1	7	1	4	3	753	281	191	25	96.286568	PANCHAYAT
5	1	7	1	4	4	955	279	99	25	96.360886	UNION
5	1	7	1	4	5	1377	288	42	24	75.060837	28.
5	1	7	1	4	6	1581	282	117	26	85.564590	Valathur
5	1	7	1	4	7	2010	269	109	24	80.461678	General
5	1	7	1	4	8	2149	268	111	24	77.056107	Women
3	1	7	2	0	0	315	307	1945	57	-1	
4	1	7	2	1	0	315	307	1945	57	-1	
5	1	7	2	1	1	315	336	22	25	66.608398	4,
5	1	7	2	1	2	441	332	120	32	71.160248	rpakkam
5	1	7	2	1	3	913	328	41	23	47.937332	SC
5	1	7	2	1	4	992	327	109	24	56.630283	Wrernen
5	1	7	2	1	5	1377	328	42	24	75.062065	29.
5	1	7	2	1	6	1584	322	137	26	89.954300	Marudam
5	1	7	2	1	7	2010	308	110	25	86.185814	General
5	1	7	2	1	8	2150	307	110	24	57.853767	Wornen
3	1	7	3	0	0	314	347	1947	58	-1	
4	1	7	3	1	0	314	347	1947	58	-1	
5	1	7	3	1	1	314	377	23	25	85.228859	2.
5	1	7	3	1	2	419	373	115	32	20.014658	Vippedu
5	1	7	3	1	3	913	368	42	25	83.859619	SC
5	1	7	3	1	4	994	367	108	25	0.000000	Women
5	1	7	3	1	5	1378	368	42	24	89.806442	30.
5	1	7	3	1	6	1585	353	230	44	39.965443	Puliyarnbakkam
5	1	7	3	1	7	2010	348	111	24	80.042000	General
