level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	26	28	1621	-1	
3	1	1	1	0	0	0	26	28	1621	-1	
4	1	1	1	1	0	0	26	28	1621	-1	
5	1	1	1	1	1	0	26	28	1621	95.000000	 
2	1	2	0	0	0	330	441	54	83	-1	
3	1	2	1	0	0	330	441	54	83	-1	
4	1	2	1	1	0	338	441	46	42	-1	
5	1	2	1	1	1	338	441	46	42	61.309868	Ad.
4	1	2	1	2	0	330	494	53	30	-1	
5	1	2	1	2	1	330	494	53	30	67.510696	45,
2	1	3	0	0	0	336	536	46	68	-1	
3	1	3	1	0	0	336	536	46	68	-1	
4	1	3	1	1	0	336	536	19	65	-1	
5	1	3	1	1	1	332	576	33	29	51.098423	da
5	1	3	1	1	2	337	536	18	24	48.693733	of
4	1	3	1	2	0	357	539	25	65	-1	
5	1	3	1	2	1	357	539	25	65	52.989922	No
2	1	4	0	0	0	345	617	7	5	-1	
3	1	4	1	0	0	345	617	7	5	-1	
4	1	4	1	1	0	345	617	7	5	-1	
5	1	4	1	1	1	345	617	7	5	45.658550	a
2	1	5	0	0	0	334	618	48	227	-1	
3	1	5	1	0	0	334	618	48	259	-1	
4	1	5	1	1	0	334	657	20	181	-1	
5	1	5	1	1	1	334	817	17	21	49.348007	OT
5	1	5	1	1	2	334	777	17	25	23.394384	OI
5	1	5	1	1	3	335	737	17	25	37.559818	CN
5	1	5	1	1	4	335	696	17	25	0.000000	Gi
4	1	5	1	2	0	354	618	28	227	-1	
5	1	5	1	2	1	353	780	27	97	65.891365	BOON
5	1	5	1	2	2	357	739	23	27	54.273258	=
5	1	5	1	2	3	355	699	26	26	4.214964	O
5	1	5	1	2	4	356	659	25	25	54.782112	©
5	1	5	1	2	5	357	618	25	26	18.592196	oo
2	1	6	0	0	0	330	834	20	328	-1	
3	1	6	1	0	0	330	834	20	328	-1	
4	1	6	1	1	0	330	834	20	328	-1	
5	1	6	1	1	1	330	1098	17	64	29.265661	OO)
5	1	6	1	1	2	326	1054	32	24	35.774330	Gi
5	1	6	1	1	3	331	1017	18	21	63.639034	ot
5	1	6	1	1	4	326	974	32	24	60.222931	O71
5	1	6	1	1	5	326	934	32	24	76.093880	GT
5	1	6	1	1	6	333	897	16	24	80.585526	OF
5	1	6	1	1	7	333	857	17	25	41.769356	cn
5	1	6	1	1	8	334	834	14	7	8.425474	&
2	1	7	0	0	0	348	882	31	445	-1	
3	1	7	1	0	0	348	882	31	445	-1	
4	1	7	1	1	0	348	882	31	445	-1	
5	1	7	1	1	1	348	882	31	445	27.109356	ARGU
5	1	7	1	1	2	332	1141	57	19	62.181671	=
5	1	7	1	1	3	332	1022	57	96	23.538746	OOO
5	1	7	1	1	4	332	941	57	63	18.685083	AIG
2	1	8	0	0	0	326	1179	21	326	-1	
3	1	8	1	0	0	326	1179	21	326	-1	
4	1	8	1	1	0	326	1179	21	326	-1	
5	1	8	1	1	1	326	1462	17	43	36.568222	{19
5	1	8	1	1	2	327	1421	16	16	51.824577	9
5	1	8	1	1	3	322	1386	32	19	0.000000	oO
5	1	8	1	1	4	327	1340	18	25	11.730633	O)
5	1	8	1	1	5	328	1300	18	20	46.332581	or
5	1	8	1	1	6	329	1261	17	19	32.242035	mo
5	1	8	1	1	7	322	1218	32	22	7.160664	oh
5	1	8	1	1	8	330	1179	17	24	32.469360	oy
2	1	9	0	0	0	330	1507	10	18	-1	
3	1	9	1	0	0	330	1507	10	18	-1	
4	1	9	1	1	0	330	1507	10	18	-1	
5	1	9	1	1	1	330	1507	10	18	41.003220	an!
2	1	10	0	0	0	344	1342	29	307	-1	
