level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	589	56	36	31	-1	
3	1	1	1	0	0	589	56	36	31	-1	
4	1	1	1	1	0	589	56	36	31	-1	
5	1	1	1	1	1	589	56	36	31	96.410202	(2)
2	1	2	0	0	0	995	56	36	31	-1	
3	1	2	1	0	0	995	56	36	31	-1	
4	1	2	1	1	0	995	56	36	31	-1	
5	1	2	1	1	1	995	56	36	31	58.551392	(3)
2	1	3	0	0	0	1148	43	307	6	-1	
3	1	3	1	0	0	1148	43	307	6	-1	
4	1	3	1	1	0	1148	43	307	6	-1	
5	1	3	1	1	1	1148	43	307	6	95.000000	 
2	1	4	0	0	0	2138	31	125	57	-1	
3	1	4	1	0	0	2138	31	125	57	-1	
4	1	4	1	1	0	2138	31	125	57	-1	
5	1	4	1	1	1	2138	31	125	57	95.000000	 
2	1	5	0	0	0	311	93	2069	27	-1	
3	1	5	1	0	0	311	93	2069	27	-1	
4	1	5	1	1	0	311	93	2069	27	-1	
5	1	5	1	1	1	311	93	2069	27	95.000000	 
2	1	6	0	0	0	500	135	338	2109	-1	
3	1	6	1	0	0	500	135	338	1069	-1	
4	1	6	1	1	0	500	135	86	25	-1	
5	1	6	1	1	1	500	135	86	25	87.897728	Budur
4	1	6	1	2	0	501	175	170	35	-1	
5	1	6	1	2	1	501	175	170	35	83.019470	Egumadurai
4	1	6	1	3	0	501	215	183	26	-1	
5	1	6	1	3	1	501	215	183	26	88.015236	Kannankottai
4	1	6	1	4	0	500	255	261	31	-1	
5	1	6	1	4	1	500	255	261	31	89.684616	Mukkarampakkam
4	1	6	1	5	0	500	295	271	26	-1	
5	1	6	1	5	1	500	295	271	26	82.135826	Melmuchalambedu
4	1	6	1	6	0	501	336	146	32	-1	
5	1	6	1	6	1	501	336	146	32	92.968704	Puduvoyal
4	1	6	1	7	0	501	376	199	26	-1	
5	1	6	1	7	1	501	376	199	26	89.530853	Pondavakkam
4	1	6	1	8	0	501	416	176	32	-1	
5	1	6	1	8	1	501	416	176	32	91.776222	Samaputhur
4	1	6	1	9	0	500	456	115	32	-1	
5	1	6	1	9	1	500	456	115	32	92.126152	Thervoy
4	1	6	1	10	0	501	496	147	32	-1	
5	1	6	1	10	1	501	496	147	32	96.139763	Mangalam
4	1	6	1	11	0	502	536	200	32	-1	
5	1	6	1	11	1	502	536	200	32	90.851311	Pathapalayam
4	1	6	1	12	0	502	576	118	27	-1	
5	1	6	1	12	1	502	576	118	27	91.093269	Poovaiai
4	1	6	1	13	0	502	617	193	31	-1	
5	1	6	1	13	1	502	617	193	31	92.527443	Pudupalayam
4	1	6	1	14	0	502	656	90	26	-1	
5	1	6	1	14	1	502	656	90	26	91.652084	Karani
4	1	6	1	15	0	501	697	213	31	-1	
5	1	6	1	15	1	501	697	213	31	91.012177	Thandalachery
4	1	6	1	16	0	502	737	184	32	-1	
5	1	6	1	16	1	502	737	184	32	92.049736	Mangavaram
4	1	6	1	17	0	503	776	219	26	-1	
5	1	6	1	17	1	503	776	219	26	91.114021	Obasamudiram
4	1	6	1	18	0	503	816	167	34	-1	
5	1	6	1	18	1	503	816	167	34	90.031219	Panpakkam
4	1	6	1	19	0	501	857	190	29	-1	
5	1	6	1	19	1	501	857	190	29	88.674591	Arambakkam
4	1	6	1	20	0	504	897	179	25	-1	
5	1	6	1	20	1	504	897	179	25	87.490303	Getnamaliee
4	1	6	1	21	0	504	937	168	32	-1	
5	1	6	1	21	1	504	937	168	32	85.427513	Periapuliyur
4	1	6	1	22	0	504	977	201	32	-1	
5	1	6	1	22	1	504	977	201	32	89.498077	Chedilpakkam
4	1	6	1	23	0	504	1017	236	26	-1	
5	1	6	1	23	1	504	1017	236	26	42.577263	Valudhalambedu
4	1	6	1	24	0	504	1057	138	27	-1	
5	1	6	1	24	1	504	1057	138	27	91.230995	Manallore
4	1	6	1	25	0	503	1097	335	33	-1	
5	1	6	1	25	1	503	1097	335	33	91.028893	Annapanaickenkuppam
4	1	6	1	26	0	505	1136	131	34	-1	
5	1	6	1	26	1	505	1136	131	34	91.324524	Erukuvoy
4	1	6	1	27	0	505	1178	130	26	-1	
5	1	6	1	27	1	505	1178	130	26	90.724380	Eliavoure
3	1	6	2	0	0	505	1218	290	355	-1	
4	1	6	2	1	0	505	1218	101	25	-1	
5	1	6	2	1	1	505	1218	101	25	92.900810	Edocre
4	1	6	2	2	0	505	1257	290	32	-1	
5	1	6	2	2	1	505	1257	156	32	90.912956	Guruvaraia
5	1	6	2	2	2	673	1257	122	32	87.580193	Kandigai
4	1	6	2	3	0	506	1298	183	32	-1	
5	1	6	2	3	1	506	1298	183	32	90.401833	Karadiputhur
4	1	6	2	4	0	506	1338	255	26	-1	
5	1	6	2	4	1	506	1338	255	26	79.763046	Kilmudhatambedu
4	1	6	2	5	0	506	1375	224	29	-1	
5	1	6	2	5	1	506	1377	201	27	0.000000	Guruvatucheri
4	1	6	2	6	0	505	1415	187	36	-1	
5	1	6	2	6	1	505	1415	187	36	83.669914	Medipalayam
4	1	6	2	7	0	505	1458	151	26	-1	
5	1	6	2	7	1	505	1458	151	26	92.558601	Melakalani
4	1	6	2	8	0	507	1498	236	32	-1	
5	1	6	2	8	1	507	1498	236	32	89.761284	Narasingepuram
4	1	6	2	9	0	507	1538	143	35	-1	
5	1	6	2	9	1	507	1538	143	35	85.399391	Nameilore
3	1	6	3	0	0	507	1579	185	104	-1	
4	1	6	3	1	0	507	1579	94	31	-1	
5	1	6	3	1	1	507	1579	94	31	91.362701	Nelvoy
4	1	6	3	2	0	507	1618	185	31	-1	
5	1	6	3	2	1	507	1618	185	31	92.445755	Pethikuppam
4	1	6	3	3	0	507	1657	149	26	-1	
5	1	6	3	3	1	507	1657	149	26	92.650047	Padirivedu
3	1	6	4	0	0	507	1696	292	348	-1	
4	1	6	4	1	0	507	1696	292	34	-1	
5	1	6	4	1	1	507	1698	99	25	93.288399	Siddha
5	1	6	4	1	2	618	1696	181	34	20.693588	Rajakancigai
4	1	6	4	2	0	508	1737	167	33	-1	
5	1	6	4	2	1	508	1737	167	33	82.325241	Sirupulpetai
4	1	6	4	3	0	507	1776	179	33	-1	
5	1	6	4	3	1	507	1776	179	33	92.118347	Soorapoondi
4	1	6	4	4	0	509	1818	261	31	-1	
5	1	6	4	4	1	509	1818	261	31	90.959076	Emathimelpakkam
4	1	6	4	5	0	507	1858	112	25	-1	
5	1	6	4	5	1	507	1858	112	25	88.722725	Thervali
4	1	6	4	6	0	507	1899	179	25	-1	
5	1	6	4	6	1	507	1899	179	25	87.383736	Thokkamore
4	1	6	4	7	0	507	1939	178	31	-1	
5	1	6	4	7	1	507	1939	178	31	92.384010	Athupakkam
4	1	6	4	8	0	509	1978	201	33	-1	
5	1	6	4	8	1	509	1978	201	33	91.523758	Eguvarpalaym
4	1	6	4	9	0	510	2019	132	25	-1	
5	1	6	4	9	1	510	2019	132	25	91.609108	Kolianore
3	1	6	5	0	0	510	2059	109	25	-1	
4	1	6	5	1	0	510	2059	109	25	-1	
5	1	6	5	1	1	510	2059	109	25	91.839767	Natham
3	1	6	6	0	0	510	2098	308	66	-1	
4	1	6	6	1	0	510	2098	308	31	-1	
5	1	6	6	1	1	510	2099	73	25	91.834190	Pudu
5	1	6	6	1	2	595	2098	223	31	89.186104	Gummidipoondi
4	1	6	6	2	0	510	2139	170	25	-1	
5	1	6	6	2	1	510	2139	170	25	90.980003	Palavakkam
3	1	6	7	0	0	510	2178	259	66	-1	
4	1	6	7	1	0	510	2178	259	30	-1	
5	1	6	7	1	1	510	2179	72	26	87.859917	Peria
5	1	6	7	1	2	594	2178	175	30	50.961639	Obulapuram
4	1	6	7	2	0	510	2219	241	25	-1	
5	1	6	7	2	1	510	2219	241	25	86.905670	Sunnambukulam
2	1	7	0	0	0	498	2277	711	32	-1	
3	1	7	1	0	0	498	2277	711	32	-1	
4	1	7	1	1	0	498	2277	711	32	-1	
5	1	7	1	1	1	498	2281	28	28	90.960320	6.
5	1	7	1	1	2	543	2278	290	30	90.397026	POONAMALLEE
5	1	7	1	1	3	862	2277	219	29	96.389084	PANCHAYAT
5	1	7	1	1	4	1097	2277	112	28	96.645882	UNION
2	1	8	0	0	0	508	2328	274	752	-1	
3	1	8	1	0	0	508	2328	261	552	-1	
4	1	8	1	1	0	508	2328	181	27	-1	
5	1	8	1	1	1	508	2328	181	27	89.925026	Thirumanam
4	1	8	1	2	0	510	2370	108	31	-1	
5	1	8	1	2	1	510	2370	108	31	91.694305	Meppur
4	1	8	1	3	0	510	2409	189	31	-1	
5	1	8	1	3	1	510	2409	189	31	81.367661	Gudapakkam
4	1	8	1	4	0	510	2448	227	27	-1	
5	1	8	1	4	1	510	2448	227	27	91.133377	Melmanambedu
4	1	8	1	5	0	510	2489	154	26	-1	
5	1	8	1	5	1	510	2489	154	26	92.525024	Chittukadu
4	1	8	1	6	0	511	2528	204	34	-1	
5	1	8	1	6	1	511	2528	204	34	91.594429	Kolappancheri
4	1	8	1	7	0	510	2569	172	32	-1	
5	1	8	1	7	1	510	2569	172	32	85.588242	Vayalanallur
4	1	8	1	8	0	510	2609	173	26	-1	
5	1	8	1	8	1	510	2609	173	26	92.670944	Annambedu
4	1	8	1	9	0	513	2648	240	32	-1	
5	1	8	1	9	1	513	2648	240	32	90.688087	Kosavanpalayam
4	1	8	1	10	0	513	2687	256	28	-1	
5	1	8	1	10	1	513	2687	256	28	88.106071	Banaveduthotham
4	1	8	1	11	0	513	2728	221	26	-1	
5	1	8	1	11	1	513	2728	221	26	47.024200	Kutheambakkam
4	1	8	1	12	0	512	2768	135	28	-1	
5	1	8	1	12	1	512	2768	135	28	92.475945	Vellavedu
4	1	8	1	13	0	513	2807	235	27	-1	
5	1	8	1	13	1	513	2807	235	27	91.459572	Karunakaracheri
4	1	8	1	14	0	512	2848	119	32	-1	
5	1	8	1	14	1	512	2848	119	32	91.759964	Agramel
3	1	8	2	0	0	514	2889	268	191	-1	
4	1	8	2	1	0	514	2889	110	24	-1	
5	1	8	2	1	1	514	2889	110	24	90.587708	Nemam
4	1	8	2	2	0	514	2927	268	26	-1	
5	1	8	2	2	1	514	2927	268	26	88.968300	Sembarambakkam
4	1	8	2	3	0	515	2967	209	31	-1	
5	1	8	2	3	1	515	2967	209	31	91.664551	Kannapalayam
4	1	8	2	4	0	515	3007	196	32	-1	
5	1	8	2	4	1	515	3007	196	32	91.141235	Nedukuthagai
4	1	8	2	5	0	515	3048	185	32	-1	
5	1	8	2	5	1	515	3048	185	32	91.805061	Kattupakkam
2	1	9	0	0	0	484	3088	158	32	-1	
3	1	9	1	0	0	484	3088	158	32	-1	
4	1	9	1	1	0	484	3088	158	32	-1	
5	1	9	1	1	1	484	3111	2	2	45.504845	.
5	1	9	1	1	2	516	3088	126	32	85.867546	Soranjeri
2	1	10	0	0	0	516	3123	164	31	-1	
3	1	10	1	0	0	516	3123	164	31	-1	
4	1	10	1	1	0	516	3123	164	31	-1	
5	1	10	1	1	1	516	3123	164	31	92.469673	Parivakkam
2	1	11	0	0	0	363	3236	335	46	-1	
3	1	11	1	0	0	363	3236	335	46	-1	
4	1	11	1	1	0	363	3236	335	46	-1	
5	1	11	1	1	1	363	3236	276	46	0.000000	D.R.D.-P&C)—
5	1	11	1	1	2	651	3252	47	25	52.302292	loa
2	1	12	0	0	0	934	137	191	345	-1	
3	1	12	1	0	0	934	137	191	345	-1	
4	1	12	1	1	0	934	137	190	25	-1	
5	1	12	1	1	1	934	137	41	23	71.148415	SC
5	1	12	1	1	2	1015	137	109	25	86.320633	General
4	1	12	1	2	0	934	176	190	25	-1	
5	1	12	1	2	1	934	176	41	25	62.528290	SC
5	1	12	1	2	2	1016	176	108	25	78.432907	General
4	1	12	1	3	0	934	216	190	25	-1	
5	1	12	1	3	1	934	216	42	24	66.070145	SC
5	1	12	1	3	2	1016	216	108	25	85.100693	General
4	1	12	1	4	0	934	257	190	24	-1	
