level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	404	106	-1	
3	1	1	1	0	0	0	0	404	106	-1	
4	1	1	1	1	0	0	0	404	106	-1	
5	1	1	1	1	1	0	0	404	106	95.000000	 
2	1	2	0	0	0	1073	82	318	26	-1	
3	1	2	1	0	0	1073	82	318	26	-1	
4	1	2	1	1	0	1073	82	318	26	-1	
5	1	2	1	1	1	1073	82	136	26	25.867329	Wee
5	1	2	1	1	2	1256	84	66	20	31.749945	ee
5	1	2	1	1	3	1337	83	54	20	22.355633	tee
2	1	3	0	0	0	159	156	2172	38	-1	
3	1	3	1	0	0	159	156	2172	38	-1	
4	1	3	1	1	0	159	156	2172	38	-1	
5	1	3	1	1	1	159	156	2172	38	95.000000	 
2	1	4	0	0	0	168	282	2160	38	-1	
3	1	4	1	0	0	168	282	2160	38	-1	
4	1	4	1	1	0	168	282	2160	38	-1	
5	1	4	1	1	1	168	282	2160	38	95.000000	 
2	1	5	0	0	0	207	122	2108	2667	-1	
3	1	5	1	0	0	207	122	2108	2663	-1	
4	1	5	1	1	0	536	122	1107	45	-1	
5	1	5	1	1	1	511	140	31	17	0.000000	—-
5	1	5	1	1	2	843	131	199	36	81.437866	RESERVATION
5	1	5	1	1	3	1062	130	58	34	93.218323	FOR
5	1	5	1	1	4	1139	128	116	36	13.639641	WIRLAGE
5	1	5	1	1	5	1276	125	167	37	28.174009	PANCHAYAT
5	1	5	1	1	6	1463	122	180	45	66.723480	PRESIDENTS
4	1	5	1	2	0	216	173	1977	54	-1	
5	1	5	1	2	1	216	197	30	26	86.651955	Sl.
5	1	5	1	2	2	408	198	142	29	65.683884	Name:of
5	1	5	1	2	3	559	198	54	25	96.239685	the
5	1	5	1	2	4	892	189	152	33	95.323929	Category
5	1	5	1	2	5	1055	189	33	24	96.473633	to
5	1	5	1	2	6	1322	173	29	44	65.681953	St.
5	1	5	1	2	7	1511	185	99	25	96.753967	Name
5	1	5	1	2	8	1621	182	31	26	96.376015	of
5	1	5	1	2	9	1661	182	55	29	95.293724	the
5	1	5	1	2	10	1995	174	154	33	96.765312	Category
5	1	5	1	2	11	2160	173	33	25	93.388268	to
4	1	5	1	3	0	207	210	2108	77	-1	
5	1	5	1	3	1	207	230	52	49	96.715324	No.
5	1	5	1	3	2	360	237	109	31	96.094452	Village
5	1	5	1	3	3	481	233	179	33	96.683304	Panchayat
5	1	5	1	3	4	770	224	100	63	84.243172	Which
5	1	5	1	3	5	885	226	200	27	96.322655	Reservation
5	1	5	1	3	6	1081	232	18	19	96.847855	is
5	1	5	1	3	7	1112	224	96	27	96.551041	made
5	1	5	1	3	8	1312	220	51	26	96.609924	No.
5	1	5	1	3	9	1465	222	107	31	91.346329	Village
5	1	5	1	3	10	1585	218	176	33	96.242538	Panchayat
5	1	5	1	3	11	1872	213	100	36	96.707024	Which
5	1	5	1	3	12	1986	211	187	27	96.688141	Reservation
5	1	5	1	3	13	2186	210	18	26	96.594826	is
5	1	5	1	3	14	2218	210	97	27	95.019661	mace
4	1	5	1	4	0	214	249	1901	53	-1	
5	1	5	1	4	1	214	272	40	29	34.290295	(1)
5	1	5	1	4	2	490	273	40	29	96.642914	(2)
5	1	5	1	4	3	971	264	41	29	96.864937	(3)
5	1	5	1	4	4	1319	257	39	29	20.570568	()
5	1	5	1	4	5	1594	258	39	29	9.199448	2)
5	1	5	1	4	6	2073	249	42	28	96.836006	(3)
4	1	5	1	5	0	246	301	1972	73	-1	
5	1	5	1	5	1	246	333	20	27	57.935234	i.
5	1	5	1	5	2	329	312	248	57	89.949387	ERUMAPATTI
5	1	5	1	5	3	601	326	223	30	92.837898	PANCHAYAT
5	1	5	1	5	4	836	301	122	73	96.662758	UNION
5	1	5	1	5	5	1331	329	22	22	12.286453	6.
5	1	5	1	5	6	1415	326	78	29	65.548119	Nanjai
5	1	5	1	5	7	1504	325	89	28	91.776474	Edayar
5	1	5	1	5	8	1992	318	99	21	89.048592	General
5	1	5	1	5	9	2104	317	114	27	95.556885	(Women)
4	1	5	1	6	0	248	351	1970	61	-1	
5	1	5	1	6	1	248	385	20	20	87.960136	1.
5	1	5	1	6	2	330	376	207	36	90.472443	Sivanaickanpatti
5	1	5	1	6	3	909	374	51	23	70.524773	S.C.
5	1	5	1	6	4	973	374	112	28	96.296547	(Women)
5	1	5	1	6	5	1332	365	21	19	84.787987	7.
5	1	5	1	6	6	1416	360	196	28	78.561707	Kumaripalayam
5	1	5	1	6	7	1992	352	100	23	95.331223	General
5	1	5	1	6	8	2104	351	114	27	95.738075	(Women)
4	1	5	1	7	0	246	386	1973	60	-1	
5	1	5	1	7	1	246	422	22	22	94.332306	2.
5	1	5	1	7	2	330	419	187	27	91.954018	Kodikkalpudur
5	1	5	1	7	3	909	413	51	22	72.766678	S.C.
5	1	5	1	7	4	973	412	112	27	96.375526	(Women)
5	1	5	1	7	5	1332	399	21	21	90.183159	8.
5	1	5	1	7	6	1415	391	168	36	82.922844	Arasanatham
5	1	5	1	7	7	1620	427	3	4	17.796688	;
5	1	5	1	7	8	1993	387	99	22	96.288315	General
5	1	5	1	7	9	2105	386	114	26	96.742416	(Women)
4	1	5	1	8	0	247	420	1973	58	-1	
5	1	5	1	8	1	247	456	21	22	69.104927	3.
5	1	5	1	8	2	331	453	238	24	69.104927	Bommasamudram
5	1	5	1	8	3	910	440	51	29	64.718231	S.C.
5	1	5	1	8	4	974	446	114	28	96.773987	(General)
5	1	5	1	8	5	1333	433	21	21	62.930988	9.
5	1	5	1	8	6	1392	426	20	45	5.653667	_
5	1	5	1	8	7	1417	430	207	26	74.524864	Madakasampatti
5	1	5	1	8	8	1994	421	98	23	96.422546	General
5	1	5	1	8	9	2105	420	115	27	96.812996	(Women)
4	1	5	1	9	0	248	454	1972	63	-1	
5	1	5	1	9	1	248	492	20	20	86.446892	4.
5	1	5	1	9	2	330	490	100	27	86.905579	Varagur
5	1	5	1	9	3	910	482	52	22	92.582306	S.C.
