level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	96	65	2147	24	-1	
3	1	1	1	0	0	96	65	2147	24	-1	
4	1	1	1	1	0	96	65	2147	24	-1	
5	1	1	1	1	1	96	65	2147	24	95.000000	 
2	1	2	0	0	0	375	106	723	240	-1	
3	1	2	1	0	0	375	106	723	240	-1	
4	1	2	1	1	0	375	106	723	126	-1	
5	1	2	1	1	1	375	106	723	126	95.000000	  
4	1	2	1	2	0	429	232	439	114	-1	
5	1	2	1	2	1	429	232	411	83	95.000000	  
5	1	2	1	2	2	857	232	11	114	95.000000	 
2	1	3	0	0	0	135	156	2130	24	-1	
3	1	3	1	0	0	135	156	2130	24	-1	
4	1	3	1	1	0	135	156	2130	24	-1	
5	1	3	1	1	1	135	156	2130	24	95.000000	 
2	1	4	0	0	0	126	181	173	33	-1	
3	1	4	1	0	0	126	181	173	33	-1	
4	1	4	1	1	0	126	181	173	33	-1	
5	1	4	1	1	1	126	181	173	33	95.000000	  
2	1	5	0	0	0	357	236	69	4	-1	
3	1	5	1	0	0	357	236	69	4	-1	
4	1	5	1	1	0	357	236	69	4	-1	
5	1	5	1	1	1	357	236	69	4	95.000000	 
2	1	6	0	0	0	328	232	770	114	-1	
3	1	6	1	0	0	328	232	770	114	-1	
4	1	6	1	1	0	328	232	770	114	-1	
5	1	6	1	1	1	328	239	98	9	95.000000	    
5	1	6	1	1	2	886	232	212	114	95.000000	 
4	1	6	1	2	0	328	248	98	11	-1	
5	1	6	1	2	1	328	248	98	11	95.000000	 
2	1	7	0	0	0	379	59	2102	544	-1	
3	1	7	1	0	0	379	59	2102	544	-1	
4	1	7	1	1	0	379	59	2102	544	-1	
5	1	7	1	1	1	379	442	34	3	95.000000	 
5	1	7	1	1	2	2011	59	470	544	95.000000	 
2	1	8	0	0	0	1421	704	44	14	-1	
3	1	8	1	0	0	1421	704	44	14	-1	
4	1	8	1	1	0	1421	704	44	14	-1	
5	1	8	1	1	1	1421	704	44	14	95.000000	 
2	1	9	0	0	0	951	654	1272	208	-1	
3	1	9	1	0	0	951	654	1272	208	-1	
4	1	9	1	1	0	951	654	1272	208	-1	
5	1	9	1	1	1	951	654	1272	208	95.000000	   
2	1	10	0	0	0	410	862	1802	102	-1	
3	1	10	1	0	0	410	862	1802	102	-1	
4	1	10	1	1	0	410	862	1802	102	-1	
5	1	10	1	1	1	410	862	38	38	95.000000	  
5	1	10	1	1	2	948	867	126	94	95.000000	  
5	1	10	1	1	3	1543	904	60	60	95.000000	 
5	1	10	1	1	4	2106	881	106	81	95.000000	 
2	1	11	0	0	0	399	964	569	23	-1	
3	1	11	1	0	0	399	964	569	23	-1	
4	1	11	1	1	0	399	964	569	23	-1	
5	1	11	1	1	1	399	964	46	23	95.000000	 
5	1	11	1	1	2	933	975	35	4	95.000000	 
2	1	12	0	0	0	971	1004	646	61	-1	
3	1	12	1	0	0	971	1004	646	61	-1	
4	1	12	1	1	0	971	1004	646	61	-1	
5	1	12	1	1	1	971	1004	124	61	95.000000	 
5	1	12	1	1	2	1552	1011	65	46	95.000000	 
2	1	13	0	0	0	347	1076	2011	168	-1	
3	1	13	1	0	0	347	1076	2011	168	-1	
4	1	13	1	1	0	347	1076	2011	168	-1	
5	1	13	1	1	1	347	1139	10	30	95.000000	 
5	1	13	1	1	2	981	1076	37	11	95.000000	 
5	1	13	1	1	3	1044	1123	61	111	95.000000	  
5	1	13	1	1	4	1581	1081	44	45	95.000000	 
5	1	13	1	1	5	1672	1086	580	151	95.000000	  
5	1	13	1	1	6	2296	1209	62	35	95.000000	 
2	1	14	0	0	0	1496	1279	55	33	-1	
3	1	14	1	0	0	1496	1279	55	33	-1	
4	1	14	1	1	0	1496	1279	55	33	-1	
5	1	14	1	1	1	1496	1279	55	33	95.000000	 
2	1	15	0	0	0	1449	1363	38	17	-1	
3	1	15	1	0	0	1449	1363	38	17	-1	
4	1	15	1	1	0	1449	1363	38	17	-1	
5	1	15	1	1	1	1449	1363	38	17	95.000000	 
2	1	16	0	0	0	1475	1398	751	39	-1	
3	1	16	1	0	0	1475	1398	751	39	-1	
4	1	16	1	1	0	1475	1398	751	39	-1	
5	1	16	1	1	1	1475	1398	56	24	95.000000	 
5	1	16	1	1	2	2150	1404	76	33	95.000000	 
2	1	17	0	0	0	2146	1443	35	11	-1	
3	1	17	1	0	0	2146	1443	35	11	-1	
4	1	17	1	1	0	2146	1443	35	11	-1	
5	1	17	1	1	1	2146	1443	35	11	95.000000	 
2	1	18	0	0	0	1025	1463	601	62	-1	
3	1	18	1	0	0	1025	1463	601	62	-1	
4	1	18	1	1	0	1025	1463	601	62	-1	
5	1	18	1	1	1	1025	1463	50	22	95.000000	 
5	1	18	1	1	2	1546	1469	80	56	95.000000	 
2	1	19	0	0	0	824	1588	273	178	-1	
3	1	19	1	0	0	824	1588	273	178	-1	
4	1	19	1	1	0	824	1588	273	178	-1	
5	1	19	1	1	1	824	1588	273	178	95.000000	   
2	1	20	0	0	0	418	1629	1786	105	-1	
3	1	20	1	0	0	418	1629	1786	105	-1	
4	1	20	1	1	0	418	1629	1786	105	-1	
5	1	20	1	1	1	418	1654	366	80	95.000000	  
5	1	20	1	1	2	1186	1632	11	34	95.000000	 
5	1	20	1	1	3	1553	1643	67	16	95.000000	 
5	1	20	1	1	4	2024	1629	180	82	95.000000	 
2	1	21	0	0	0	2171	1762	36	9	-1	
3	1	21	1	0	0	2171	1762	36	9	-1	
4	1	21	1	1	0	2171	1762	36	9	-1	
5	1	21	1	1	1	2171	1762	36	9	95.000000	 
2	1	22	0	0	0	352	1758	1271	150	-1	
3	1	22	1	0	0	352	1758	1271	150	-1	
4	1	22	1	1	0	352	1758	1271	120	-1	
5	1	22	1	1	1	352	1768	87	110	95.000000	    
5	1	22	1	1	2	1552	1758	71	82	95.000000	 
4	1	22	1	2	0	378	1878	47	30	-1	
5	1	22	1	2	1	378	1878	47	30	95.000000	 
2	1	23	0	0	0	455	2045	33	8	-1	
3	1	23	1	0	0	455	2045	33	8	-1	
4	1	23	1	1	0	455	2045	33	8	-1	
5	1	23	1	1	1	455	2045	33	8	95.000000	 
2	1	24	0	0	0	1048	2130	27	21	-1	
3	1	24	1	0	0	1048	2130	27	21	-1	
4	1	24	1	1	0	1048	2130	27	21	-1	
5	1	24	1	1	1	1048	2130	27	21	95.000000	 
2	1	25	0	0	0	412	2356	640	72	-1	
3	1	25	1	0	0	412	2356	640	72	-1	
4	1	25	1	1	0	412	2356	640	72	-1	
5	1	25	1	1	1	412	2391	80	37	95.000000	 
5	1	25	1	1	2	946	2356	106	56	95.000000	 
2	1	26	0	0	0	427	2566	136	42	-1	
3	1	26	1	0	0	427	2566	136	42	-1	
4	1	26	1	1	0	427	2566	136	42	-1	
5	1	26	1	1	1	427	2566	136	42	95.000000	  
2	1	27	0	0	0	123	1974	2101	763	-1	
3	1	27	1	0	0	123	1974	2101	763	-1	
4	1	27	1	1	0	123	1974	2101	763	-1	
5	1	27	1	1	1	123	2675	49	25	95.000000	   
5	1	27	1	1	2	921	2640	160	95	95.000000	  
5	1	27	1	1	3	1402	1974	822	763	95.000000	 
2	1	28	0	0	0	1164	75	28	2699	-1	
3	1	28	1	0	0	1164	75	28	2699	-1	
4	1	28	1	1	0	1164	75	28	2699	-1	
5	1	28	1	1	1	1164	75	28	2699	95.000000	 
2	1	29	0	0	0	121	264	2293	2481	-1	
3	1	29	1	0	0	121	264	2293	2481	-1	
4	1	29	1	1	0	179	264	714	37	-1	
5	1	29	1	1	1	179	273	14	20	96.518227	2
5	1	29	1	1	2	264	264	168	37	0.000000	Kallupaiayan
5	1	29	1	1	3	841	278	52	22	64.398308	S.C,
4	1	29	1	2	0	179	307	1436	41	-1	
5	1	29	1	2	1	179	308	20	19	54.721817	3.
5	1	29	1	2	2	263	307	123	41	95.965157	Mangalam
5	1	29	1	2	3	405	337	3	2	53.135700	|
5	1	29	1	2	4	451	334	13	4	37.387852	7
5	1	29	1	2	5	841	312	51	23	69.011459	S.C,
5	1	29	1	2	6	1604	329	11	12	55.287888	>
4	1	29	1	3	0	179	342	1826	39	-1	
5	1	29	1	3	1	179	345	14	15	96.799454	4
5	1	29	1	3	2	263	342	103	31	3.318739	Batiakult
5	1	29	1	3	3	392	335	7	42	0.000000	~
5	1	29	1	3	4	841	348	51	21	80.209099	S.C.
5	1	29	1	3	5	905	348	129	28	64.962357	(General)
5	1	29	1	3	6	1057	347	2	2	0.000000	~
5	1	29	1	3	7	1607	363	7	3	24.701071	~
5	1	29	1	3	8	1976	368	29	13	35.082756	ae
4	1	29	1	4	0	174	369	845	42	-1	
5	1	29	1	4	1	174	372	24	35	95.154694	5.
5	1	29	1	4	2	262	377	75	21	96.468048	Minna
5	1	29	1	4	3	325	369	89	35	0.000000	arrivaili
5	1	29	1	4	4	840	383	52	21	71.205391	S.C.
5	1	29	1	4	5	905	383	114	28	88.656761	(General)
4	1	29	1	5	0	178	407	1790	51	-1	
5	1	29	1	5	1	178	411	20	21	87.175583	6.
5	1	29	1	5	2	262	407	157	35	86.320908	Kolankondai
5	1	29	1	5	3	520	440	3	4	0.000000	:
5	1	29	1	5	4	840	417	51	21	94.370811	S.C.
5	1	29	1	5	5	904	418	119	28	80.522881	(General):
5	1	29	1	5	6	1447	446	3	2	0.000000	.
5	1	29	1	5	7	1627	447	90	4	0.000000	be
5	1	29	1	5	8	1818	449	59	9	30.512100	pete
5	1	29	1	5	9	1925	450	43	4	45.971176	ee
4	1	29	1	6	0	177	435	1802	46	-1	
5	1	29	1	6	1	177	446	21	21	80.168617	7.
5	1	29	1	6	2	262	443	136	36	90.254379	Kuppuchip
5	1	29	1	6	3	393	435	106	46	0.000000	valayarn
5	1	29	1	6	4	840	452	51	22	90.722412	S.C.
5	1	29	1	6	5	899	450	122	30	1.387711	(General)
5	1	29	1	6	6	1305	465	2	3	63.439671	:
5	1	29	1	6	7	1627	461	1	5	40.270119	pg
5	1	29	1	6	8	1653	456	57	13	45.718369	ae
5	1	29	1	6	9	1767	458	69	16	40.006332	MES
5	1	29	1	6	10	1857	455	63	19	17.568588	Ee
5	1	29	1	6	11	1943	458	36	16	8.791780	sg
4	1	29	1	7	0	177	477	1464	46	-1	
5	1	29	1	7	1	177	482	21	19	60.914509	8
5	1	29	1	7	2	261	474	177	36	68.394470	Karungalpatiy
5	1	29	1	7	3	447	477	140	46	78.728760	Agraharam
5	1	29	1	7	4	840	486	98	24	91.291229	General
5	1	29	1	7	5	950	485	112	31	94.971237	(Women)
5	1	29	1	7	6	1529	490	42	8	0.000000	me
5	1	29	1	7	7	1613	490	28	13	11.410952	Sa
4	1	29	1	8	0	177	516	931	35	-1	
5	1	29	1	8	1	177	516	20	21	27.268387	9.
5	1	29	1	8	2	261	516	142	28	0.000000	 Marapparah
5	1	29	1	8	3	437	519	10	6	30.295601	~
5	1	29	1	8	4	840	521	98	23	96.774094	General
5	1	29	1	8	5	950	518	112	33	27.236229	(Women)
5	1	29	1	8	6	1072	528	8	3	27.236229	~
5	1	29	1	8	7	1099	522	9	7	13.181229	*
4	1	29	1	9	0	163	551	945	34	-1	
5	1	29	1	9	1	163	551	27	19	80.811073	19
5	1	29	1	9	2	259	551	167	22	27.895580	Vandinatham
5	1	29	1	9	3	839	554	222	31	19.231997	Generai-{Women)
5	1	29	1	9	4	1073	558	4	14	49.957161	>
5	1	29	1	9	5	1098	553	10	9	52.122581	~
4	1	29	1	10	0	158	585	911	34	-1	
5	1	29	1	10	1	158	585	38	21	32.746700	tt.
5	1	29	1	10	2	261	586	145	22	0.000000	Pilianatnam
5	1	29	1	10	3	839	591	98	22	87.012268	General
5	1	29	1	10	4	949	589	120	30	20.151787	(Women)
4	1	29	1	11	0	162	617	913	37	-1	
5	1	29	1	11	1	162	620	34	20	34.766499	12.
5	1	29	1	11	2	261	620	178	28	55.550270	Koitapalayany
5	1	29	1	11	3	478	617	13	9	0.000000	*
5	1	29	1	11	4	516	618	18	12	0.000000	~'
5	1	29	1	11	5	839	625	105	22	75.399498	General
5	1	29	1	11	6	949	623	146	37	0.000000	Women)’
4	1	29	1	12	0	162	650	1142	63	-1	
5	1	29	1	12	1	162	654	34	20	43.688934	73.00
5	1	29	1	12	2	260	655	119	26	0.000000	Munjanugr
5	1	29	1	12	3	838	650	98	40	39.319595	General
5	1	29	1	12	4	945	652	116	61	9.295073	(Worhen)
5	1	29	1	12	5	1187	659	19	5	27.949718	po
5	1	29	1	12	6	1301	673	3	12	76.466469	:
5	1	29	1	12	7	1442	667	32	12	22.975826	af
4	1	29	1	13	0	162	685	2028	45	-1	
5	1	29	1	13	1	162	689	27	20	58.508698	14
5	1	29	1	13	2	260	689	125	23	43.500462	Palamedu
5	1	29	1	13	3	838	685	93	41	77.040871	Genérel
5	1	29	1	13	4	943	693	9	23	90.395393	-
5	1	29	1	13	5	1075	705	19	7	45.934673	ne
5	1	29	1	13	6	1184	694	6	2	11.278601	[
5	1	29	1	13	7	1299	693	5	37	13.813229	:
5	1	29	1	13	8	1427	702	9	7	0.000000	s
5	1	29	1	13	9	2093	711	7	3	54.092873	-
5	1	29	1	13	10	2181	711	9	5	21.403065	“
4	1	29	1	14	0	162	724	1141	27	-1	
5	1	29	1	14	1	162	724	33	21	93.372162	15,
5	1	29	1	14	2	259	724	156	27	80.946213	Ramapuram
5	1	29	1	14	3	432	726	52	10	27.566643	oor
5	1	29	1	14	4	528	733	2	5	31.680962	+
5	1	29	1	14	5	818	729	117	22	68.380737	“General
5	1	29	1	14	6	949	735	19	20	0.000000	ey
5	1	29	1	14	7	1009	735	4	2	0.000000	eve
5	1	29	1	14	8	1097	733	11	8	22.816906	le
5	1	29	1	14	9	1298	733	5	7	3.204765	‘
4	1	29	1	15	0	162	737	1141	62	-1	
5	1	29	1	15	1	162	759	33	20	61.817890	16.
5	1	29	1	15	2	259	759	136	28	69.048317	Morangam
5	1	29	1	15	3	503	770	83	20	0.908146	eof
5	1	29	1	15	4	615	771	56	20	9.647770	kde
5	1	29	1	15	5	691	772	67	21	34.532478	Sib
5	1	29	1	15	6	779	773	32	23	46.499733	ae
5	1	29	1	15	7	813	737	135	62	40.220642	“General,
5	1	29	1	15	8	1300	764	3	3	79.501846	:
4	1	29	1	16	0	160	790	789	30	-1	
5	1	29	1	16	1	160	794	35	20	65.100723	17.
5	1	29	1	16	2	259	794	140	22	89.109070	Karumanur
5	1	29	1	16	3	532	790	221	6	27.087025	ne
5	1	29	1	16	4	837	790	112	30	38.319725	Genefai”
4	1	29	1	17	0	160	820	2254	55	-1	
5	1	29	1	17	1	160	828	35	21	70.698402	18.
5	1	29	1	17	2	258	823	124	27	8.556519	Mamundi.
5	1	29	1	17	3	385	820	141	55	88.275024	Agraharam
5	1	29	1	17	4	837	833	119	22	0.000000	General
5	1	29	1	17	5	2398	842	16	15	48.890781	“
4	1	29	1	18	0	160	862	1933	45	-1	
5	1	29	1	18	1	160	863	35	20	68.598412	ig.
5	1	29	1	18	2	256	862	154	30	0.000000	Avinasipatty"
5	1	29	1	18	3	837	867	98	23	96.438034	General
