level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	41	0	2439	44	-1	
3	1	1	1	0	0	41	0	2439	44	-1	
4	1	1	1	1	0	41	0	2439	44	-1	
5	1	1	1	1	1	41	0	2439	44	95.000000	 
2	1	2	0	0	0	204	230	74	41	-1	
3	1	2	1	0	0	204	230	74	41	-1	
4	1	2	1	1	0	204	230	74	41	-1	
5	1	2	1	1	1	204	230	74	41	95.000000	 
2	1	3	0	0	0	1493	180	165	69	-1	
3	1	3	1	0	0	1493	180	165	69	-1	
4	1	3	1	1	0	1493	180	165	69	-1	
5	1	3	1	1	1	1493	180	165	69	78.399841	RESIDENTS
2	1	4	0	0	0	428	235	1918	35	-1	
3	1	4	1	0	0	428	235	1918	35	-1	
4	1	4	1	1	0	428	235	1918	35	-1	
5	1	4	1	1	1	428	235	1918	35	95.000000	 
2	1	5	0	0	0	780	131	655	239	-1	
3	1	5	1	0	0	780	131	655	239	-1	
4	1	5	1	1	0	780	131	655	239	-1	
5	1	5	1	1	1	780	131	655	239	95.000000	 
2	1	6	0	0	0	256	358	2083	37	-1	
3	1	6	1	0	0	256	358	2083	37	-1	
4	1	6	1	1	0	256	358	2083	37	-1	
5	1	6	1	1	1	256	358	2083	37	95.000000	 
2	1	7	0	0	0	353	672	47	15	-1	
3	1	7	1	0	0	353	672	47	15	-1	
4	1	7	1	1	0	353	672	47	15	-1	
5	1	7	1	1	1	353	672	47	15	95.000000	 
2	1	8	0	0	0	305	2479	168	69	-1	
3	1	8	1	0	0	305	2479	168	69	-1	
4	1	8	1	1	0	305	2479	168	69	-1	
5	1	8	1	1	1	305	2479	168	69	95.000000	 
2	1	9	0	0	0	291	3135	318	35	-1	
3	1	9	1	0	0	291	3135	318	35	-1	
4	1	9	1	1	0	291	3135	318	35	-1	
5	1	9	1	1	1	291	3135	318	35	14.259377	DRDA-P&C(ij—-11
2	1	10	0	0	0	1226	249	43	2576	-1	
3	1	10	1	0	0	1226	249	43	2576	-1	
4	1	10	1	1	0	1226	249	43	2576	-1	
5	1	10	1	1	1	1226	249	43	2576	95.000000	 
2	1	11	0	0	0	1326	2051	78	61	-1	
3	1	11	1	0	0	1326	2051	78	61	-1	
4	1	11	1	1	0	1326	2051	78	61	-1	
5	1	11	1	1	1	1326	2051	78	61	95.000000	 
2	1	12	0	0	0	1377	2064	50	14	-1	
3	1	12	1	0	0	1377	2064	50	14	-1	
4	1	12	1	1	0	1377	2064	50	14	-1	
5	1	12	1	1	1	1377	2064	50	14	95.000000	 
2	1	13	0	0	0	1800	1816	51	34	-1	
3	1	13	1	0	0	1800	1816	51	34	-1	
4	1	13	1	1	0	1800	1816	51	34	-1	
5	1	13	1	1	1	1800	1816	51	34	95.000000	 
2	1	14	0	0	0	1862	2589	35	15	-1	
3	1	14	1	0	0	1862	2589	35	15	-1	
4	1	14	1	1	0	1862	2589	35	15	-1	
5	1	14	1	1	1	1862	2589	35	15	95.000000	 
2	1	15	0	0	0	1972	1804	37	22	-1	
3	1	15	1	0	0	1972	1804	37	22	-1	
4	1	15	1	1	0	1972	1804	37	22	-1	
5	1	15	1	1	1	1972	1804	37	22	95.000000	 
2	1	16	0	0	0	1882	172	451	351	-1	
3	1	16	1	0	0	1882	172	451	351	-1	
4	1	16	1	1	0	1882	172	451	351	-1	
5	1	16	1	1	1	1882	172	451	351	95.000000	 
2	1	17	0	0	0	2019	709	233	582	-1	
3	1	17	1	0	0	2019	709	233	582	-1	
4	1	17	1	1	0	2019	709	233	582	-1	
5	1	17	1	1	1	2019	709	233	582	95.000000	     
2	1	18	0	0	0	1996	1356	282	354	-1	
3	1	18	1	0	0	1996	1356	282	354	-1	
4	1	18	1	1	0	1996	1356	282	354	-1	
5	1	18	1	1	1	1996	1356	282	354	95.000000	 
2	1	19	0	0	0	2221	1779	39	15	-1	
3	1	19	1	0	0	2221	1779	39	15	-1	
4	1	19	1	1	0	2221	1779	39	15	-1	
5	1	19	1	1	1	2221	1779	39	15	95.000000	 
2	1	20	0	0	0	201	252	2104	2568	-1	
3	1	20	1	0	0	201	252	2087	2564	-1	
4	1	20	1	1	0	422	252	1308	43	-1	
5	1	20	1	1	1	422	252	93	24	0.000000	Llarmme
5	1	20	1	1	2	533	259	25	17	96.113434	of
5	1	20	1	1	3	582	259	44	19	83.808144	ihe
5	1	20	1	1	4	1513	270	106	24	35.303440	Name
5	1	20	1	1	5	1637	272	28	22	96.325989	of
5	1	20	1	1	6	1683	272	47	23	64.923531	ihe
4	1	20	1	2	0	219	282	1556	56	-1	
5	1	20	1	2	1	219	282	28	19	31.673626	ble
5	1	20	1	2	2	375	290	104	29	88.634544	Village
5	1	20	1	2	3	501	291	172	30	79.889847	Panchayat
5	1	20	1	2	4	1473	307	111	30	45.634075	Miltage
5	1	20	1	2	5	1605	308	170	30	90.027527	Pancnayat
4	1	20	1	3	0	225	298	1420	77	-1	
5	1	20	1	3	1	225	320	40	23	41.605003	ahi
5	1	20	1	3	2	502	328	39	29	62.119747	(2)
5	1	20	1	3	3	964	298	63	65	35.050476	‘By
5	1	20	1	3	4	1523	348	4	1	55.217865	~
5	1	20	1	3	5	1607	345	38	30	40.361141	2)
4	1	20	1	4	0	258	405	1422	35	-1	
