level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	2428	0	53	6	-1	
3	1	1	1	0	0	2428	0	53	6	-1	
4	1	1	1	1	0	2428	0	53	6	-1	
5	1	1	1	1	1	2428	0	53	6	95.000000	 
2	1	2	0	0	0	1220	0	1259	20	-1	
3	1	2	1	0	0	1220	0	1259	20	-1	
4	1	2	1	1	0	1220	0	1259	20	-1	
5	1	2	1	1	1	1220	0	1259	20	95.000000	 
2	1	3	0	0	0	154	12	2310	27	-1	
3	1	3	1	0	0	154	12	2310	27	-1	
4	1	3	1	1	0	154	12	2310	27	-1	
5	1	3	1	1	1	154	12	2310	27	95.000000	 
2	1	4	0	0	0	154	74	2313	27	-1	
3	1	4	1	0	0	154	74	2313	27	-1	
4	1	4	1	1	0	154	74	2313	27	-1	
5	1	4	1	1	1	154	74	2313	27	95.000000	 
2	1	5	0	0	0	304	122	252	368	-1	
3	1	5	1	0	0	304	122	252	368	-1	
4	1	5	1	1	0	306	122	232	33	-1	
5	1	5	1	1	1	306	122	155	32	0.000000	Pannapatti
4	1	5	1	2	0	306	155	236	37	-1	
5	1	5	1	2	1	306	159	196	33	54.561237	Melappaguthi
5	1	5	1	2	2	539	155	3	3	17.332964	—
4	1	5	1	3	0	304	196	148	26	-1	
5	1	5	1	3	1	304	196	148	26	62.066578	VYaravanai
4	1	5	1	4	0	305	234	126	25	-1	
5	1	5	1	4	1	305	234	126	25	25.676527	Adihanur
4	1	5	1	5	0	307	270	159	26	-1	
5	1	5	1	5	1	307	270	159	26	86.240494	Palaviduthi
4	1	5	1	6	0	306	308	239	33	-1	
5	1	5	1	6	1	306	308	239	33	44.838902	Sembiyanatham
4	1	5	1	7	0	307	345	123	26	-1	
5	1	5	1	7	1	307	345	123	26	90.290894	Kadavur
4	1	5	1	8	0	307	383	136	26	-1	
5	1	5	1	8	1	307	383	136	26	88.439430	Keeranur
4	1	5	1	9	0	305	420	214	33	-1	
5	1	5	1	9	1	305	420	214	33	30.397358	Tharagampatit
4	1	5	1	10	0	306	458	250	32	-1	
5	1	5	1	10	1	306	458	250	32	22.423824	Valvarmangalarmi
2	1	6	0	0	0	307	531	469	775	-1	
3	1	6	1	0	0	307	531	469	775	-1	
4	1	6	1	1	0	307	531	469	35	-1	
5	1	6	1	1	1	307	532	183	34	68.511230	Thogamalai
5	1	6	1	1	2	505	532	166	32	96.494789	Panchayat
5	1	6	1	1	3	685	531	91	25	96.202827	Union
4	1	6	1	2	0	308	570	104	26	-1	
5	1	6	1	2	1	308	570	104	26	92.709038	Alathur
4	1	6	1	3	0	309	608	123	25	-1	
5	1	6	1	3	1	309	608	123	25	90.921753	Neidalur
4	1	6	1	4	0	310	645	171	26	-1	
5	1	6	1	4	1	310	645	171	26	74.441620	Porunthalur
4	1	6	1	5	0	311	682	153	32	-1	
5	1	6	1	5	1	311	682	153	32	67.935745	Paihiripatti
4	1	6	1	6	0	311	720	71	25	-1	
5	1	6	1	6	1	311	720	71	25	87.942787	Pillur
4	1	6	1	7	0	311	758	126	31	-1	
5	1	6	1	7	1	311	758	126	31	91.774872	Naganur
4	1	6	1	8	0	311	794	116	26	-1	
5	1	6	1	8	1	311	794	116	26	58.930740	Kalladai
4	1	6	1	9	0	312	831	128	26	-1	
5	1	6	1	9	1	312	831	128	26	41.993488	Puluthneri
4	1	6	1	10	0	310	868	104	32	-1	
5	1	6	1	10	1	310	868	104	32	87.705383	Thalinji
4	1	6	1	11	0	312	905	145	33	-1	
5	1	6	1	11	1	312	905	145	33	67.660133	Seplapaitti
4	1	6	1	12	0	312	943	114	33	-1	
5	1	6	1	12	1	312	943	114	33	90.557404	Kalugur
4	1	6	1	13	0	311	981	131	25	-1	
5	1	6	1	13	1	311	981	131	25	92.715111	Vadaseri
4	1	6	1	14	0	312	1018	118	26	-1	
5	1	6	1	14	1	312	1018	118	26	91.461815	Gudalur
4	1	6	1	15	0	312	1055	173	33	-1	
5	1	6	1	15	1	312	1055	173	33	77.276512	Thogamalai
4	1	6	1	16	0	314	1093	77	26	-1	
5	1	6	1	16	1	314	1093	77	26	57.037945	Kallai
4	1	6	1	17	0	314	1130	282	33	-1	
5	1	6	1	17	1	314	1130	282	33	90.378052	Chinniyampalayam
4	1	6	1	18	0	314	1167	175	33	-1	
5	1	6	1	18	1	314	1167	175	33	91.138840	Archampatti
4	1	6	1	19	0	315	1205	176	32	-1	
5	1	6	1	19	1	315	1205	176	32	89.663910	Mudalaipatti
4	1	6	1	20	0	316	1243	96	26	-1	
5	1	6	1	20	1	316	1243	96	26	92.459633	Puthur
4	1	6	1	21	0	316	1280	139	26	-1	
5	1	6	1	21	1	316	1280	139	26	88.249634	R.T.Malai
2	1	7	0	0	0	939	119	116	361	-1	
3	1	7	1	0	0	939	119	116	361	-1	
4	1	7	1	1	0	939	119	114	25	-1	
5	1	7	1	1	1	939	119	114	25	96.680161	General
4	1	7	1	2	0	939	157	115	25	-1	
5	1	7	1	2	1	939	157	115	25	92.895569	General
4	1	7	1	3	0	939	194	115	24	-1	
5	1	7	1	3	1	939	194	115	24	96.323471	General
4	1	7	1	4	0	940	230	114	26	-1	
5	1	7	1	4	1	940	230	114	26	96.782974	General
4	1	7	1	5	0	940	267	115	26	-1	
5	1	7	1	5	1	940	267	115	26	95.324265	General
4	1	7	1	6	0	940	305	115	25	-1	
5	1	7	1	6	1	940	305	115	25	95.995422	General
4	1	7	1	7	0	940	342	115	26	-1	
5	1	7	1	7	1	940	342	115	26	48.078705	General
4	1	7	1	8	0	940	380	115	25	-1	
5	1	7	1	8	1	940	380	115	25	96.530975	General
4	1	7	1	9	0	940	417	115	25	-1	
5	1	7	1	9	1	940	417	115	25	96.366249	General
4	1	7	1	10	0	941	454	114	26	-1	
5	1	7	1	10	1	941	454	114	26	96.298180	General
2	1	8	0	0	0	942	566	264	735	-1	
3	1	8	1	0	0	942	566	190	32	-1	
4	1	8	1	1	0	942	566	190	32	-1	
5	1	8	1	1	1	942	566	44	27	86.667229	Sc
5	1	8	1	1	2	1000	566	132	32	94.830345	(Women)
3	1	8	2	0	0	943	604	190	32	-1	
4	1	8	2	1	0	943	604	190	32	-1	
5	1	8	2	1	1	943	605	43	25	87.701317	SC
5	1	8	2	1	2	1000	604	133	32	94.222404	(Women)
3	1	8	3	0	0	943	641	193	31	-1	
4	1	8	3	1	0	943	641	193	31	-1	
5	1	8	3	1	1	943	641	43	26	94.652802	SC
5	1	8	3	1	2	1001	641	135	31	94.149284	(General)
3	1	8	4	0	0	943	678	263	250	-1	
4	1	8	4	1	0	943	678	194	33	-1	
5	1	8	4	1	1	943	679	44	25	95.156868	SC
5	1	8	4	1	2	1002	678	135	33	95.156868	(General)
4	1	8	4	2	0	943	715	262	32	-1	
5	1	8	4	2	1	943	716	115	26	96.153931	General
5	1	8	4	2	2	1072	715	133	32	96.504303	(Women)
4	1	8	4	3	0	943	752	262	32	-1	
5	1	8	4	3	1	943	753	115	25	96.561089	General
5	1	8	4	3	2	1073	752	132	32	96.541222	(Women)
4	1	8	4	4	0	944	789	261	32	-1	
5	1	8	4	4	1	944	790	115	26	96.802238	General
5	1	8	4	4	2	1073	789	132	32	96.687195	(Women)
4	1	8	4	5	0	944	826	261	33	-1	
5	1	8	4	5	1	944	828	115	25	96.715240	General
5	1	8	4	5	2	1074	826	131	33	96.892853	(Women)
4	1	8	4	6	0	945	863	261	33	-1	
5	1	8	4	6	1	945	864	115	26	92.076706	General
5	1	8	4	6	2	1074	863	132	33	94.678101	(Women)
4	1	8	4	7	0	945	902	129	26	-1	
5	1	8	4	7	1	945	902	129	26	88.282402	General”
3	1	8	5	0	0	946	939	114	26	-1	
4	1	8	5	1	0	946	939	114	26	-1	
5	1	8	5	1	1	946	939	114	26	96.722443	General
3	1	8	6	0	0	946	977	115	26	-1	
4	1	8	6	1	0	946	977	115	26	-1	
5	1	8	6	1	1	946	977	115	26	96.750931	General
3	1	8	7	0	0	946	1014	115	25	-1	
4	1	8	7	1	0	946	1014	115	25	-1	
5	1	8	7	1	1	946	1014	115	25	96.039040	General
3	1	8	8	0	0	946	1051	115	26	-1	
4	1	8	8	1	0	946	1051	115	26	-1	
5	1	8	8	1	1	946	1051	115	26	71.351654	General
3	1	8	9	0	0	946	1089	115	25	-1	
4	1	8	9	1	0	946	1089	115	25	-1	
5	1	8	9	1	1	946	1089	115	25	96.408394	General
3	1	8	10	0	0	947	1126	115	26	-1	
4	1	8	10	1	0	947	1126	115	26	-1	
5	1	8	10	1	1	947	1126	115	26	96.334465	General
3	1	8	11	0	0	948	1164	114	25	-1	
4	1	8	11	1	0	948	1164	114	25	-1	
5	1	8	11	1	1	948	1164	114	25	96.832787	General
3	1	8	12	0	0	948	1201	114	25	-1	
4	1	8	12	1	0	948	1201	114	25	-1	
5	1	8	12	1	1	948	1201	114	25	96.479713	General
3	1	8	13	0	0	948	1238	115	26	-1	
4	1	8	13	1	0	948	1238	115	26	-1	
5	1	8	13	1	1	948	1238	115	26	94.915894	General
3	1	8	14	0	0	949	1275	114	26	-1	
4	1	8	14	1	0	949	1275	114	26	-1	
5	1	8	14	1	1	949	1275	114	26	92.187531	General
2	1	9	0	0	0	1324	25	36	3072	-1	
3	1	9	1	0	0	1324	25	36	3072	-1	
4	1	9	1	1	0	1324	25	36	3072	-1	
5	1	9	1	1	1	1324	25	36	3072	95.000000	 
2	1	10	0	0	0	1334	3117	62	49	-1	
3	1	10	1	0	0	1334	3117	62	49	-1	
4	1	10	1	1	0	1334	3117	62	49	-1	
5	1	10	1	1	1	1334	3117	62	49	73.651558	89.
2	1	11	0	0	0	2428	3302	53	40	-1	
3	1	11	1	0	0	2428	3302	53	40	-1	
4	1	11	1	1	0	2428	3302	53	40	-1	
5	1	11	1	1	1	2428	3302	53	40	95.000000	 
