level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	2731	21	576	-1	
3	1	1	1	0	0	0	2731	21	576	-1	
4	1	1	1	1	0	0	2731	21	576	-1	
5	1	1	1	1	1	0	2731	21	576	95.000000	 
2	1	2	0	0	0	185	250	47	64	-1	
3	1	2	1	0	0	185	250	47	64	-1	
4	1	2	1	1	0	194	250	34	26	-1	
5	1	2	1	1	1	194	250	34	26	53.897957	Sh.
4	1	2	1	2	0	185	288	47	26	-1	
5	1	2	1	2	1	185	288	47	26	93.221924	No.
2	1	3	0	0	0	259	389	21	24	-1	
3	1	3	1	0	0	259	389	21	24	-1	
4	1	3	1	1	0	259	389	21	24	-1	
5	1	3	1	1	1	259	389	21	24	86.833755	1.
2	1	4	0	0	0	232	512	21	23	-1	
3	1	4	1	0	0	232	512	21	23	-1	
4	1	4	1	1	0	232	512	21	23	-1	
5	1	4	1	1	1	232	512	21	23	62.178566	1.
2	1	5	0	0	0	154	250	2120	2627	-1	
3	1	5	1	0	0	154	250	2120	2622	-1	
4	1	5	1	1	0	384	250	1807	43	-1	
5	1	5	1	1	1	384	257	99	31	95.415482	Village
5	1	5	1	1	2	820	260	136	33	95.924767	Category
5	1	5	1	1	3	965	263	27	23	96.371712	to
5	1	5	1	1	4	1003	262	84	25	96.829727	which
5	1	5	1	1	5	1320	250	33	26	61.078201	Sl.
5	1	5	1	1	6	1412	251	86	25	80.092903	Name
5	1	5	1	1	7	1509	252	29	24	96.273178	of
5	1	5	1	1	8	1547	253	46	24	96.797234	the
5	1	5	1	1	9	1604	253	98	32	96.723625	Village
5	1	5	1	1	10	1922	254	136	34	0.840750	Category
5	1	5	1	1	11	2067	259	28	22	94.667610	to
5	1	5	1	1	12	2107	257	84	25	96.327057	which
4	1	5	1	2	0	363	282	1851	49	-1	
5	1	5	1	2	1	363	282	154	49	96.863228	Panchayat
5	1	5	1	2	2	806	298	171	26	95.436882	Reservation
5	1	5	1	2	3	990	299	21	25	96.955231	is
5	1	5	1	2	4	1024	299	86	26	93.614059	Made.
5	1	5	1	2	5	1317	286	49	45	95.488396	No.
5	1	5	1	2	6	1493	291	154	32	96.566757	Panchayat
5	1	5	1	2	7	1907	293	172	27	95.434021	Reservation
5	1	5	1	2	8	2093	296	21	24	96.963432	is
5	1	5	1	2	9	2127	296	87	25	92.849892	Made.
4	1	5	1	3	0	425	388	1645	33	-1	
5	1	5	1	3	1	425	392	23	24	89.131149	2.
5	1	5	1	3	2	977	398	24	23	95.628609	3.
5	1	5	1	3	3	1362	388	21	23	93.381927	1.
5	1	5	1	3	4	1528	389	24	23	71.737206	2.
5	1	5	1	3	5	2046	392	24	25	77.291412	3,
4	1	5	1	4	0	1260	440	498	28	-1	
5	1	5	1	4	1	1260	440	20	25	69.433487	ll.
5	1	5	1	4	2	1295	440	148	25	91.663841	BUDALUR
5	1	5	1	4	3	1454	440	190	26	95.941109	PANCHAYAT
5	1	5	1	4	4	1656	441	102	27	96.421967	UNION
4	1	5	1	5	0	154	468	2051	40	-1	
5	1	5	1	5	1	154	468	12	24	53.705860	1.
5	1	5	1	5	2	179	469	194	32	96.537033	THANJAVUR
5	1	5	1	5	3	385	475	192	26	96.213234	PANCHAYAT
5	1	5	1	5	4	589	477	102	26	96.213234	UNION
5	1	5	1	5	5	1336	479	20	23	80.481461	1.
5	1	5	1	5	6	1440	478	287	26	91.360962	Deekshasamudram
5	1	5	1	5	7	2030	482	42	26	93.871521	SC
5	1	5	1	5	8	2083	483	122	25	52.160259	Women.
4	1	5	1	6	0	340	510	1865	43	-1	
5	1	5	1	6	1	340	510	213	41	92.121307	Kadakadappai
5	1	5	1	6	2	931	525	31	19	77.439857	sc
5	1	5	1	6	3	972	525	115	20	91.988113	women,
5	1	5	1	6	4	1332	518	24	23	93.572754	2.
5	1	5	1	6	5	1439	512	119	41	89.634560	Orathur.
5	1	5	1	6	6	2030	521	42	26	93.586609	SC
5	1	5	1	6	7	2082	522	123	26	89.620338	Women.
4	1	5	1	7	0	316	551	1888	43	-1	
5	1	5	1	7	1	316	559	2	2	0.000000	~
5	1	5	1	7	2	340	551	135	26	88.276527	Nallicheri
5	1	5	1	7	3	930	563	32	19	93.680923	sc
5	1	5	1	7	4	971	563	116	19	91.409996	women.
5	1	5	1	7	5	1332	557	24	24	93.818214	3.
5	1	5	1	7	6	1439	556	275	32	90.753891	Renganathapuram
5	1	5	1	7	7	2030	560	41	26	78.131569	SC
5	1	5	1	7	8	2082	561	122	33	86.992889	Women.
4	1	5	1	8	0	339	589	1864	42	-1	
5	1	5	1	8	1	339	590	182	33	92.132530	Ramapuram
5	1	5	1	8	2	930	602	31	18	74.450325	sc
5	1	5	1	8	3	971	602	106	19	51.921890	women
5	1	5	1	8	4	1332	595	23	23	94.895493	4.
5	1	5	1	8	5	1439	589	147	42	60.891529	Sengipatti
5	1	5	1	8	6	2028	599	43	26	31.039038	SC
5	1	5	1	8	7	2082	600	121	25	92.453575	Women.
4	1	5	1	9	0	339	628	1866	41	-1	
5	1	5	1	9	1	339	628	94	26	92.342995	Siralur
5	1	5	1	9	2	929	641	32	18	63.833511	sc
5	1	5	1	9	3	970	641	116	19	96.117294	women.
5	1	5	1	9	4	1331	635	24	23	92.155502	5.
5	1	5	1	9	5	1436	628	168	41	89.417389	Achampatti
5	1	5	1	9	6	2028	637	43	26	93.572655	SC
5	1	5	1	9	7	2082	638	123	26	93.572655	General.
4	1	5	1	10	0	337	668	1867	47	-1	
5	1	5	1	10	1	337	668	234	27	60.356392	ThiruvedhuKudi
5	1	5	1	10	2	929	679	31	18	88.764778	se
5	1	5	1	10	3	970	679	106	20	95.542343	women
5	1	5	1	10	4	1331	672	23	24	92.613739	6.
5	1	5	1	10	5	1437	668	167	47	91.115479	Agarapettai
5	1	5	1	10	6	2016	675	55	36	72.497665	_SC
5	1	5	1	10	7	2082	677	122	26	92.676369	General.
