level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	512	39	1351	111	-1	
3	1	1	1	0	0	512	39	1351	111	-1	
4	1	1	1	1	0	512	39	1351	66	-1	
5	1	1	1	1	1	512	39	416	59	90.543152	TIRUCHIRAPPALLI
5	1	1	1	1	2	949	39	339	66	92.449844	PERUMBIDUGU
5	1	1	1	1	3	1309	63	323	35	88.987572	MUTHARAYAR
5	1	1	1	1	4	1653	63	210	34	85.817070	DISTRICT
4	1	1	1	2	0	636	117	1107	33	-1	
5	1	1	1	2	1	636	117	294	32	96.224113	RESERVATION
5	1	1	1	2	2	950	118	82	31	96.271179	FOR
5	1	1	1	2	3	1049	118	170	32	95.938477	VILLAGE
5	1	1	1	2	4	1238	118	251	31	95.623398	PANCHAYAT
5	1	1	1	2	5	1507	117	236	31	95.924194	PRESIDENT
2	1	2	0	0	0	2028	0	453	203	-1	
3	1	2	1	0	0	2028	0	453	203	-1	
4	1	2	1	1	0	2028	0	453	203	-1	
5	1	2	1	1	1	2028	0	453	203	95.000000	 
2	1	3	0	0	0	45	197	2289	9	-1	
3	1	3	1	0	0	45	197	2289	9	-1	
4	1	3	1	1	0	45	197	2289	9	-1	
5	1	3	1	1	1	45	197	2289	9	95.000000	 
2	1	4	0	0	0	324	203	405	53	-1	
3	1	4	1	0	0	324	203	405	53	-1	
4	1	4	1	1	0	324	203	405	53	-1	
5	1	4	1	1	1	324	221	73	24	96.071014	Name
5	1	4	1	1	2	408	220	25	25	96.456284	of
5	1	4	1	1	3	442	221	41	24	96.939186	the
5	1	4	1	1	4	493	203	88	53	95.930023	Village
5	1	4	1	1	5	593	221	136	31	96.153183	Panchayat
2	1	5	0	0	0	2028	203	453	64	-1	
3	1	5	1	0	0	2028	203	453	64	-1	
4	1	5	1	1	0	2028	203	453	64	-1	
5	1	5	1	1	1	2028	203	453	64	95.000000	  
2	1	6	0	0	0	45	365	2290	6	-1	
3	1	6	1	0	0	45	365	2290	6	-1	
4	1	6	1	1	0	45	365	2290	6	-1	
5	1	6	1	1	1	45	365	2290	6	95.000000	 
2	1	7	0	0	0	45	420	2289	7	-1	
3	1	7	1	0	0	45	420	2289	7	-1	
4	1	7	1	1	0	45	420	2289	7	-1	
5	1	7	1	1	1	45	420	2289	7	95.000000	 
2	1	8	0	0	0	78	219	2158	2848	-1	
3	1	8	1	0	0	78	219	2158	2840	-1	
4	1	8	1	1	0	84	219	2067	34	-1	
