level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	0	1052	108	-1	
3	1	1	1	0	0	0	0	1052	108	-1	
4	1	1	1	1	0	0	0	1052	59	-1	
5	1	1	1	1	1	0	0	1052	59	95.000000	 
4	1	1	1	2	0	0	59	953	49	-1	
5	1	1	1	2	1	0	59	953	49	95.000000	 
2	1	2	0	0	0	266	65	152	32	-1	
3	1	2	1	0	0	266	65	152	32	-1	
4	1	2	1	1	0	266	65	152	32	-1	
5	1	2	1	1	1	266	65	152	32	87.189560	Koppampaiti
2	1	3	0	0	0	264	102	277	180	-1	
3	1	3	1	0	0	264	102	277	143	-1	
4	1	3	1	1	0	265	102	223	33	-1	
5	1	3	1	1	1	265	102	223	33	83.576111	Vairicheitipalayam
4	1	3	1	2	0	265	140	276	31	-1	
5	1	3	1	2	1	265	140	91	31	91.587067	Angium
5	1	3	1	2	2	514	143	27	17	36.544502	So
4	1	3	1	3	0	266	176	255	33	-1	
5	1	3	1	3	1	266	176	227	33	38.654957	Pachaperumalpatli
5	1	3	1	3	2	519	183	2	2	22.369461	—
4	1	3	1	4	0	264	213	115	32	-1	
5	1	3	1	4	1	264	213	115	32	72.856125	Alagapurl
3	1	3	2	0	0	264	250	88	32	-1	
4	1	3	2	1	0	264	250	88	32	-1	
5	1	3	2	1	1	264	250	88	32	84.268440	Talugai
2	1	4	0	0	0	356	128	136	32	-1	
3	1	4	1	0	0	356	128	136	32	-1	
4	1	4	1	1	0	356	128	136	32	-1	
5	1	4	1	1	1	356	128	136	32	95.000000	 
2	1	5	0	0	0	264	287	586	31	-1	
3	1	5	1	0	0	264	287	586	31	-1	
4	1	5	1	1	0	264	287	586	31	-1	
5	1	5	1	1	1	264	287	38	25	52.715687	XU.
5	1	5	1	1	2	315	287	253	28	70.869202	MANACHANALLUR
5	1	5	1	1	3	580	290	173	26	96.435043	PANCHAYAT
5	1	5	1	1	4	764	292	86	26	96.406776	UNION
2	1	6	0	0	0	254	324	260	1262	-1	
3	1	6	1	0	0	255	324	259	1113	-1	
4	1	6	1	1	0	263	324	145	33	-1	
5	1	6	1	1	1	263	324	145	33	55.839355	Vengangudi
4	1	6	1	2	0	264	362	250	32	-1	
5	1	6	1	2	1	264	362	250	32	87.992874	Madavaperumalkovil
4	1	6	1	3	0	264	399	128	27	-1	
5	1	6	1	3	1	264	399	128	27	88.366974	Perakambi
4	1	6	1	4	0	263	436	149	26	-1	
5	1	6	1	4	1	263	436	149	26	0.000000	Kovathakudi
4	1	6	1	5	0	262	473	119	34	-1	
5	1	6	1	5	1	262	473	119	34	77.921585	Siruganur
4	1	6	1	6	0	262	510	138	33	-1	
5	1	6	1	6	1	262	510	138	33	56.031654	Killiyanaliur
4	1	6	1	7	0	261	548	115	26	-1	
5	1	6	1	7	1	261	548	115	26	91.531815	Omandur
4	1	6	1	8	0	261	585	179	33	-1	
5	1	6	1	8	1	261	585	179	33	46.853031	Thaluthaiapatti
4	1	6	1	9	0	260	623	133	32	-1	
5	1	6	1	9	1	260	623	133	32	79.031242	Thirupattur
4	1	6	1	10	0	260	659	213	34	-1	
5	1	6	1	10	1	260	659	213	34	91.373459	Thathamangalam
4	1	6	1	11	0	261	697	89	27	-1	
5	1	6	1	11	1	261	697	89	27	89.794624	Konalai
4	1	6	1	12	0	261	734	125	32	-1	
5	1	6	1	12	1	261	734	125	32	92.547127	Sirupathur
4	1	6	1	13	0	261	771	201	33	-1	
5	1	6	1	13	1	261	771	201	33	87.876595	Kariyamanickam
4	1	6	1	14	0	259	808	231	33	-1	
5	1	6	1	14	1	259	808	231	33	92.166649	Alagiyamanavalam
4	1	6	1	15	0	260	846	98	32	-1	
5	1	6	1	15	1	260	846	98	32	54.129009	Siruguci
4	1	6	1	16	0	260	883	118	32	-1	
5	1	6	1	16	1	260	883	118	32	89.908234	Melapattu
4	1	6	1	17	0	259	920	98	33	-1	
5	1	6	1	17	1	259	920	98	33	88.069016	Valaiyur
4	1	6	1	18	0	258	957	122	34	-1	
5	1	6	1	18	1	258	957	122	34	92.795708	Vazhaiyur
4	1	6	1	19	0	259	995	141	32	-1	
5	1	6	1	19	1	259	995	141	32	91.968773	Kalpalayam
4	1	6	1	20	0	258	1032	177	33	-1	
5	1	6	1	20	1	258	1032	177	33	92.035759	Samayapuram
4	1	6	1	21	0	259	1069	111	26	-1	
5	1	6	1	21	1	259	1069	111	26	91.071854	Edumalai
4	1	6	1	22	0	258	1106	95	26	-1	
5	1	6	1	22	1	258	1106	95	26	71.017166	Koothur
4	1	6	1	23	0	258	1143	184	28	-1	
5	1	6	1	23	1	258	1143	184	28	90.394997	Pitchandarkovil
4	1	6	1	24	0	257	1180	226	34	-1	
5	1	6	1	24	1	257	1180	226	34	89.270630	Seedevimangalam
4	1	6	1	25	0	256	1218	111	26	-1	
5	1	6	1	25	1	256	1218	111	26	85.558197	Thiruvasi
4	1	6	1	26	0	256	1256	186	33	-1	
5	1	6	1	26	1	256	1256	186	33	90.809631	Ayyampalayam
4	1	6	1	27	0	255	1293	172	33	-1	
5	1	6	1	27	1	255	1293	172	33	83.650986	Thiruppanjeeli
4	1	6	1	28	0	255	1329	212	34	-1	
5	1	6	1	28	1	255	1329	212	34	43.799343	Theerarnpalayam
4	1	6	1	29	0	255	1367	206	33	-1	
5	1	6	1	29	1	255	1367	206	33	91.274239	Shanamangalam
4	1	6	1	30	0	256	1405	97	32	-1	
5	1	6	1	30	1	256	1405	97	32	92.367332	Palaiyur
3	1	6	2	0	0	254	1441	205	145	-1	
4	1	6	2	1	0	255	1441	86	32	-1	
5	1	6	2	1	1	255	1441	86	32	87.493912	Ayikudi
4	1	6	2	2	0	255	1478	204	34	-1	
5	1	6	2	2	1	255	1478	204	34	90.438728	Poonampalayam
4	1	6	2	3	0	254	1516	147	26	-1	
5	1	6	2	3	1	254	1516	147	26	63.307640	Thiruvellaral
4	1	6	2	4	0	255	1553	106	33	-1	
5	1	6	2	4	1	255	1553	106	33	60.389557	lrungatur
2	1	7	0	0	0	252	1591	482	28	-1	
3	1	7	1	0	0	252	1591	482	28	-1	
4	1	7	1	1	0	252	1591	482	28	-1	
5	1	7	1	1	1	252	1591	48	25	65.763718	XHL
5	1	7	1	1	2	312	1591	119	26	44.442123	LALGUDI
5	1	7	1	1	3	443	1593	173	26	95.601257	PANCHAYAT
5	1	7	1	1	4	626	1594	87	25	89.633438	UNION
5	1	7	1	1	5	732	1597	2	3	0.000000	-
2	1	8	0	0	0	245	1627	260	1185	-1	
3	1	8	1	0	0	252	1627	142	26	-1	
4	1	8	1	1	0	252	1627	142	26	-1	
5	1	8	1	1	1	252	1627	23	25	82.340668	T.
5	1	8	1	1	2	287	1627	107	26	86.900383	Kalvikudi
3	1	8	2	0	0	252	1664	157	175	-1	
4	1	8	2	1	0	253	1664	138	27	-1	
5	1	8	2	1	1	253	1664	69	26	92.409355	Keela
5	1	8	2	1	2	332	1666	59	25	81.652985	Anbil
4	1	8	2	2	0	253	1701	118	33	-1	
5	1	8	2	2	1	253	1701	118	33	46.189804	Mettupatti
4	1	8	2	3	0	253	1739	111	26	-1	
5	1	8	2	3	1	253	1739	111	26	90.894043	Pudukudi
4	1	8	2	4	0	252	1776	157	26	-1	
5	1	8	2	4	1	252	1776	157	26	92.206612	Sirumaruthur
4	1	8	2	5	0	252	1813	109	26	-1	
5	1	8	2	5	1	252	1813	109	26	92.540245	Maruthur
3	1	8	3	0	0	250	1850	252	287	-1	
4	1	8	3	1	0	252	1850	116	26	-1	
5	1	8	3	1	1	252	1850	116	26	92.796730	Madakudi
4	1	8	3	2	0	250	1888	236	33	-1	
5	1	8	3	2	1	250	1888	236	33	90.274910	Jangamarajapuram
4	1	8	3	3	0	252	1924	164	33	-1	
5	1	8	3	3	1	252	1924	164	33	91.536377	Nerunjalakudi
4	1	8	3	4	0	252	1962	173	26	-1	
5	1	8	3	4	1	252	1962	173	26	73.796249	Peruvalanallur
4	1	8	3	5	0	251	1999	119	32	-1	
5	1	8	3	5	1	251	1999	119	32	90.572456	Neikuppai
4	1	8	3	6	0	250	2036	252	33	-1	
5	1	8	3	6	1	250	2036	252	33	90.373154	Sevanthinathapuram
4	1	8	3	7	0	251	2073	158	26	-1	
