level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	0	33	24	1128	-1	
3	1	1	1	0	0	0	33	24	1128	-1	
4	1	1	1	1	0	0	33	24	1128	-1	
5	1	1	1	1	1	0	33	24	1128	95.000000	 
2	1	2	0	0	0	1659	0	785	18	-1	
3	1	2	1	0	0	1659	0	785	18	-1	
4	1	2	1	1	0	1659	0	785	18	-1	
5	1	2	1	1	1	1659	0	785	18	95.000000	 
2	1	3	0	0	0	139	125	2204	41	-1	
3	1	3	1	0	0	139	125	2204	41	-1	
4	1	3	1	1	0	139	125	2204	41	-1	
5	1	3	1	1	1	139	125	2204	41	95.000000	 
2	1	4	0	0	0	1284	128	1059	24	-1	
3	1	4	1	0	0	1284	128	1059	24	-1	
4	1	4	1	1	0	1284	128	1059	24	-1	
5	1	4	1	1	1	1284	128	1059	24	95.000000	 
2	1	5	0	0	0	141	243	2204	43	-1	
3	1	5	1	0	0	141	243	2204	43	-1	
4	1	5	1	1	0	141	243	2204	43	-1	
5	1	5	1	1	1	141	243	2204	43	95.000000	 
2	1	6	0	0	0	1240	156	39	2634	-1	
3	1	6	1	0	0	1240	156	39	2634	-1	
4	1	6	1	1	0	1240	156	39	2634	-1	
5	1	6	1	1	1	1240	156	39	2634	95.000000	 
2	1	7	0	0	0	1241	156	39	2634	-1	
3	1	7	1	0	0	1241	156	39	2634	-1	
4	1	7	1	1	0	1241	156	39	2634	-1	
5	1	7	1	1	1	1241	156	39	2634	95.000000	 
2	1	8	0	0	0	1286	248	1059	25	-1	
3	1	8	1	0	0	1286	248	1059	25	-1	
4	1	8	1	1	0	1286	248	1059	25	-1	
5	1	8	1	1	1	1286	248	1059	25	95.000000	 
2	1	9	0	0	0	137	148	2084	2670	-1	
3	1	9	1	0	0	137	148	2084	2670	-1	
4	1	9	1	1	0	141	148	2067	54	-1	
5	1	9	1	1	1	141	176	37	22	80.178375	Sl.
5	1	9	1	1	2	228	179	91	23	95.642334	Name
5	1	9	1	1	3	335	180	32	22	95.491058	of
5	1	9	1	1	4	381	179	51	22	95.491058	the
5	1	9	1	1	5	731	173	152	28	96.519279	Category
5	1	9	1	1	6	899	170	48	23	94.877464	for
5	1	9	1	1	7	960	168	101	24	94.877464	which
5	1	9	1	1	8	1286	164	40	22	73.389923	Sl.
5	1	9	1	1	9	1375	161	93	24	28.187851	Name
5	1	9	1	1	10	1486	159	31	23	93.814583	of
5	1	9	1	1	11	1533	158	50	23	96.761703	the
5	1	9	1	1	12	1882	152	149	28	84.453300	Category
5	1	9	1	1	13	2049	149	46	22	95.828560	for
5	1	9	1	1	14	2111	148	97	22	95.830803	which
4	1	9	1	2	0	140	185	2081	59	-1	
5	1	9	1	2	1	140	212	43	23	90.058556	No.
