level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	1169	87	49	19	-1	
3	1	1	1	0	0	1169	87	49	19	-1	
4	1	1	1	1	0	1169	87	49	19	-1	
5	1	1	1	1	1	1169	87	49	19	18.433237	_
2	1	2	0	0	0	1488	41	108	48	-1	
3	1	2	1	0	0	1488	41	108	48	-1	
4	1	2	1	1	0	1544	41	52	22	-1	
5	1	2	1	1	1	1544	41	52	22	53.673550	om?
4	1	2	1	2	0	1488	63	46	26	-1	
5	1	2	1	2	1	1488	63	46	26	34.524006	ta
2	1	3	0	0	0	1267	0	1102	177	-1	
3	1	3	1	0	0	1267	0	1102	177	-1	
4	1	3	1	1	0	1267	0	1102	177	-1	
5	1	3	1	1	1	1267	136	82	39	92.272011	NT
5	1	3	1	1	2	1369	125	237	45	92.272011	GAZETTE
5	1	3	1	1	3	1645	119	456	43	96.362411	EXTRAORDINARY
5	1	3	1	1	4	2319	0	50	177	0.000000	‘
2	1	4	0	0	0	258	165	1982	32	-1	
3	1	4	1	0	0	258	165	1982	32	-1	
4	1	4	1	1	0	258	165	1982	32	-1	
5	1	4	1	1	1	258	165	1982	32	95.000000	 
2	1	5	0	0	0	1427	183	813	16	-1	
3	1	5	1	0	0	1427	183	813	16	-1	
4	1	5	1	1	0	1427	183	813	16	-1	
5	1	5	1	1	1	1427	183	813	16	95.000000	 
2	1	6	0	0	0	258	196	1162	13	-1	
3	1	6	1	0	0	258	196	1162	13	-1	
4	1	6	1	1	0	258	196	1162	13	-1	
5	1	6	1	1	1	258	196	1162	13	95.000000	 
2	1	7	0	0	0	258	198	1014	14	-1	
3	1	7	1	0	0	258	198	1014	14	-1	
4	1	7	1	1	0	258	198	1014	14	-1	
5	1	7	1	1	1	258	198	1014	14	95.000000	 
2	1	8	0	0	0	258	217	830	5	-1	
3	1	8	1	0	0	258	217	830	5	-1	
4	1	8	1	1	0	258	217	830	5	-1	
5	1	8	1	1	1	258	217	830	5	95.000000	 
2	1	9	0	0	0	576	103	686	85	-1	
3	1	9	1	0	0	576	103	686	85	-1	
4	1	9	1	1	0	1112	103	48	26	-1	
5	1	9	1	1	1	1112	103	48	26	7.269583	Te
4	1	9	1	2	0	576	139	686	49	-1	
5	1	9	1	2	1	576	149	168	38	95.498688	TAMIL
5	1	9	1	2	2	780	150	149	38	89.619522	NADU
5	1	9	1	2	3	965	139	297	47	89.619522	GOVERNME
2	1	10	0	0	0	451	320	1063	53	-1	
3	1	10	1	0	0	451	320	1063	53	-1	
4	1	10	1	1	0	451	320	1063	53	-1	
5	1	10	1	1	1	451	331	65	36	82.850464	"V.
5	1	10	1	1	2	538	332	432	41	92.211731	THONDAMUTHUR
5	1	10	1	1	3	991	325	307	47	96.349014	PANCHAYAT
5	1	10	1	1	4	1318	320	196	41	77.776512	UNION”,
2	1	11	0	0	0	435	500	1578	66	-1	
3	1	11	1	0	0	435	500	1578	66	-1	
4	1	11	1	1	0	435	500	1578	66	-1	
5	1	11	1	1	1	435	521	176	36	96.731644	column
5	1	11	1	1	2	632	521	70	45	96.108368	(3),
5	1	11	1	1	3	723	520	71	37	96.244919	the
5	1	11	1	1	4	813	518	265	48	96.279015	expression
5	1	11	1	1	5	1113	511	116	39	96.067612	"S.C.
5	1	11	1	1	6	1251	504	250	52	89.406448	(Women)",
5	1	11	1	1	7	1521	501	111	39	96.004807	shall
5	1	11	1	1	8	1654	501	54	37	96.532555	be
5	1	11	1	1	9	1728	500	285	45	96.337883	substituted;
2	1	12	0	0	0	427	1082	140	38	-1	
3	1	12	1	0	0	427	1082	140	38	-1	
4	1	12	1	1	0	427	1082	140	38	-1	
5	1	12	1	1	1	427	1082	140	38	95.845779	under
2	1	13	0	0	0	2177	191	191	55	-1	
3	1	13	1	0	0	2177	191	191	55	-1	
4	1	13	1	1	0	2177	191	191	55	-1	
5	1	13	1	1	1	2177	191	191	55	26.583000	——
2	1	14	0	0	0	589	439	1662	66	-1	
3	1	14	1	0	0	589	439	1662	66	-1	
4	1	14	1	1	0	589	439	1662	66	-1	
5	1	14	1	1	1	589	459	57	45	62.357143	(a)
5	1	14	1	1	2	743	452	409	53	55.469162	against"SI.No.2",
5	1	14	1	1	3	1189	450	64	37	96.509216	for
5	1	14	1	1	4	1287	447	71	37	96.693802	the
5	1	14	1	1	5	1394	440	264	50	94.951950	expression
5	1	14	1	1	6	1696	439	208	37	93.281662	"General
5	1	14	1	1	7	1942	439	243	51	60.229168	(Women)",
5	1	14	1	1	8	2219	457	32	39	47.965145	ji,
2	1	15	0	0	0	433	624	1822	119	-1	
3	1	15	1	0	0	433	624	1822	119	-1	
