level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	629	110	1456	66	-1	
3	1	1	1	0	0	629	110	1456	66	-1	
4	1	1	1	1	0	629	110	1456	66	-1	
5	1	1	1	1	1	629	136	159	37	96.712303	TAMIL
5	1	1	1	1	2	821	139	141	37	95.810005	NADU
5	1	1	1	1	3	997	130	351	46	82.486946	GOVERNMENT
5	1	1	1	1	4	1381	116	228	46	82.486946	GAZETTE
5	1	1	1	1	5	1644	110	441	47	96.271736	EXTRAORDINARY
2	1	2	0	0	0	396	138	1707	77	-1	
3	1	2	1	0	0	396	138	1707	77	-1	
4	1	2	1	1	0	396	138	1707	77	-1	
5	1	2	1	1	1	396	138	1707	77	95.000000	 
2	1	3	0	0	0	396	138	1707	77	-1	
3	1	3	1	0	0	396	138	1707	77	-1	
4	1	3	1	1	0	396	138	1707	77	-1	
5	1	3	1	1	1	396	138	1707	77	95.000000	 
2	1	4	0	0	0	396	152	1591	61	-1	
3	1	4	1	0	0	396	152	1591	61	-1	
4	1	4	1	1	0	396	152	1591	61	-1	
5	1	4	1	1	1	396	152	1591	61	95.000000	 
2	1	5	0	0	0	325	173	1071	25	-1	
3	1	5	1	0	0	325	173	1071	25	-1	
4	1	5	1	1	0	325	173	1071	25	-1	
5	1	5	1	1	1	325	173	1071	25	95.000000	 
2	1	6	0	0	0	511	181	885	33	-1	
3	1	6	1	0	0	511	181	885	33	-1	
4	1	6	1	1	0	511	181	885	33	-1	
5	1	6	1	1	1	511	181	885	33	95.000000	 
2	1	7	0	0	0	497	257	1724	146	-1	
3	1	7	1	0	0	497	257	1724	146	-1	
4	1	7	1	1	0	643	257	1578	115	-1	
5	1	7	1	1	1	643	291	54	46	96.956497	(6)
5	1	7	1	1	2	724	295	131	35	96.346642	under
5	1	7	1	1	3	877	295	67	36	96.948608	the
5	1	7	1	1	4	969	293	178	44	96.897514	heading
5	1	7	1	1	5	1172	282	189	42	96.280289	"ERODE
5	1	7	1	1	6	1386	274	255	43	72.885536	DISTRICT",
5	1	7	1	1	7	1666	281	50	27	96.290062	as
5	1	7	1	1	8	1741	278	44	86	34.489044	So
5	1	7	1	1	9	1823	257	263	115	49.121166	substituted,
5	1	7	1	1	10	2111	295	110	51	30.270866	Unde,
4	1	7	1	2	0	497	328	1724	75	-1	
5	1	7	1	2	1	497	346	67	36	78.195633	the
5	1	7	1	2	2	650	351	282	46	50.220390	sub-heading
5	1	7	1	2	3	1020	340	364	46	87.734520	"RESERVATION
5	1	7	1	2	4	1471	334	97	38	35.499290	FOR
5	1	7	1	2	5	1655	328	103	39	95.674904	VILL
5	1	7	1	2	6	2017	333	204	70	52.459801	NCHAY
5	1	7	1	2	7	2174	310	50	97	49.613571	as
2	1	8	0	0	0	496	405	359	46	-1	
3	1	8	1	0	0	496	405	359	46	-1	
4	1	8	1	1	0	496	405	359	46	-1	
5	1	8	1	1	1	496	405	359	46	0.000000	PRESIDENTS",
5	1	8	1	1	2	837	401	20	60	0.000000	-
2	1	9	0	0	0	492	505	1730	135	-1	
3	1	9	1	0	0	492	505	1730	135	-1	
4	1	9	1	1	0	638	505	1584	75	-1	
5	1	9	1	1	1	638	527	54	44	96.566422	(a)
5	1	9	1	1	2	724	528	35	35	96.566422	in
5	1	9	1	1	3	792	527	92	36	96.212685	item
5	1	9	1	1	4	917	526	84	35	70.961571	"12.
5	1	9	1	1	5	1032	510	531	50	90.655914	GOBICHETTIPALAYAM
5	1	9	1	1	6	1596	505	301	66	96.154747	PANCHAYAT
5	1	9	1	1	7	1927	509	182	55	94.519638	UNION",
5	1	9	1	1	8	2138	532	84	48	74.010933	afte,
4	1	9	1	2	0	492	566	1729	74	-1	
5	1	9	1	2	1	492	582	231	40	0.000000	"S|.No.19"
5	1	9	1	2	2	742	587	81	35	96.996887	and
5	1	9	1	2	3	842	586	68	36	96.783653	the
5	1	9	1	2	4	928	583	155	38	96.410454	entries
5	1	9	1	2	5	1104	580	168	43	96.912476	relating
5	1	9	1	2	6	1292	571	264	40	96.527283	thereunder,
5	1	9	1	2	7	1576	568	70	37	96.995064	the
