level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	175	0	57	42	-1	
3	1	1	1	0	0	175	0	57	42	-1	
4	1	1	1	1	0	175	0	57	42	-1	
5	1	1	1	1	1	175	0	57	42	18.124895	y
2	1	2	0	0	0	465	102	498	59	-1	
3	1	2	1	0	0	465	102	498	59	-1	
4	1	2	1	1	0	465	102	498	59	-1	
5	1	2	1	1	1	465	102	159	36	14.533310	TAMIL
5	1	2	1	1	2	658	105	136	43	14.533310	NADU
5	1	2	1	1	3	829	120	134	41	33.515190	Govg
2	1	3	0	0	0	308	139	492	30	-1	
3	1	3	1	0	0	308	139	492	30	-1	
4	1	3	1	1	0	308	139	492	30	-1	
5	1	3	1	1	1	308	139	492	30	95.000000	 
2	1	4	0	0	0	398	159	402	17	-1	
3	1	4	1	0	0	398	159	402	17	-1	
4	1	4	1	1	0	398	159	402	17	-1	
5	1	4	1	1	1	398	159	402	17	95.000000	 
2	1	5	0	0	0	398	124	1779	91	-1	
3	1	5	1	0	0	398	124	1779	91	-1	
4	1	5	1	1	0	398	124	1779	91	-1	
5	1	5	1	1	1	398	124	1779	91	95.000000	 
2	1	6	0	0	0	1148	177	1031	25	-1	
3	1	6	1	0	0	1148	177	1031	25	-1	
4	1	6	1	1	0	1148	177	1031	25	-1	
5	1	6	1	1	1	1148	177	1031	25	95.000000	 
2	1	7	0	0	0	1292	200	729	14	-1	
3	1	7	1	0	0	1292	200	729	14	-1	
4	1	7	1	1	0	1292	200	729	14	-1	
5	1	7	1	1	1	1292	200	729	14	95.000000	 
2	1	8	0	0	0	174	49	11	272	-1	
3	1	8	1	0	0	174	49	11	272	-1	
4	1	8	1	1	0	174	49	11	272	-1	
5	1	8	1	1	1	176	314	2	7	63.861805	=
5	1	8	1	1	2	174	102	11	196	0.000000	ER
5	1	8	1	1	3	177	49	5	43	31.402222	ee
2	1	9	0	0	0	362	129	1802	259	-1	
3	1	9	1	0	0	362	129	1802	259	-1	
4	1	9	1	1	0	969	129	1195	55	-1	
5	1	9	1	1	1	969	129	193	44	91.136711	RNMENT
5	1	9	1	1	2	1203	142	218	40	93.174118	GAZETTE
5	1	9	1	1	3	1455	143	426	41	57.261089	EXTRAORDINARY
5	1	9	1	1	4	2124	137	40	34	96.497742	17
4	1	9	1	2	0	362	260	698	51	-1	
5	1	9	1	2	1	362	264	46	35	44.455269	03
5	1	9	1	2	2	479	260	310	44	78.710976	Veppanthattai
5	1	9	1	2	3	1048	304	12	7	33.412128	.
4	1	9	1	3	0	362	293	1208	95	-1	
5	1	9	1	3	1	362	321	48	36	68.962845	04
5	1	9	1	3	2	479	316	261	42	76.117592	Perambalur
