file,url,landing_url,district,election_year,stage,tier,title,retrieved_at,sha256,bytes,status,pages,text_bytes
jalpaiguri_form_a_all_gp_rajganj_3_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102078.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_RAJGANJ (3 MB),2026-09-06,6ac8dcf8fc896e18c6dbda1f9312a1c5db9438334d5803bff123c549b999e9fb,2953485,downloaded,22,0
jalpaiguri_form_a_all_gp_banarhat_2_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102048.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_BANARHAT (2 MB),2026-09-06,6cb6adc734efd26995a47b9c470b69b27b71ee2b4c7f587d0f8480d81b28695d,1652706,downloaded,15,0
jalpaiguri_form_a_all_gp_mal_2_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102070.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_MAL (2 MB),2026-09-06,e5af6a062a44cb9abbbc7156e536d8e61a3bbc4dc1505d3c40b5df478cd2f3e8,2009469,downloaded,19,0
jalpaiguri_form_a_all_gp_dhupguri_2_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102080.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_DHUPGURI (2 MB),2026-09-06,5292ed724a4b15b4ef6fa6c782290d3dffd7dc2aa920c6c97f42b8585490bcac,2365128,downloaded,18,0
jalpaiguri_form_a_all_gp_sadar_3_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102096.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_SADAR (3 MB),2026-09-06,0b039d54d8a3362929e240e17d370fc1e585c5958426cae95a69da5881639b54,3003208,downloaded,28,0
jalpaiguri_form_a_all_gp_nagrakata_2_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102014.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_NAGRAKATA (2 MB),2026-09-06,5abe46f24a9f0f87931764bad967d04412698675a96bdec08d41e17e376c0cd6,1750465,downloaded,23,0
jalpaiguri_form_a_all_gp_matiali_2_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102094.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_MATIALI (2 MB),2026-09-06,b5cbc1d3becf5eb1dcd714b1e5354d7290ceb6977dfefa1a666dbfe19c3c7a13,2055978,downloaded,31,0
jalpaiguri_form_a_all_gp_maynaguri_3_mb.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/10/2022102063.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,draft,gp_ward,FORM-A ALL GP_MAYNAGURI (3 MB),2026-09-06,78f5e97a7f1f3aeaff376cd994c3c6ccd200249594bc580e7cd692562ad24768,3180780,downloaded,32,0
jalpaiguri_final_office_reservations.pdf,https://cdn.s3waas.gov.in/s3fccb60fb512d13df5083790d64c4d5dd/uploads/2022/12/2022123049.pdf,https://jalpaiguri.gov.in/past-notices/announcements/page/11/,Jalpaiguri,2023,final,gp_head;gp_deputy;block_head;block_deputy,View (4 MB),2026-09-06,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3769102,downloaded,5,11543
birbhum_bolpur_sriniketan_form_a1_5_mb.pdf,https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/11/2022112643.pdf,https://birbhum.gov.in/notice/district-magistrate-district-panchayat-election-officer-birbhum-2/,Birbhum,2023,final,gp_ward,Bolpur Sriniketan Form A1 (5 MB),2026-09-06,b02635e0f17d89ee7ab7fb54a295c6d1747a788d6a22a5b909dd295208c7aaaa,5564943,downloaded,15,0
birbhum_dubrajpur_form_a1_4_mb.pdf,https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/11/2022112683.pdf,https://birbhum.gov.in/notice/district-magistrate-district-panchayat-election-officer-birbhum-2/,Birbhum,2023,final,gp_ward,Dubrajpur Form A1 (4 MB),2026-09-06,f548e9f2496967e40984522811e56c991aeebd11d52c62359c63cdbf2751b109,4568953,downloaded,10,0
birbhum_illambazar_form_a1_4_mb.pdf,https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/11/2022112658.pdf,https://birbhum.gov.in/notice/district-magistrate-district-panchayat-election-officer-birbhum-2/,Birbhum,2023,final,gp_ward,Illambazar Form A1 (4 MB),2026-09-06,cb738c343fdccb5bc3241324e7ccf659d6efb053d2769476843eb9534c922938,4674153,downloaded,10,0
birbhum_khoyrasole_form_a1_5_mb.pdf,https://cdn.s3waas.gov.in/s3fc3cf452d3da8402bebb765225ce8c0e/uploads/2022/11/2022112664.pdf,https://birbhum.gov.in/notice/district-magistrate-district-panchayat-election-officer-birbhum-2/,Birbhum,2023,final,gp_ward,Khoyrasole Form A1 (5 MB),2026-09-06,0cc387ba3020f2a017335a1b29fa0614be4fcd1d42010f845b8c6983cc6e5edc,5003042,downloaded,11,0
