seat_row_id,candidate_row_id,candidate_name,party,votes,source_path,source_page,source_sha256,source_bbox,quality_flags
62e38d5ff4be9075a9b7,75c9bd4fea363047664f,SALU DARJEE,AITC,,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 789, 2311, 850]",party:readers_disagree;votes:unread_numeric
ba0436bbe323ffbf22e4,11cb75c1fd89e414d377,BISHANATH ORAON,JMM,104,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 909, 2311, 970]",
ba0436bbe323ffbf22e4,0514da503279c6fbb6a2,MUNSI MUNDA,AITC,443,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 970, 2311, 1030]",
ba0436bbe323ffbf22e4,443a45402ea672a1d919,RAMESH ORAON,BJP,412,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1030, 2311, 1090]",
a8dd0b03474a57fa08ac,fc32e169cebde84afced,MANI PRAKASH KHALKO,AITC,374,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1150, 2311, 1210]",
a8dd0b03474a57fa08ac,8f55bc5ce9c0ceae50e9,LOK BAHADUR CHHETRI,BIP,169,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1210, 2311, 1270]",party:readers_disagree;party:unrecognized
cb6c3a6f13cc102ee373,a4adc585ad445fbba464,ee,,,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1375, 2311, 1389]",name:low_ocr_confidence;name:readers_disagree;party:unrecognized;votes:unread_numeric
cb6c3a6f13cc102ee373,229909dce3d7d7623e71,SURAJ MUNI MINJ,BJP,302,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1389, 2311, 1450]",party:readers_disagree
87384303a77b5bc32434,3fa7ee4e4329e4e06ef7,DIPA TOTO TAMANG,AITC,458,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1509, 2311, 1570]",
87384303a77b5bc32434,ce79d1e35b5939c08920,SUMAN LAMA,"SPE: |"" EAE",324,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1570, 2311, 1630]",name:readers_disagree;party:low_ocr_confidence;party:readers_disagree;party:unrecognized
c0db535527dafbba1081,f2c822e98b21fa264cb3,BIRJET ORAON,AITC,472,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,4,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1854, 1690, 2311, 1750]",name:readers_disagree;party:readers_disagree
