row_id,state,year,district,block,tier,serial_printed,seat_id_printed,seat_id_readings,seat_no,seat_no_basis,source_path,source_page,source_sha256,source_bbox,gram_panchayat,reservation_raw,electors,votes_polled,votes_rejected,winner_name,winner_party,gram_panchayat_printed,gram_panchayat_basis,reservation,caste_reservation,woman_reserved,candidate_count,candidate_votes_sum,quality_flags,review_status
47c450742426535d9b63,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/I-1,"[""Banchukamari/I-1"", ""Banchukamari/I-1"", ""Banchukamari/I-1""]",1,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,1,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[705, 811, 1188, 1066]",Banchukamari,SC,1378,1249,83,DIPANKAR ROY(DEBU),AITC,,constituency_prefix,SC,SC,0,3,1180,candidate_cells:review;votes:accounting_mismatch;winner_name:readers_disagree,needs_review
cceec886027c643be123,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/II-2,"[""Banchukamari/H-2"", ""Banchukamari/I-2"", ""Banchukamari/II-2""]",2,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,1,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[705, 1066, 1188, 1328]",Banchukamari,ST-WOMAN,750,616,18,FULESWARI MUNDA ORAON,AITC,,constituency_prefix,STW,ST,1,3,595,candidate_cells:review;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch;winner_name:readers_disagree,needs_review
eeb49c893192b20c6a93,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/III-3,"[""Banchukamari/III-3"", ""Banchukamari/III-3"", ""Banchukamari/III-3""]",3,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,1,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[705, 1328, 1188, 1664]",Banchukamari,WOMAN,1097,,96,MOUSUMI RAVA,INC,,constituency_prefix,W,UR,1,4,777,candidate_cells:review;votes_polled:unread_numeric;votes_rejected:single_reader,needs_review
38a92d91c611711c41ec,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/IV-4,"[""Banchukamari/IV-4"", ""Banchukamari/IV-4"", ""Banchukamari/IV-4""]",4,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,1,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[705, 1664, 1188, 1918]",Banchukamari,ST,1067,899,64,SHRIDAS URAO,AITC,,constituency_prefix,ST,ST,0,3,829,candidate_cells:review;gram_panchayat:missing_cell;votes:accounting_mismatch,needs_review
3083d364068bbffaf955,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/V-5,"[""Banchukamari/V-5"", ""Banchukamari/V-5"", ""Banchukamari/V-5""]",5,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,2,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[720, 592, 1202, 896]",Banchukamari,UR,1438,1145,73,GULASAN MANDAL,AITC,,constituency_prefix,UR,UR,0,4,1070,candidate_cells:review;gram_panchayat:missing_cell;votes:accounting_mismatch;winner_name:readers_disagree,needs_review
84d510577f52a8f17953,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/VI-6,"[""Banchukamari/VI-6"", ""Banchukamari/VI-6"", ""Banchukamari/VI-6""]",6,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,2,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[720, 896, 1202, 1066]",Banchukamari,WOMAN,1595,1384,49,JASHOMATI URAO,BJP,,constituency_prefix,W,UR,1,2,1315,candidate_cells:review;gram_panchayat:missing_cell;votes:accounting_mismatch;winner:party_mismatch;winner_party:readers_disagree,needs_review
90ce2ad1dbb52d00f015,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/VII-7,"[""Banchukamari/VII-7 ."", ""; kemart/VIl? Barren"", ""Banchukamari/VII-7""]",7,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,2,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[720, 1066, 1202, 1366]",Banchukamari,UR,1292,1191,49,RANAJIT GHOSH(SHIBU),AITC,,constituency_prefix,UR,UR,0,4,,candidate_cells:review;gram_panchayat:missing_cell;reservation_raw:readers_disagree;seat_id:readers_disagree;winner_party:readers_disagree,needs_review
c4ee309d4ba16a4a0a46,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/VII-8,"["""", ""Banchukamari/VIII-8"", ""Banchukamari/VII-8""]",8,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,2,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[720, 1366, 1202, 1619]",Banchukamari,WOMAN,928,834,51,NAMITA ROY ADHIKARY,BJP,,constituency_prefix,W,UR,1,3,790,candidate_cells:review;gram_panchayat:missing_cell;reservation_raw:readers_disagree;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch;winner_name:readers_disagree;winner_party:readers_disagree,needs_review
bcbb9e787f5447f33514,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/IX-9,"[""Banchukamari/IX-9"", ""Banchukamari/IX-9"", ""Banchukamari/IX-9""]",9,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,2,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[720, 1619, 1202, 1874]",Banchukamari,SC-WOMAN,925,854,,PAYEL GHOSH (SAHA),AITC,,constituency_prefix,SCW,SC,1,3,849,candidate_cells:review;gram_panchayat:missing_cell;votes_polled:single_reader;votes_rejected:readers_disagree;winner_name:readers_disagree,needs_review
c6d2b087ef50088e9a7c,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/X-10,"[""Banchuk anchukaMarl/A- i/X-10"", ""Banchuk anchukaMarl/A- i/X-10"", ""Banchukamari/X-10""]",10,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,3,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[717, 584, 1198, 926]",Banchukamari,UR,1001,912,18,PALASH GHOSH(KESHAB),AITC,,constituency_prefix,UR,UR,0,4,,candidate_cells:review;electors:single_reader;gram_panchayat:missing_cell;seat_id:readers_disagree;winner_name:readers_disagree,needs_review
94369599666822f93360,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/XI-11,"[""Banchukamari/XI-11"", ""Banchukamari/XI-11"", ""Banchukamari/XI-11""]",11,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,3,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[717, 926, 1198, 1188]",Banchukamari,UR,819,724,20,DULAL DUTTA (BHOLA),AITC,,constituency_prefix,UR,UR,0,3,707,candidate_cells:review;gram_panchayat:missing_cell;votes:accounting_mismatch,needs_review
a1ddf10debf74af0610e,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/XH-12,"[""Banchukamari/XH-12"", ""Banchukamari/XI-12"", ""Banchukamari/XH-12""]",12,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,3,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[717, 1188, 1198, 1442]",Banchukamari,sc,959,839,25,SANKAR ROY,BJP,,constituency_prefix,SC,SC,0,3,830,candidate_cells:review;gram_panchayat:missing_cell;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch,needs_review
0165aea51c21cb13faa8,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/XIH-13,"[""Banchukamari/XIH-13"", ""Banchukamari/XIII-13"", ""Banchukamari/XIH-13""]",13,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,3,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[717, 1442, 1198, 1704]",Banchukamari,WOMAN,1190,1079,69,LAKSHMI DAS,AITC,,constituency_prefix,W,UR,1,3,1011,candidate_cells:review;gram_panchayat:missing_cell;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch,needs_review
3d1ecac14694f1d7370c,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Banchukamari/X1V-14,"[""Banchukamari/XIV-14"", ""Banchukamari/X1V-14 —"", ""Banchukamari/X1V-14""]",14,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,3,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[717, 1704, 1198, 1874]",Banchukamari,SC-WOMAN,797,696,20,SHEULI BARMAN (ROY},AITC,,constituency_prefix,SCW,SC,1,2,683,gram_panchayat:missing_cell;seat_id:readers_disagree;votes:accounting_mismatch;winner_name:readers_disagree,needs_review
a52a92082bd34a23b5a9,West Bengal,2018,Alipurduar,Alipurduar-I,gp_member,,Chakowakheti/I-1,"[""Chakowakheti/I-1"", ""Chakowakheti/I-1"", ""Chakowakheti/I-1""]",1,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-I/APD-I IIA.PDF,4,b1c7dd2fbdbb46365231f387536f364fc3b2f5b99b4c7c241867ddc593382b50,"[716, 1180, 1195, 1350]",Chakowakheti,ST,1069,862,102,BABLU ORAON,BJP,,constituency_prefix,ST,ST,0,2,763,candidate_cells:review;gram_panchayat:missing_cell;layout:missing_leading_columns;votes:accounting_mismatch;winner:party_mismatch,needs_review
