level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3508	2480	-1	
2	1	1	0	0	0	13	131	3495	1940	-1	
3	1	1	1	0	0	13	131	3495	1940	-1	
4	1	1	1	1	0	261	131	1649	12	-1	
5	1	1	1	1	1	261	131	6	12	48.569214	?
5	1	1	1	1	2	1906	134	4	1	0.000000	;
4	1	1	1	2	0	206	225	2227	45	-1	
5	1	1	1	2	1	206	262	3	2	46.732872	.
5	1	1	1	2	2	1787	239	83	23	91.104485	JIBAN
5	1	1	1	2	3	1879	238	106	29	91.506798	ORAON
5	1	1	1	2	4	2151	225	65	45	90.524582	AITC
5	1	1	1	2	5	2375	238	58	21	95.025505	2966
4	1	1	1	3	0	19	258	2408	45	-1	
5	1	1	1	3	1	19	281	6	21	69.772423	:
5	1	1	1	3	2	1788	270	145	24	91.062454	BHADOYA
5	1	1	1	3	3	1940	270	105	24	93.018791	URAON
5	1	1	1	3	4	2156	258	60	45	96.509720	RSP
5	1	1	1	3	5	2383	271	44	21	96.144562	749
4	1	1	1	4	0	463	288	2479	58	-1	
5	1	1	1	4	1	463	311	29	20	51.399879	19
5	1	1	1	4	2	567	310	209	25	33.813171	Madarinat-Birpara
5	1	1	1	4	3	826	293	221	53	37.993347	RANGALIBAZNA/
5	1	1	1	4	4	1054	292	44	22	12.367735	|
5	1	1	1	4	5	1202	288	98	61	55.246704	||
5	1	1	1	4	6	1331	308	60	20	35.888504	ae
5	1	1	1	4	7	1500	288	61	50	96.121262	5412
5	1	1	1	4	8	1678	307	42	20	34.679909	274“
5	1	1	1	4	9	1789	307	60	22	17.858915	LILA
5	1	1	1	4	10	1856	302	106	28	17.858915	ORAON
5	1	1	1	4	11	2576	307	72	21	90.057350	JIBAN
5	1	1	1	4	12	2656	307	95	22	92.941925	ORAON
5	1	1	1	4	13	2881	306	61	22	88.943932	AITC
4	1	1	1	5	0	2161	311	258	45	-1	
5	1	1	1	5	1	2161	311	48	45	95.417061	IND
5	1	1	1	5	2	2389	325	30	21	93.015938	93
4	1	1	1	6	0	1789	342	122	24	-1	
5	1	1	1	6	1	1789	342	122	24	96.841591	BHAGAT
4	1	1	1	7	0	1789	365	645	45	-1	
5	1	1	1	7	1	1789	378	107	24	92.900551	SHANTI
5	1	1	1	7	2	1903	378	107	24	91.685341	ORAON
5	1	1	1	7	3	2159	365	51	45	90.034027	BUP
5	1	1	1	7	4	2378	379	56	21	95.559883	1330
4	1	1	1	8	0	430	410	2787	33	-1	
5	1	1	1	8	1	430	412	94	31	42.161385	eS
5	1	1	1	8	2	530	412	279	31	41.417728	eas
5	1	1	1	8	3	824	412	97	29	24.712019	Oe
5	1	1	1	8	4	1020	404	93	46	51.972027	eee
5	1	1	1	8	5	2535	413	62	23	35.029793	Bi
5	1	1	1	8	6	2641	410	169	29	41.360897	Sees
5	1	1	1	8	7	3213	430	4	2	21.116018	;
4	1	1	1	9	0	1789	435	638	45	-1	
5	1	1	1	9	1	1789	449	165	29	93.111595	MANATOSH
5	1	1	1	9	2	1963	449	61	23	96.870041	RAY
5	1	1	1	9	3	2161	435	53	45	96.331329	RSP
5	1	1	1	9	4	2385	448	42	21	96.799873	159
4	1	1	1	10	0	1789	468	1677	46	-1	
5	1	1	1	10	1	1789	482	106	23	92.792999	RABIUL
5	1	1	1	10	2	1903	481	86	24	61.483818	{SLAM
5	1	1	1	10	3	2165	468	45	46	96.655571	IND
5	1	1	1	10	4	2392	483	27	20	96.962677	16
5	1	1	1	10	5	3464	479	2	2	34.306644	:
4	1	1	1	11	0	459	504	2485	61	-1	
5	1	1	1	11	1	459	509	35	56	49.195538	on
5	1	1	1	11	2	644	540	74	4	48.117722	ioe
5	1	1	1	11	3	826	522	207	22	91.375771	RANGALIBAZNA
5	1	1	1	11	4	1039	523	10	20	78.964188	/
5	1	1	1	11	5	1055	522	44	22	78.964188	PS-
5	1	1	1	11	6	1187	538	18	21	47.974125	x
5	1	1	1	11	7	1333	537	111	28	50.874752	5853.
5	1	1	1	11	8	1504	537	59	21	71.313560	4909
5	1	1	1	11	9	1679	536	43	22	59.983353	216
5	1	1	1	11	10	1789	517	162	25	78.865517	SASHANKA
5	1	1	1	11	11	1959	517	59	24	96.909172	RAY
5	1	1	1	11	12	2160	505	51	45	91.641151	BUP
5	1	1	1	11	13	2378	504	60	45	89.870262	1640
5	1	1	1	11	14	2590	504	35	58	0.000000	ic
5	1	1	1	11	15	2637	537	102	21	0.000000	Mieitiaia
5	1	1	1	11	16	2881	536	63	22	56.536217	a
4	1	1	1	12	0	594	544	1828	55	-1	
5	1	1	1	12	1	594	545	4	16	6.219425	;
5	1	1	1	12	2	667	544	64	22	31.584816	sha
5	1	1	1	12	3	943	550	34	36	97.006020	20
5	1	1	1	12	4	1789	550	162	37	91.383736	SHANTANU
5	1	1	1	12	5	2166	550	43	49	89.835724	INC
5	1	1	1	12	6	2390	550	32	48	62.984467	38
4	1	1	1	13	0	1786	574	1092	54	-1	
5	1	1	1	13	1	1786	574	152	54	88.596443	RAY(DIPU)
4	1	1	1	14	0	475	623	2205	50	-1	
5	1	1	1	14	1	475	663	206	4	19.493313	ee
5	1	1	1	14	2	870	662	71	3	60.344257	—
5	1	1	1	14	3	1069	661	14	1	25.058880	—
5	1	1	1	14	4	1183	660	242	4	7.912102	a
5	1	1	1	14	5	1508	651	56	14	45.299831	i
5	1	1	1	14	6	1685	660	10	4	40.065937	:
5	1	1	1	14	7	1785	623	87	50	90.592155	SAJID
5	1	1	1	14	8	1889	623	71	50	96.592178	ALAM
5	1	1	1	14	9	2050	660	9	1	57.819603	aid
5	1	1	1	14	10	2094	624	28	48	16.380682	too
5	1	1	1	14	11	2132	628	85	35	37.551598	AAG
5	1	1	1	14	12	2372	624	67	47	96.283180	2840
5	1	1	1	14	13	2548	660	3	1	27.252232	:
5	1	1	1	14	14	2677	660	3	1	83.851212	:
4	1	1	1	15	0	431	655	2574	45	-1	
5	1	1	1	15	1	431	663	94	30	28.764858	ERS
5	1	1	1	15	2	531	661	279	32	28.933754	Sea
5	1	1	1	15	3	816	661	295	31	34.035038	eae
5	1	1	1	15	4	1117	660	158	31	39.095539	Eee
5	1	1	1	15	5	1281	660	164	31	15.161152	Ee
5	1	1	1	15	6	1616	655	169	45	35.533577	Hass
5	1	1	1	15	7	2089	660	199	30	30.917660	Eee
5	1	1	1	15	8	2522	660	86	30	16.119576	ES
5	1	1	1	15	9	2690	655	117	45	33.543591	eee
5	1	1	1	15	10	2817	659	188	31	32.077507	eee
4	1	1	1	16	0	1790	700	1295	30	-1	
5	1	1	1	16	1	1790	700	99	30	93.125954	Chhaya
5	1	1	1	16	2	1898	700	42	24	95.087601	Pal
5	1	1	1	16	3	2054	718	2	2	43.605381	:
5	1	1	1	16	4	3083	719	2	2	1.141510	;
4	1	1	1	17	0	1790	706	1718	57	-1	
5	1	1	1	17	1	1790	737	147	26	7.154779	Chestionare
5	1	1	1	17	2	2153	706	64	45	89.194633	AITC
5	1	1	1	17	3	2376	706	58	45	96.088326	2597
5	1	1	1	17	4	3502	704	4	45	90.510750	|
4	1	1	1	18	0	461	758	2482	48	-1	
5	1	1	1	18	1	461	760	28	46	74.686546	21
5	1	1	1	18	2	577	760	195	45	84.852142	Madarihat-Birpara
5	1	1	1	18	3	861	775	133	20	33.457047	BIRPARA-4/
5	1	1	1	18	4	1000	774	62	21	46.632111	PS-21
5	1	1	1	18	5	1153	759	94	45	96.893044	Women
5	1	1	1	18	6	1334	758	58	46	96.569748	6720
5	1	1	1	18	7	1502	758	64	45	96.126160	5066
5	1	1	1	18	8	1680	771	42	22	72.815826	272
5	1	1	1	18	9	1788	773	75	33	57.518074	‘Tania
5	1	1	1	18	10	1871	773	102	25	96.419930	Sharma
5	1	1	1	18	11	2164	774	48	22	89.152718	BUP
5	1	1	1	18	12	2228	788	6	5	73.232193	-
