level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4200	2550	-1	
2	1	1	0	0	0	518	175	467	27	-1	
3	1	1	1	0	0	518	175	467	27	-1	
4	1	1	1	1	0	518	175	467	27	-1	
5	1	1	1	1	1	518	175	78	27	96.157234	Name
5	1	1	1	1	2	605	176	25	25	96.884491	of
5	1	1	1	1	3	637	176	42	25	96.659088	the
5	1	1	1	1	4	689	175	74	26	93.290123	Block
5	1	1	1	1	5	771	188	8	6	92.625946	-
5	1	1	1	1	6	787	175	198	26	30.783173	ALIPURDUAR-II
2	1	2	0	0	0	506	246	2841	7	-1	
3	1	2	1	0	0	506	246	2841	7	-1	
4	1	2	1	1	0	506	246	2841	7	-1	
5	1	2	1	1	1	506	246	2841	7	95.000000	 
2	1	3	0	0	0	1319	291	450	4	-1	
3	1	3	1	0	0	1319	291	450	4	-1	
4	1	3	1	1	0	1319	291	450	4	-1	
5	1	3	1	1	1	1319	291	450	4	95.000000	 
2	1	4	0	0	0	508	435	2840	5	-1	
3	1	4	1	0	0	508	435	2840	5	-1	
4	1	4	1	1	0	508	435	2840	5	-1	
5	1	4	1	1	1	508	435	2840	5	95.000000	 
2	1	5	0	0	0	511	492	2835	5	-1	
3	1	5	1	0	0	511	492	2835	5	-1	
4	1	5	1	1	0	511	492	2835	5	-1	
5	1	5	1	1	1	511	492	2835	5	95.000000	 
2	1	6	0	0	0	1791	526	837	5	-1	
3	1	6	1	0	0	1791	526	837	5	-1	
4	1	6	1	1	0	1791	526	837	5	-1	
5	1	6	1	1	1	1791	526	837	5	95.000000	 
2	1	7	0	0	0	1851	561	778	4	-1	
3	1	7	1	0	0	1851	561	778	4	-1	
4	1	7	1	1	0	1851	561	778	4	-1	
5	1	7	1	1	1	1851	561	778	4	95.000000	 
2	1	8	0	0	0	836	593	2511	5	-1	
3	1	8	1	0	0	836	593	2511	5	-1	
4	1	8	1	1	0	836	593	2511	5	-1	
5	1	8	1	1	1	836	593	2511	5	95.000000	 
2	1	9	0	0	0	511	596	115	2	-1	
3	1	9	1	0	0	511	596	115	2	-1	
4	1	9	1	1	0	511	596	115	2	-1	
5	1	9	1	1	1	511	596	115	2	95.000000	 
2	1	10	0	0	0	1806	629	823	4	-1	
3	1	10	1	0	0	1806	629	823	4	-1	
4	1	10	1	1	0	1806	629	823	4	-1	
5	1	10	1	1	1	1806	629	823	4	95.000000	 
2	1	11	0	0	0	836	663	2511	4	-1	
3	1	11	1	0	0	836	663	2511	4	-1	
4	1	11	1	1	0	836	663	2511	4	-1	
5	1	11	1	1	1	836	663	2511	4	95.000000	 
2	1	12	0	0	0	512	664	115	3	-1	
3	1	12	1	0	0	512	664	115	3	-1	
4	1	12	1	1	0	512	664	115	3	-1	
5	1	12	1	1	1	512	664	115	3	95.000000	 
2	1	13	0	0	0	1863	695	766	5	-1	
3	1	13	1	0	0	1863	695	766	5	-1	
4	1	13	1	1	0	1863	695	766	5	-1	
5	1	13	1	1	1	1863	695	766	5	95.000000	 
2	1	14	0	0	0	513	731	115	4	-1	
3	1	14	1	0	0	513	731	115	4	-1	
4	1	14	1	1	0	513	731	115	4	-1	
5	1	14	1	1	1	513	731	115	4	95.000000	 
2	1	15	0	0	0	836	729	2512	7	-1	
3	1	15	1	0	0	836	729	2512	7	-1	
4	1	15	1	1	0	836	729	2512	7	-1	
5	1	15	1	1	1	836	729	2512	7	95.000000	 
2	1	16	0	0	0	1800	764	829	5	-1	
3	1	16	1	0	0	1800	764	829	5	-1	
4	1	16	1	1	0	1800	764	829	5	-1	
5	1	16	1	1	1	1800	764	829	5	95.000000	 
2	1	17	0	0	0	837	798	2511	5	-1	
3	1	17	1	0	0	837	798	2511	5	-1	
4	1	17	1	1	0	837	798	2511	5	-1	
5	1	17	1	1	1	837	798	2511	5	95.000000	 
2	1	18	0	0	0	513	800	115	4	-1	
3	1	18	1	0	0	513	800	115	4	-1	
4	1	18	1	1	0	513	800	115	4	-1	
5	1	18	1	1	1	513	800	115	4	95.000000	 
2	1	19	0	0	0	1765	834	864	4	-1	
3	1	19	1	0	0	1765	834	864	4	-1	
4	1	19	1	1	0	1765	834	864	4	-1	
5	1	19	1	1	1	1765	834	864	4	95.000000	 
2	1	20	0	0	0	837	867	2511	6	-1	
3	1	20	1	0	0	837	867	2511	6	-1	
4	1	20	1	1	0	837	867	2511	6	-1	
5	1	20	1	1	1	837	867	2511	6	95.000000	 
2	1	21	0	0	0	514	869	115	3	-1	
3	1	21	1	0	0	514	869	115	3	-1	
4	1	21	1	1	0	514	869	115	3	-1	
5	1	21	1	1	1	514	869	115	3	95.000000	 
2	1	22	0	0	0	1928	902	702	5	-1	
3	1	22	1	0	0	1928	902	702	5	-1	
4	1	22	1	1	0	1928	902	702	5	-1	
5	1	22	1	1	1	1928	902	702	5	95.000000	 
2	1	23	0	0	0	514	937	116	4	-1	
3	1	23	1	0	0	514	937	116	4	-1	
4	1	23	1	1	0	514	937	116	4	-1	
5	1	23	1	1	1	514	937	116	4	95.000000	 
2	1	24	0	0	0	838	936	2510	5	-1	
3	1	24	1	0	0	838	936	2510	5	-1	
4	1	24	1	1	0	838	936	2510	5	-1	
5	1	24	1	1	1	838	936	2510	5	95.000000	 
2	1	25	0	0	0	1803	971	827	4	-1	
3	1	25	1	0	0	1803	971	827	4	-1	
4	1	25	1	1	0	1803	971	827	4	-1	
5	1	25	1	1	1	1803	971	827	4	95.000000	 
2	1	26	0	0	0	2070	1004	560	5	-1	
3	1	26	1	0	0	2070	1004	560	5	-1	
4	1	26	1	1	0	2070	1004	560	5	-1	
5	1	26	1	1	1	2070	1004	560	5	95.000000	 
2	1	27	0	0	0	1766	1038	864	5	-1	
3	1	27	1	0	0	1766	1038	864	5	-1	
4	1	27	1	1	0	1766	1038	864	5	-1	
5	1	27	1	1	1	1766	1038	864	5	95.000000	 
2	1	28	0	0	0	1797	1073	833	4	-1	
3	1	28	1	0	0	1797	1073	833	4	-1	
4	1	28	1	1	0	1797	1073	833	4	-1	
5	1	28	1	1	1	1797	1073	833	4	95.000000	 
2	1	29	0	0	0	838	1105	940	6	-1	
3	1	29	1	0	0	838	1105	940	6	-1	
4	1	29	1	1	0	838	1105	940	6	-1	
5	1	29	1	1	1	838	1105	940	6	95.000000	 
2	1	30	0	0	0	516	1107	114	4	-1	
3	1	30	1	0	0	516	1107	114	4	-1	
4	1	30	1	1	0	516	1107	114	4	-1	
5	1	30	1	1	1	516	1107	114	4	95.000000	 
2	1	31	0	0	0	2040	1106	1308	6	-1	
3	1	31	1	0	0	2040	1106	1308	6	-1	
4	1	31	1	1	0	2040	1106	1308	6	-1	
5	1	31	1	1	1	2040	1106	1308	6	95.000000	 
2	1	32	0	0	0	1909	1139	721	6	-1	
3	1	32	1	0	0	1909	1139	721	6	-1	
4	1	32	1	1	0	1909	1139	721	6	-1	
5	1	32	1	1	1	1909	1139	721	6	95.000000	 
2	1	33	0	0	0	516	1175	115	4	-1	
3	1	33	1	0	0	516	1175	115	4	-1	
