level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3508	2480	-1	
2	1	1	0	0	0	222	74	3052	2303	-1	
3	1	1	1	0	0	222	74	3052	2303	-1	
4	1	1	1	1	0	1544	74	1401	102	-1	
5	1	1	1	1	1	1544	74	523	102	86.190720	ANNEXURE-IA
5	1	1	1	1	2	2532	93	413	31	11.784153	GREMIESNCHAYET
4	1	1	1	2	0	1551	160	473	35	-1	
5	1	1	1	2	1	1551	161	170	34	96.448227	RESULT
5	1	1	1	2	2	1735	161	56	33	95.779533	OF
5	1	1	1	2	3	1807	160	217	33	95.779533	ELECTION
4	1	1	1	3	0	446	211	2607	47	-1	
5	1	1	1	3	1	446	221	247	30	96.061478	Consolidated
5	1	1	1	3	2	707	222	103	29	97.001907	result
5	1	1	1	3	3	822	220	36	30	96.303085	of
5	1	1	1	3	4	868	220	145	30	96.476814	election
5	1	1	1	3	5	1026	222	36	28	96.604965	to
5	1	1	1	3	6	1076	219	117	31	96.881432	GRAM
5	1	1	1	3	7	1209	220	232	30	96.499489	PANCHAYAT
5	1	1	1	3	8	1453	221	99	29	96.874344	seats
5	1	1	1	3	9	1566	220	78	30	93.301399	with
5	1	1	1	3	10	1660	220	186	37	93.277184	Party-wise
5	1	1	1	3	11	1861	219	103	30	96.529121	break
5	1	1	1	3	12	1978	227	46	30	96.979744	up
5	1	1	1	3	13	2038	220	32	29	96.832375	in
5	1	1	1	3	14	2084	221	204	29	96.400696	connection
5	1	1	1	3	15	2300	221	79	29	96.348846	with
5	1	1	1	3	16	2393	211	44	39	65.419426	9"
5	1	1	1	3	17	2449	220	191	38	95.662071	Panchayat
5	1	1	1	3	18	2651	221	141	29	93.207458	General
5	1	1	1	3	19	2807	220	246	32	91.657722	Election-2018
4	1	1	1	4	0	1294	269	1771	43	-1	
5	1	1	1	4	1	1294	270	5	41	25.400352	|
5	1	1	1	4	2	1387	270	4	41	80.017448	|
5	1	1	1	4	3	1470	269	4	42	32.050129	J
5	1	1	1	4	4	1566	269	4	42	50.950455	|
5	1	1	1	4	5	1692	269	5	42	4.132557	[|
5	1	1	1	4	6	1777	269	97	42	38.611252	jt
5	1	1	1	4	7	1967	269	174	42	27.908306	bE
5	1	1	1	4	8	2234	270	4	42	9.056702	i
5	1	1	1	4	9	2321	270	77	42	5.515423	ee
5	1	1	1	4	10	2468	270	165	42	19.414473	lf)
