level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3508	2480	-1	
2	1	1	0	0	0	428	267	442	35	-1	
3	1	1	1	0	0	428	267	442	35	-1	
4	1	1	1	1	0	428	267	442	35	-1	
5	1	1	1	1	1	428	267	81	28	96.961861	Name
5	1	1	1	1	2	519	268	29	27	96.961861	of
5	1	1	1	1	3	555	269	44	26	96.850189	the
5	1	1	1	1	4	610	269	83	27	93.298477	Block
5	1	1	1	1	5	703	269	167	33	55.013142	Alipurduar-!
2	1	2	0	0	0	414	351	2920	6	-1	
3	1	2	1	0	0	414	351	2920	6	-1	
4	1	2	1	1	0	414	351	2920	6	-1	
5	1	2	1	1	1	414	351	2920	6	95.000000	 
2	1	3	0	0	0	1381	402	532	3	-1	
3	1	3	1	0	0	1381	402	532	3	-1	
4	1	3	1	1	0	1381	402	532	3	-1	
5	1	3	1	1	1	1381	402	532	3	95.000000	 
2	1	4	0	0	0	412	491	2921	6	-1	
3	1	4	1	0	0	412	491	2921	6	-1	
4	1	4	1	1	0	412	491	2921	6	-1	
5	1	4	1	1	1	412	491	2921	6	95.000000	 
2	1	5	0	0	0	412	575	2920	12	-1	
3	1	5	1	0	0	412	575	2920	12	-1	
4	1	5	1	1	0	412	575	2920	12	-1	
5	1	5	1	1	1	412	575	2920	12	95.000000	 
2	1	6	0	0	0	412	637	122	3	-1	
3	1	6	1	0	0	412	637	122	3	-1	
4	1	6	1	1	0	412	637	122	3	-1	
5	1	6	1	1	1	412	637	122	3	95.000000	 
2	1	7	0	0	0	1907	637	901	7	-1	
3	1	7	1	0	0	1907	637	901	7	-1	
4	1	7	1	1	0	1907	637	901	7	-1	
5	1	7	1	1	1	1907	637	901	7	95.000000	 
2	1	8	0	0	0	412	686	121	3	-1	
3	1	8	1	0	0	412	686	121	3	-1	
4	1	8	1	1	0	412	686	121	3	-1	
5	1	8	1	1	1	412	686	121	3	95.000000	 
2	1	9	0	0	0	703	684	2628	8	-1	
3	1	9	1	0	0	703	684	2628	8	-1	
4	1	9	1	1	0	703	684	2628	8	-1	
5	1	9	1	1	1	703	684	2628	8	95.000000	 
2	1	10	0	0	0	411	771	121	2	-1	
3	1	10	1	0	0	411	771	121	2	-1	
4	1	10	1	1	0	411	771	121	2	-1	
5	1	10	1	1	1	411	771	121	2	95.000000	 
2	1	11	0	0	0	1906	770	900	6	-1	
3	1	11	1	0	0	1906	770	900	6	-1	
4	1	11	1	1	0	1906	770	900	6	-1	
5	1	11	1	1	1	1906	770	900	6	95.000000	 
2	1	12	0	0	0	410	857	121	3	-1	
3	1	12	1	0	0	410	857	121	3	-1	
4	1	12	1	1	0	410	857	121	3	-1	
5	1	12	1	1	1	410	857	121	3	95.000000	 
2	1	13	0	0	0	701	855	2629	8	-1	
3	1	13	1	0	0	701	855	2629	8	-1	
4	1	13	1	1	0	701	855	2629	8	-1	
5	1	13	1	1	1	701	855	2629	8	95.000000	 
2	1	14	0	0	0	408	941	122	3	-1	
3	1	14	1	0	0	408	941	122	3	-1	
4	1	14	1	1	0	408	941	122	3	-1	
5	1	14	1	1	1	408	941	122	3	95.000000	 
2	1	15	0	0	0	1905	941	901	7	-1	
3	1	15	1	0	0	1905	941	901	7	-1	
4	1	15	1	1	0	1905	941	901	7	-1	
5	1	15	1	1	1	1905	941	901	7	95.000000	 
2	1	16	0	0	0	408	1028	122	2	-1	
3	1	16	1	0	0	408	1028	122	2	-1	
4	1	16	1	1	0	408	1028	122	2	-1	
5	1	16	1	1	1	408	1028	122	2	95.000000	 
2	1	17	0	0	0	700	1025	2629	8	-1	
