seat_row_id,candidate_row_id,candidate_name,party,votes,source_path,source_page,source_sha256,source_bbox,quality_flags,tier
85dfda6ffd256024fc71,8dded1bf8f3686117751,DEBOJIT SARKAR,AITC,18845,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 762, 1948, 830]",,zp_member
85dfda6ffd256024fc71,b5f81ad56a32a729b3fb,TAPAN DAS,BJP,14635,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 830, 1948, 896]",party:readers_disagree,zp_member
85dfda6ffd256024fc71,80708c18ec81566da4d5,BASAB PANDIT,CPI(M),9289,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 896, 1948, 962]",,zp_member
85dfda6ffd256024fc71,6fdd2a9ff75f4e150fa4,ARUP KUMAR NARJINARY,IND,1607,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 962, 1948, 1028]",party:readers_disagree,zp_member
85dfda6ffd256024fc71,220eb876427b0f68e19c,SATYENDRA CHANDRA DEBNAT!,IND,145,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1028, 1948, 1093]",name:low_ocr_confidence;name:readers_disagree;party:readers_disagree,zp_member
a809af6167d3bec960cd,b1596a8c2b1bdff1adb7,ARCHITA KUNGAR (MANDAL),AITC,24638,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1093, 1948, 1158]",,zp_member
a809af6167d3bec960cd,073c4cf9706f3ba1c81f,DEBI DAS,CPI(M),13059,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1158, 1948, 1224]",,zp_member
a809af6167d3bec960cd,3daee55180f0e89daa56,MANIKA DAS,BJP,12305,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1224, 1948, 1289]",,zp_member
a809af6167d3bec960cd,634ddaaff4e70b301e50,DEBI SAHA (DAS),SUCI(COMMUNIST),688,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1289, 1948, 1354]",party:unrecognized,zp_member
6229b27439d420be4a50,c88769b7836f2c694f2f,MOHAN SHARMA,AITC,21509,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1354, 1948, 1420]",,zp_member
6229b27439d420be4a50,d741700f86913345c302,DIPAK SHARMA,BJP,10096,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1420, 1948, 1485]",,zp_member
6229b27439d420be4a50,8388898c566c021eae8f,MOBARAK ALI SARKAR,CPI(M),7086,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1485, 1948, 1551]",,zp_member
6229b27439d420be4a50,74ebeadd2c513f863da8,PRASENJIT KUMAR RAY,INC,3839,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1551, 1948, 1617]",,zp_member
6229b27439d420be4a50,2dcd239050981b4dd2bc,DHARMENDRA ROY,SUCI(COMMUNIST),389,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1617, 1948, 1682]",party:unrecognized,zp_member
6229b27439d420be4a50,a18ea6db7595cc91e915,RAJIB MANDAL,IND,149,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[1440, 1682, 1948, 1742]",,zp_member
a0ef6f247347513184b2,eb8a4f2ae068b6d75b02,JACINTA LAKRA,ATC,18450,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 897, 1442, 934]",party:low_ocr_confidence;party:readers_disagree;party:unrecognized,zp_member
a0ef6f247347513184b2,832209b569328ab60ee2,PRADIP KUMAR MODAK,IND,317,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 934, 1442, 974]",,zp_member
9e0eeca177b53d78f3cc,a691f29af0d00251bf73,ARBINA YONZONE,BJP,9063,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1088, 1442, 1125]",party:readers_disagree,zp_member
9e0eeca177b53d78f3cc,c7a329f80a105c5d6be2,ASMAYA SUBBA,AITC,16421,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1125, 1442, 1163]",,zp_member
9e0eeca177b53d78f3cc,cc3bf34b7a2043eb68ae,CILINA HORO (TOPNO),CPI(M),1092,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1163, 1442, 1200]",name:readers_disagree;party:readers_disagree,zp_member
654d20c89e035ed51d11,4e8f912cbb79caaaecb5,ASHA NARJINARY,AITC,19942,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1238, 1442, 1276]",party:readers_disagree,zp_member
654d20c89e035ed51d11,5091a704bfedbd801e71,KARTIK ORAON,INC,798,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1276, 1442, 1314]",party:readers_disagree,zp_member
654d20c89e035ed51d11,58aa35a3c7df7831657e,PINKI MUNDA,SUCI(COMMUNIST),301,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1314, 1442, 1356]",party:low_ocr_confidence;party:readers_disagree;party:unrecognized,zp_member
654d20c89e035ed51d11,cf0e9497b6372e1e1fec,,PHM) ———,,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[1095, 1356, 1442, 1375]",name:missing;party:low_ocr_confidence;party:readers_disagree;party:unrecognized;votes:readers_disagree,zp_member
