row_id,state,year,district,block,tier,serial_printed,seat_id_printed,seat_id_readings,seat_no,seat_no_basis,source_path,source_page,source_sha256,source_bbox,gram_panchayat,reservation_raw,electors,votes_polled,votes_rejected,winner_name,winner_party,gram_panchayat_printed,gram_panchayat_basis,reservation,caste_reservation,woman_reserved,geographic_label_raw,candidate_count,candidate_votes_sum,quality_flags,review_status
85dfda6ffd256024fc71,West Bengal,2018,Alipurduar,Alipurduar-II,zp_member,,ALIPURDUAR-II/ZP-4,"[""ALIPURDUAR-II/ZP-4"", ""ALIPURDUAR-II/ZP-4"", ""ALIPURDUAR-II/ZP-4""]",4,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[834, 763, 1237, 1093]",,,56653,46835,2314,DEBOJIT SARKAR,AITC,,not_identified_for_zp_member_constituency,,,,,5,44521,candidate_cells:review;reservation:unresolved,needs_review
a809af6167d3bec960cd,West Bengal,2018,Alipurduar,Alipurduar-II,zp_member,,ALIPURDUAR-II/ZP-5,"[""ALIPURDUAR-II/ZP-5"", ""ALIPURDUAR-II/ZP-5"", ""ALIPURDUAR-II/ZP-5""]",5,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[834, 1093, 1237, 1355]",,Ww,59730,53260,2570,ARCHITA KUNGAR (MANDAL),AITC,,not_identified_for_zp_member_constituency,W,UR,1,,4,50690,candidate_cells:review;reservation_raw:readers_disagree;winner_name:readers_disagree;winner_party:readers_disagree,needs_review
6229b27439d420be4a50,West Bengal,2018,Alipurduar,Alipurduar-II,zp_member,,ALIPURDUAR-II/ZP-9,"[""ALIPURDUAR-II/ZP-9"", ""ALIPURDUAR-II/ZP-9"", ""ALIPURDUAR-II/ZP-9""]",9,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/APD-II/APD-II ZP IC AND IIC.PDF,2,52b709015ea77896a9b85d7eee1d776c71c8bd9b31a97e7982a20196dd9397f2,"[834, 1355, 1237, 1742]",,,52065,2570,2133,MOHAN SHARMA,AITC,,not_identified_for_zp_member_constituency,,,,,6,43068,candidate_cells:review;reservation:unresolved;votes:accounting_mismatch,needs_review
a0ef6f247347513184b2,West Bengal,2018,Alipurduar,Madarihat-Birpara,zp_member,,Madarihat/ZP-16,"[""Madarihat/ZP-16"", ""Madarihat/ZP-16"", ""Madarihat/ZP-16""]",16,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[527, 898, 910, 974]",,UR,51457,38940,2599,JACINTA LAKRA,AITC,,not_identified_for_zp_member_constituency,UR,UR,0,,2,18767,candidate_cells:review;votes:accounting_mismatch;winner:party_mismatch,needs_review
9e0eeca177b53d78f3cc,West Bengal,2018,Alipurduar,Madarihat-Birpara,zp_member,2,Madarihat/ZP-17,"[""Madarihat/ZP-17"", ""Madarihat/ZP-17"", ""Madarihat/ZP-17""]",17,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[527, 1088, 910, 1202]",,ST(W),42633,28721,2145,ASMAYA SUBBA-,AITC,,not_identified_for_zp_member_constituency,STW,ST,1,,3,26576,candidate_cells:review;reservation_raw:readers_disagree;winner_name:readers_disagree,needs_review
654d20c89e035ed51d11,West Bengal,2018,Alipurduar,Madarihat-Birpara,zp_member,3,Madarihat/ZP-18,"[""Madarihat/ZP-18"", ""Madarihat/ZP-18"", ""Madarihat/ZP-18""]",18,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/MDT/A1B1C1A2B2C2.PDF,24,bdee20d0b659b47ee0c5e0794ee4173ed4569f2b7e1ac1a32bed1ec439ecdf77,"[527, 1240, 910, 1374]",,ST,51701,42681,2409,ASHA NARJINARY,AITC,,not_identified_for_zp_member_constituency,ST,ST,0,,4,,candidate_cells:review;reservation_raw:readers_disagree,needs_review
e4d53794c412ec721f50,West Bengal,2018,Alipurduar,,zp_member,1,Kumargram/ZP-1,"[""Kumargram/ZP-1"", ""Kumargram/ZP-1"", ""Kumargram/ZP-1""]",1,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,1,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[366, 895, 762, 1159]",,SC,45601,37258,1912,SURABHI ROY,AITC,,not_identified_for_zp_member_constituency,SC,SC,0,,4,,candidate_cells:review,needs_review
bdb02cf2d3a6406186fe,West Bengal,2018,Alipurduar,,zp_member,,Kumargram/ZP-2,"[""Kumargram/ZP-2"", ""Kumargram/ZP-2"", ""Kumargram/ZP-2""]",2,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,1,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[366, 1244, 762, 1423]",,STW,43080,35127,2250,KALPANA NAG,BJP,,not_identified_for_zp_member_constituency,STW,ST,1,,3,18392,votes:accounting_mismatch;winner:not_uniquely_matched,needs_review
66bd2fb8bbc013b285f9,West Bengal,2018,Alipurduar,,zp_member,3,Kumargram/ZP-3,"[""Kumargram/ZP-3"", ""Kumargram/ZP-3"", ""Kumargram/ZP-3""]",3,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,1,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[366, 1423, 762, 1688]",,WwW,61099,52809,2810,SHEELA DAS SARKAR,AITC,,not_identified_for_zp_member_constituency,,,,,4,26474,candidate_cells:review;reservation:unresolved;reservation_raw:readers_disagree;votes:accounting_mismatch;winner:not_uniquely_matched;winner_name:readers_disagree,needs_review
3ba07ea5786ac02719bd,West Bengal,2018,Alipurduar,,zp_member,,Alipurduar - lI/ZP -4,"[""Alipurduar - il/ZP -4"", ""Alipurduar - 1I/ZP -4"", ""Alipurduar - lI/ZP -4""]",4,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,1,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[366, 1919, 762, 2153]",,,56653,46835,2440,DEBOJIT SARKAR,AITC,,not_identified_for_zp_member_constituency,,,,,3,28279,reservation:unresolved;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch;winner_name:readers_disagree,needs_review
53e41547b18ea8e7ee48,West Bengal,2018,Alipurduar,,zp_member,,Alipurduar - I/ZP -5,"[""Alipurduar - |I/ZP -S"", ""Alipurduar - |I/ZP -S"", ""Alipurduar - I/ZP -5""]",5,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,2,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[378, 565, 776, 830]",,WwW,,59730,53036,ARCHITA KUNGAR (MANDAL),AITC,,not_identified_for_zp_member_constituency,,,,,1,13059,candidate_cells:review;electors:unread_numeric;layout:missing_leading_columns;reservation:unresolved;reservation_raw:low_ocr_confidence;reservation_raw:readers_disagree;seat_id:low_ocr_confidence;seat_id:readers_disagree;votes:accounting_mismatch;winner:not_uniquely_matched,needs_review
e91fa806045e72e671e2,West Bengal,2018,Alipurduar,,zp_member,,Kalchini/ZP - 6,"[""Kalchini/ZP - 6"", ""Kalchini/ZP - 6"", ""Kalchini/ZP - 6""]",6,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,2,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[378, 830, 776, 1096]",,Ww,,60850,44875,PASSANG DEK! SHERPA,AITC,,not_identified_for_zp_member_constituency,W,UR,1,,1,20254,electors:unread_numeric;layout:missing_leading_columns;votes:accounting_mismatch;winner:not_uniquely_matched,needs_review
4bdecb502d4388647778,West Bengal,2018,Alipurduar,,zp_member,,Kalchini/ZP - 7,"[""Kalchini/ZP - 7"", ""Kalchini/ZP - 7"", ""Kalchini/ZP - 7""]",7,arabic_suffix,data/wb/gp_source_search/alipurduar_2018_results/extracted/FinalResultofPGE2018/ALL GP PS ZP IA TO IIC/District IC IIC/Anex_II_C.PDF,2,0a9bb716d21cd45071252fdb330930e9bb2faed70c3ef12a3e8927e91e4a7372,"[378, 1096, 776, 1424]",,ST,,72628,57311,GANESH MAHALI,AITC,,not_identified_for_zp_member_constituency,ST,ST,0,,1,526,candidate_cells:review;electors:unread_numeric;layout:missing_leading_columns;votes:accounting_mismatch;winner:not_uniquely_matched,needs_review
