row_id,state,district,year,tier,office,local_body_name,gram_panchayat,block,name_printed,caste_mark_printed,women_mark_printed,caste_reservation,woman_reserved,reservation,office_universe_printed,source_list_scope,source_path,source_sha256,source_page,source_bbox,source_coordinate_system,embedded_ocr_raw,review_status,review_method,quality_flags
922b3d6bdb871e00f380,West Bengal,Alipurduar,2018,gp_head,pradhan,TURTURIKHANDA,TURTURIKHANDA,,TURTURIKHANDA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 190.723, 540, 204.723]","PDF points, origin top-left","{""name"": ""TURTURIKHIANDA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
d4b966f716923fc07e6c,West Bengal,Alipurduar,2018,gp_head,pradhan,RYDAK,RYDAK,,RYDAK,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 205.239, 540, 219.239]","PDF points, origin top-left","{""name"": ""RYDAI("", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
9e3912d8206acbedcbe7,West Bengal,Alipurduar,2018,gp_head,pradhan,NEWLANDS KUMARGRAM SANKOSH,NEWLANDS KUMARGRAM SANKOSH,,NEWLANDS KUMARGRAM SANKOSH,SC,,SC,,SC,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 219.756, 540, 233.756]","PDF points, origin top-left","{""name"": ""N EWLANDS KU MARGRAM SANKOSH"", ""caste"": ""SC"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
671ad44bbeb18c5ad767,West Bengal,Alipurduar,2018,gp_head,pradhan,CHENGMARI,CHENGMARI,,CHENGMARI,SC,,SC,,SC,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 234.272, 540, 248.272]","PDF points, origin top-left","{""name"": ""CHENG]VIARI"", ""caste"": ""SC"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
bf9858f573bcb3e895cb,West Bengal,Alipurduar,2018,gp_head,pradhan,VOLKA BAROBISHA - I,VOLKA BAROBISHA - I,,VOLKA BAROBISHA - I,ST,WOMEN,ST,1,STW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 248.788, 540, 262.788]","PDF points, origin top-left","{""name"": ""VOLKA BAROBISHA - I"", ""caste"": ""ST"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
30aeda1bf4a3e280a758,West Bengal,Alipurduar,2018,gp_head,pradhan,VOLKA BAROBISHA - II,VOLKA BAROBISHA - II,,VOLKA BAROBISHA - II,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 263.305, 540, 277.305]","PDF points, origin top-left","{""name"": ""VOLKA BAROI]ISHA - II"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
4791c61d600efa8a50e0,West Bengal,Alipurduar,2018,gp_head,pradhan,KHOARDANGA - II,KHOARDANGA - II,,KHOARDANGA - II,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 277.821, 540, 291.821]","PDF points, origin top-left","{""name"": ""KHOARDAI\\GA - II"", ""caste"": ""SC"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
5b37c45ead4c8f3bc83a,West Bengal,Alipurduar,2018,gp_head,pradhan,KAMAKHYAGURI - I,KAMAKHYAGURI - I,,KAMAKHYAGURI - I,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 292.337, 540, 306.337]","PDF points, origin top-left","{""name"": ""KAMAKHYAGURI - I"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
2480d55106a65c34bc89,West Bengal,Alipurduar,2018,gp_head,pradhan,KAMAKHYAGURI - II,KAMAKHYAGURI - II,,KAMAKHYAGURI - II,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 306.854, 540, 320.854]","PDF points, origin top-left","{""name"": ""GMAKHYAGURI- II"", ""caste"": ""SC"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
06c8740db2ec0a78b9b6,West Bengal,Alipurduar,2018,gp_head,pradhan,TURTURI,TURTURI,,TURTURI,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 321.37, 540, 335.37]","PDF points, origin top-left","{""name"": ""TURTURI"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
3824a20825e763605dc9,West Bengal,Alipurduar,2018,gp_head,pradhan,KOHINOOR,KOHINOOR,,KOHINOOR,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 335.886, 540, 349.886]","PDF points, origin top-left","{""name"": ""KOHINOOR"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
bed3a7c6a2f094ab07d8,West Bengal,Alipurduar,2018,gp_head,pradhan,MAHAKALGURI,MAHAKALGURI,,MAHAKALGURI,SC,,SC,,SC,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 350.402, 540, 364.402]","PDF points, origin top-left","{""name"": ""MAHAKALGURI"", ""caste"": ""SC"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
b94adebc72f749a9fcef,West Bengal,Alipurduar,2018,gp_head,pradhan,BHATIBARI,BHATIBARI,,BHATIBARI,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 364.919, 540, 378.919]","PDF points, origin top-left","{""name"": ""BHATIB,\\Rl"", ""caste"": ""SC"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
c37369854577240aba8e,West Bengal,Alipurduar,2018,gp_head,pradhan,PAROKATA,PAROKATA,,PAROKATA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 379.435, 540, 393.435]","PDF points, origin top-left","{""name"": ""PAROKIiTA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
bea6f4bf55a20a6a3959,West Bengal,Alipurduar,2018,gp_head,pradhan,JAIGAON-II,JAIGAON-II,,JAIGAON-II,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 393.951, 540, 407.951]","PDF points, origin top-left","{""name"": ""JAIGAOI!-ll"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
0016e6c83f62b0c6354a,West Bengal,Alipurduar,2018,gp_head,pradhan,DALSING PARA,DALSING PARA,,DALSING PARA,ST,WOMEN,ST,1,STW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 408.468, 540, 422.468]","PDF points, origin top-left","{""name"": ""DALSING PARA"", ""caste"": ""ST"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
e221c62e74d0ac7f3150,West Bengal,Alipurduar,2018,gp_head,pradhan,CHUAPARA,CHUAPARA,,CHUAPARA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 422.984, 540, 436.984]","PDF points, origin top-left","{""name"": ""CHUAPITRA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
1f59e95fc696562bf50d,West Bengal,Alipurduar,2018,gp_head,pradhan,MALANGI,MALANGI,,MALANGI,SC,,SC,,SC,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 437.5, 540, 451.5]","PDF points, origin top-left","{""name"": ""MALANIGI"", ""caste"": ""SC"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
592e3abde87ea56b0fc1,West Bengal,Alipurduar,2018,gp_head,pradhan,KALCHINI,KALCHINI,,KALCHINI,ST,WOMEN,ST,1,STW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 452.017, 540, 466.017]","PDF points, origin top-left","{""name"": ""KALCHINI"", ""caste"": ""ST"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
924f00db1d739dd01456,West Bengal,Alipurduar,2018,gp_head,pradhan,GAROPARA,GAROPARA,,GAROPARA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 466.533, 540, 480.533]","PDF points, origin top-left","{""name"": ""GAROPI\\RA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
72e770fa6dcecd9b204f,West Bengal,Alipurduar,2018,gp_head,pradhan,MENDABARI,MENDABARI,,MENDABARI,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 481.049, 540, 495.049]","PDF points, origin top-left","{""name"": ""MENDABARI"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
ed6339b37c1566668a17,West Bengal,Alipurduar,2018,gp_head,pradhan,RAJABHATKHAOA,RAJABHATKHAOA,,RAJABHATKHAOA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 495.566, 540, 509.566]","PDF points, origin top-left","{""name"": ""RAJABHATIIHAOA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
083325fffb562a224fd8,West Bengal,Alipurduar,2018,gp_head,pradhan,MAJHERDABRI,MAJHERDABRI,,MAJHERDABRI,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 510.082, 540, 524.082]","PDF points, origin top-left","{""name"": ""MAJHERDIABRI"", ""caste"": ""sc"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
7087c9dafd0b5c47c63a,West Bengal,Alipurduar,2018,gp_head,pradhan,SHALKUMAR-I,SHALKUMAR-I,,SHALKUMAR-I,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 524.598, 540, 538.598]","PDF points, origin top-left","{""name"": ""SHALKUIlIAR-I"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
4558612acaa8e5e132e4,West Bengal,Alipurduar,2018,gp_head,pradhan,SHALKUMAR-II,SHALKUMAR-II,,SHALKUMAR-II,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 539.114, 540, 553.114]","PDF points, origin top-left","{""name"": ""SHALKUMIAR-II"", ""caste"": ""SC"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
42118ab67ac54433f918,West Bengal,Alipurduar,2018,gp_head,pradhan,PATLAKHAWA,PATLAKHAWA,,PATLAKHAWA,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 553.631, 540, 567.631]","PDF points, origin top-left","{""name"": ""PATLAKH,AWA"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
6d1e41aaaef45f1de491,West Bengal,Alipurduar,2018,gp_head,pradhan,CHAKOWAKHETI,CHAKOWAKHETI,,CHAKOWAKHETI,SC,WOMEN,SC,1,SCW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 568.147, 540, 582.147]","PDF points, origin top-left","{""name"": ""CHAKOWAKHETI"", ""caste"": ""SC"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
27504ffda2db898294e4,West Bengal,Alipurduar,2018,gp_head,pradhan,TAPSIKHATA,TAPSIKHATA,,TAPSIKHATA,,WOMEN,,1,W,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 582.663, 540, 596.663]","PDF points, origin top-left","{""name"": ""TAPSIKHATA"", ""caste"": """", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,caste_axis_unstated
313716455f0ee02dee95,West Bengal,Alipurduar,2018,gp_head,pradhan,PARORPAR,PARORPAR,,PARORPAR,ST,,ST,,ST,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 597.18, 540, 611.18]","PDF points, origin top-left","{""name"": ""PARORF'AR"", ""caste"": ""ST"", ""women"": """"}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,women_axis_unstated
85e5a0f93daed325fca9,West Bengal,Alipurduar,2018,gp_head,pradhan,VIVEKANANDA-II,VIVEKANANDA-II,,VIVEKANANDA-II,ST,WOMEN,ST,1,STW,66,union_of_positive_reserved_offices,data/wb/gp_source_search/historical_expansion/alipurduar_OfficeBearer_a3ef850d.pdf,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,5,"[255, 611.696, 540, 625.696]","PDF points, origin top-left","{""name"": ""VIVEKANAI\\DA-II"", ""caste"": ""ST"", ""women"": ""WOMEN""}",visually_transcribed,All five named schedules visually transcribed from source page renders at130dpi; original spellings retained. Embedded OCR is separately preserved.,
