row_id,record_kind,stage,state,district,year,block_printed,gram_panchayat,seat_no,constituency_area_raw,allocated_raw,raw_cells,caste_raw,women_raw,caste_reservation,woman_reserved,source_path,source_sha256,source_page,source_table,source_row,source_table_bbox,quality_flags,review_status
0b38c53253ce7f15413c,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,1,"Chanduria -I/I Mouza - Balagarichar, J.L No. -2 (a) Mukundanagar Para Partly(Paschim) Mouza - Uttar Ghugia, J.L No. -3 (b) Uttar Ghugia Mouza - Balagarichar, J.L No. -2 (c) Mukundanagar Para Partly(Purba) Part No. -82/1",1,"[""Chanduria -I/I\nMouza - Balagarichar, J.L No. -2\n(a) Mukundanagar Para Partly(Paschim)\nMouza - Uttar Ghugia, J.L No. -3\n(b) Uttar Ghugia\nMouza - Balagarichar, J.L No. -2\n(c) Mukundanagar Para Partly(Purba)\nPart No. -82/1"", ""1"", ""--"", ""1 W""]",--,1 W,UR,1,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,3,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
21f12c68873465eaef64,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,2,"Chanduria -I/II Mouza - Uttar Ghugia, J.L No. -3 (a)Jhauchar Para (Paschim) (b) Gangaprasadpur Uttar Part No. -82/2",2,"[""Chanduria -I/II\nMouza - Uttar Ghugia, J.L No. -3\n(a)Jhauchar Para (Paschim)\n(b) Gangaprasadpur Uttar\nPart No. -82/2"", ""2"", ""--"", ""--""]",--,--,UR,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,4,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
4f518cde963bda945b8a,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,3,"Chanduria -I/III Mouza - Balagarichar, J.L No. -2 (a) Gangaprasadpur Dakshin (b) Duardanga Para Part No. -82/3",3,"[""Chanduria -I/III\nMouza - Balagarichar, J.L No. -2\n(a) Gangaprasadpur Dakshin\n(b) Duardanga Para\nPart No. -82/3"", ""3"", ""--"", ""--""]",--,--,UR,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,5,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
f812999aa115515de931,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,4,"Chanduria -I/IV Mouza - Gournagar, J.L No. -1 (a) Gournagar(Poradanga) Part No. -82/4",4,"[""Chanduria -I/IV\nMouza - Gournagar, J.L No. -1\n(a) Gournagar(Poradanga)\nPart No. -82/4"", ""4"", ""--"", ""4 W""]",--,4 W,UR,1,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,6,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
a17c125a7182dbf8d6bd,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,5,"Chanduria -I/V Mouza - Malichagar, J.L No. -37 (a) Malichagar Mouza - Manasapota, J.L No. -36 (b) Manasapota Partly Part No. -82/5","5,6","[""Chanduria -I/V\nMouza - Malichagar, J.L No. -37\n(a) Malichagar\nMouza - Manasapota, J.L No. -36\n(b) Manasapota Partly\nPart No. -82/5"", ""5,6"", ""--"", ""--""]",--,--,UR,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,7,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
436221896ce2931a4b86,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,6,"Chanduria -I/V Mouza - Malichagar, J.L No. -37 (a) Malichagar Mouza - Manasapota, J.L No. -36 (b) Manasapota Partly Part No. -82/5","5,6","[""Chanduria -I/V\nMouza - Malichagar, J.L No. -37\n(a) Malichagar\nMouza - Manasapota, J.L No. -36\n(b) Manasapota Partly\nPart No. -82/5"", ""5,6"", ""--"", ""--""]",--,--,UR,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,7,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
38a01b8133571e9a219d,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,7,"Chanduria -I/VI Mouza - Nauda Durgapur, J.L No. -28 (a) Nauda Durgapur Part No. -82/6",7,"[""Chanduria -I/VI\nMouza - Nauda Durgapur, J.L No. -28\n(a) Nauda Durgapur\nPart No. -82/6"", ""7"", ""--"", ""7 W""]",--,7 W,UR,1,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,1,2,8,"[54.51612, 167.38560000000007, 552.7149654, 642.7860000000001]",,source_controls_passed
83ad74aadacc3b846b08,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,8,"Chanduria -I/VII Mouza - Manasapota, J.L No. -36 (a) Manasapota Partly Part No. -82/7",8,"[""Chanduria -I/VII\nMouza - Manasapota, J.L No. -36\n(a) Manasapota Partly\nPart No. -82/7"", ""8"", ""8 SC"", ""8 SCW""]",8 SC,8 SCW,SC,1,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,2,1,2,"[54.51612, 72.47399999999999, 552.7149654, 665.2248]",,source_controls_passed
e29908ebfa43ad1af5e6,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,9,"Chanduria -I/VIII Mouza - Chanduria, J.L No. -38 (a) Chanduria Purbapara-Uttar Part (Purba part) Mohan Colony and Nirmalpally (b) Chanduria Purbapara-Uttar Part (Purba part) Paschim Part of Nirmalpally, Paschim Part of Sukhsagar Road Part No. -82/8","9,10","[""Chanduria -I/VIII\nMouza - Chanduria, J.L No. -38\n(a) Chanduria Purbapara-Uttar Part (Purba part)\nMohan Colony and Nirmalpally\n(b) Chanduria Purbapara-Uttar Part (Purba part)\nPaschim Part of Nirmalpally, Paschim Part of\nSukhsagar Road\nPart No. -82/8"", ""9,10"", ""9 SC"", ""--""]",9 SC,--,SC,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,2,1,3,"[54.51612, 72.47399999999999, 552.7149654, 665.2248]",,source_controls_passed
a199e5d8315f7a19769e,gp_ward_reservation,verify_per_document,West Bengal,Nadia,2008,Chakdaha,Chanduria-I,10,"Chanduria -I/VIII Mouza - Chanduria, J.L No. -38 (a) Chanduria Purbapara-Uttar Part (Purba part) Mohan Colony and Nirmalpally (b) Chanduria Purbapara-Uttar Part (Purba part) Paschim Part of Nirmalpally, Paschim Part of Sukhsagar Road Part No. -82/8","9,10","[""Chanduria -I/VIII\nMouza - Chanduria, J.L No. -38\n(a) Chanduria Purbapara-Uttar Part (Purba part)\nMohan Colony and Nirmalpally\n(b) Chanduria Purbapara-Uttar Part (Purba part)\nPaschim Part of Nirmalpally, Paschim Part of\nSukhsagar Road\nPart No. -82/8"", ""9,10"", ""9 SC"", ""--""]",9 SC,--,UR,0,data/wb/gp_source_search/historical_expansion/nadia_Chanduria-I_6c2262a2.pdf,0fbaa23f7a456cc3bcf3f008e94523007a718c81fb4d2116d8aa6f6fb9902ec3,2,1,3,"[54.51612, 72.47399999999999, 552.7149654, 665.2248]",,source_controls_passed
