source_path,source_sha256,source_page,source_table,source_row,source_table_bbox,raw_cells,state,district,year,block_printed,record_kind,tier,counts_json,quality_flags,review_status,selection_basis_printed
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,4,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[""LOSNASA"", ""Barabani"", ""37777"", ""31977"", ""69754"", ""3064"", ""65421"", ""4333"", ""6.21"", null, null, ""63947"", ""5807""]",West Bengal,Bardhaman,2008,Barabani,block_elector_totals,,"{""male"": 37777, ""female"": 31977, ""total"": 69754, ""net_inclusion"": 3064, ""epic"": 65421, ""non_epic"": 4333, ""percent_without_epic"": 6.21, ""image"": 63947, ""non_image"": 5807}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,5,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Jamuria"", ""38730"", ""32629"", ""71359"", ""2529"", ""66630"", ""4729"", ""6.63"", null, null, ""63060"", ""8299""]",West Bengal,Bardhaman,2008,Jamuria,block_elector_totals,,"{""male"": 38730, ""female"": 32629, ""total"": 71359, ""net_inclusion"": 2529, ""epic"": 66630, ""non_epic"": 4729, ""percent_without_epic"": 6.63, ""image"": 63060, ""non_image"": 8299}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,6,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Raniganj"", ""31244"", ""24601"", ""55845"", ""2557"", ""52484"", ""3361"", ""6.02"", null, null, ""50259"", ""5586""]",West Bengal,Bardhaman,2008,Raniganj,block_elector_totals,,"{""male"": 31244, ""female"": 24601, ""total"": 55845, ""net_inclusion"": 2557, ""epic"": 52484, ""non_epic"": 3361, ""percent_without_epic"": 6.02, ""image"": 50259, ""non_image"": 5586}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,7,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Salanpur"", ""38227"", ""33602"", ""71829"", ""3670"", ""66217"", ""5612"", ""7.81"", null, null, ""64350"", ""7479""]",West Bengal,Bardhaman,2008,Salanpur,block_elector_totals,,"{""male"": 38227, ""female"": 33602, ""total"": 71829, ""net_inclusion"": 3670, ""epic"": 66217, ""non_epic"": 5612, ""percent_without_epic"": 7.81, ""image"": 64350, ""non_image"": 7479}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,8,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","["")N(\nNAWDRUB"", ""Ausgram-I"", ""35846"", ""34946"", ""70792"", ""1244"", ""68635"", ""2157"", ""3.05"", null, null, ""66511"", ""4281""]",West Bengal,Bardhaman,2008,Ausgram-I,block_elector_totals,,"{""male"": 35846, ""female"": 34946, ""total"": 70792, ""net_inclusion"": 1244, ""epic"": 68635, ""non_epic"": 2157, ""percent_without_epic"": 3.05, ""image"": 66511, ""non_image"": 4281}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,9,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Ausgram-II"", ""44366"", ""41209"", ""85575"", ""2207"", ""82065"", ""3510"", ""4.10"", null, null, ""79999"", ""5576""]",West Bengal,Bardhaman,2008,Ausgram-II,block_elector_totals,,"{""male"": 44366, ""female"": 41209, ""total"": 85575, ""net_inclusion"": 2207, ""epic"": 82065, ""non_epic"": 3510, ""percent_without_epic"": 4.1, ""image"": 79999, ""non_image"": 5576}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,10,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Bhatar"", ""80463"", ""77336"", ""157799"", ""3056"", ""151793"", ""6006"", ""3.81"", null, null, ""147529"", ""10270""]",West Bengal,Bardhaman,2008,Bhatar,block_elector_totals,,"{""male"": 80463, ""female"": 77336, ""total"": 157799, ""net_inclusion"": 3056, ""epic"": 151793, ""non_epic"": 6006, ""percent_without_epic"": 3.81, ""image"": 147529, ""non_image"": 10270}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,11,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Burdwan-I"", ""63509"", ""60958"", ""124467"", ""3385"", ""119909"", ""4558"", ""3.66"", null, null, ""116617"", ""7850""]",West Bengal,Bardhaman,2008,Burdwan-I,block_elector_totals,,"{""male"": 63509, ""female"": 60958, ""total"": 124467, ""net_inclusion"": 3385, ""epic"": 119909, ""non_epic"": 4558, ""percent_without_epic"": 3.66, ""image"": 116617, ""non_image"": 7850}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,12,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Burdwan-II"", ""45135"", ""42963"", ""88098"", ""2173"", ""85510"", ""2588"", ""2.94"", null, null, ""83461"", ""4637""]",West Bengal,Bardhaman,2008,Burdwan-II,block_elector_totals,,"{""male"": 45135, ""female"": 42963, ""total"": 88098, ""net_inclusion"": 2173, ""epic"": 85510, ""non_epic"": 2588, ""percent_without_epic"": 2.94, ""image"": 83461, ""non_image"": 4637}",,native_fields_parsed,
data/wb/gp_source_search/bardhaman/paninfo_book08_20110722093353.pdf,f4d24d35ceb90bdc93bc06ef9db800c0413f0b5a001fb1087598fc244798907b,11,1,13,"[88.88059701492537, 127.76470588235294, 583.8694029850747, 575.625]","[null, ""Galsi-II"", ""45531"", ""43318"", ""88849"", ""1917"", ""86457"", ""2392"", ""2.69"", null, null, ""85896"", ""2953""]",West Bengal,Bardhaman,2008,Galsi-II,block_elector_totals,,"{""male"": 45531, ""female"": 43318, ""total"": 88849, ""net_inclusion"": 1917, ""epic"": 86457, ""non_epic"": 2392, ""percent_without_epic"": 2.69, ""image"": 85896, ""non_image"": 2953}",,native_fields_parsed,
