level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1699	2400	-1	
2	1	1	0	0	0	768	67	191	95	-1	
3	1	1	1	0	0	768	67	191	95	-1	
4	1	1	1	1	0	797	67	132	24	-1	
5	1	1	1	1	1	797	67	91	23	96.487961	FORM
5	1	1	1	1	2	896	70	33	21	75.861984	Al
4	1	1	1	2	0	768	102	191	31	-1	
5	1	1	1	2	1	768	102	51	26	96.922302	[See
5	1	1	1	2	2	828	105	50	20	93.306068	rule
5	1	1	1	2	3	887	106	72	27	85.058517	23(4)]
4	1	1	1	3	0	824	139	79	23	-1	
5	1	1	1	3	1	824	139	79	23	96.853371	Order
2	1	2	0	0	0	82	138	330	50	-1	
3	1	2	1	0	0	82	138	330	50	-1	
4	1	2	1	1	0	82	138	330	50	-1	
5	1	2	1	1	1	82	138	233	48	38.266586	No.49/Panch,
5	1	2	1	1	2	330	147	82	41	77.868942	Elec.
2	1	3	0	0	0	191	215	1447	50	-1	
3	1	3	1	0	0	191	215	1447	50	-1	
4	1	3	1	1	0	191	215	1447	50	-1	
5	1	3	1	1	1	191	215	19	15	96.959610	In
5	1	3	1	1	2	217	217	74	15	96.960289	exercise
5	1	3	1	1	3	298	218	19	15	96.051628	of
5	1	3	1	1	4	322	219	29	15	96.954185	the
5	1	3	1	1	5	357	224	60	15	93.057899	power
5	1	3	1	1	6	423	222	92	16	96.792183	conferred
5	1	3	1	1	7	522	223	22	20	96.958771	by
5	1	3	1	1	8	551	225	73	16	96.958771	sections
5	1	3	1	1	9	632	226	20	15	96.994781	12
5	1	3	1	1	10	660	227	34	15	96.749138	and
5	1	3	1	1	11	702	228	21	15	96.749138	17
5	1	3	1	1	12	729	228	20	16	96.984863	of
5	1	3	1	1	13	754	229	29	16	97.003113	the
5	1	3	1	1	14	790	230	48	16	96.586250	West
5	1	3	1	1	15	845	231	64	21	96.762215	Bengal
5	1	3	1	1	16	917	233	99	21	96.900558	Panchayat
5	1	3	1	1	17	1022	235	87	17	94.782036	Elections
5	1	3	1	1	18	1116	238	37	19	96.518143	Act,
5	1	3	1	1	19	1160	239	49	19	96.518143	2003,
5	1	3	1	1	20	1216	240	55	19	96.490311	(West
5	1	3	1	1	21	1279	242	40	16	96.695885	Ben.
5	1	3	1	1	22	1326	243	33	15	93.243324	Act
5	1	3	1	1	23	1366	243	39	16	91.398827	XXI
5	1	3	1	1	24	1412	245	20	15	96.897530	of
5	1	3	1	1	25	1437	245	51	19	96.858040	2003)
5	1	3	1	1	26	1495	247	42	15	96.934509	read
5	1	3	1	1	27	1544	248	41	15	97.001762	with
5	1	3	1	1	28	1593	249	45	16	96.939842	rules
2	1	4	0	0	0	1275	161	355	60	-1	
3	1	4	1	0	0	1275	161	355	60	-1	
4	1	4	1	1	0	1275	161	355	60	-1	
5	1	4	1	1	1	1275	185	77	36	90.280571	Dated.
5	1	4	1	1	2	1359	161	271	55	88.834785	25/11/2022
2	1	5	0	0	0	78	259	1559	106	-1	
3	1	5	1	0	0	78	259	1559	102	-1	
4	1	5	1	1	0	79	259	1558	53	-1	
5	1	5	1	1	1	79	259	21	15	96.174934	22
5	1	5	1	1	2	108	261	35	14	96.174934	and
5	1	5	1	1	3	151	261	21	15	96.844467	23
5	1	5	1	1	4	180	262	20	14	96.844185	of
5	1	5	1	1	5	206	262	29	15	96.952141	the
5	1	5	1	1	6	243	263	47	15	96.952141	West
5	1	5	1	1	7	298	264	64	20	96.965096	Bengal
5	1	5	1	1	8	370	265	100	22	96.964882	Panchayat
5	1	5	1	1	9	477	268	86	17	96.585861	Elections
5	1	5	1	1	10	571	271	52	16	96.738686	Rules
