row_id,state,district,year,stage,record_kind,local_body_printed,constituency_area_raw,seat_no,seat_no_raw,caste_raw,women_raw,caste_reservation,woman_reserved,source_path,source_sha256,source_page,source_table,source_row,source_table_bbox,raw_cells,quality_flags,review_status,bbox_coordinate_system,render_rotation_clockwise_degrees
adb5c89d22266a217092,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kumargram,"Kumargram/ ZP-1 Turturikhanda, Rydak, Khoardanga-I and Khoardanga-II Grams",1,1,ST,W,ST,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,1,1,3,"[45.89999924999999, 661.439978, 549.359993625, 802.139982125]","[[""Kumargram"", ""3"", ""Kumargram/ ZP-1\nTurturikhanda, Rydak,\nKhoardanga-I and\nKhoardanga-II Grams"", ""ST"", ""W""]]",,native_fields_parsed,,
b65de177bfce6f648040,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kumargram,"Kumargram/ ZP-2 Newlands Kumargram Sankosh, Kumargram and Chengmari Grams",2,2,,W,UR,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,3,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[["""", """", ""Kumargram/ ZP-2\nNewlands Kumargram\nSankosh, Kumargram and\nChengmari Grams"", """", ""W""]]",,native_fields_parsed,,
4310eec0de9dc9c24b0e,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kumargram,"Kumargram/ ZP-3 Volka-Barobisha-I, Volka-Barobisha-II, Kamakhyaguri-I and Kamakhyaguri-II Grams",3,3,,W,UR,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,4,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[null, null, ""Kumargram/ ZP-3\nVolka-Barobisha-I, Volka-Barobisha-II,\nKamakhyaguri-I and\nKamakhyaguri-II Grams"", """", ""W""]]",,native_fields_parsed,,
b3937540b9179fb80c39,West Bengal,Alipurduar,2023,final,district_ward_reservation,Alipurduar-II,"Alipurduar-II/ ZP-4 Turturi, Shamuktala, Kohinoor and Mahakalguri Grams",4,4,ST,,ST,0,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,5,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[""Alipurduar - II"", ""3"", ""Alipurduar-II/ ZP-4\nTurturi, Shamuktala,\nKohinoor and Mahakalguri Grams"", ""ST"", """"]]",,native_fields_parsed,,
49a48b7e11e66e021e29,West Bengal,Alipurduar,2023,final,district_ward_reservation,Alipurduar-II,"Alipurduar-II/ ZP-5 Tatpara-I, Bhatibari, Parokata and Tatpara-II Grams",5,5,,W,UR,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,6,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[null, null, ""Alipurduar-II/ ZP-5\nTatpara-I, Bhatibari,\nParokata and Tatpara-II Grams"", """", ""W""]]",,native_fields_parsed,,
e0474b3010b99030f119,West Bengal,Alipurduar,2023,final,district_ward_reservation,Alipurduar-II,"Alipurduar-II/ ZP-9 Majherdabri,Chaparerpar-I and Chaparerpar-II Grams",9,9,SC,,SC,0,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,7,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[null, null, ""Alipurduar-II/ ZP-9\nMajherdabri,Chaparerpar-I\nand Chaparerpar-II Grams"", ""SC"", """"]]",,native_fields_parsed,,
f1bff5a6cd5f395841f2,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kalchini,"Kalchini/ ZP-6 Jaigaon-II, Jaigaon-I and Dalsingpara Grams",6,6,,,UR,0,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,8,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[""Kalchini"", ""3"", ""Kalchini/ ZP-6\nJaigaon-II, Jaigaon-I and\nDalsingpara Grams"", """", """"]]",,native_fields_parsed,,
1a1153ecabe4e764657a,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kalchini,"Kalchini/ ZP-7 Chuapara, Kalchini, Garopara and Rajabhatkhawa Grams",7,7,,W,UR,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,9,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[null, null, ""Kalchini/ ZP-7\nChuapara, Kalchini,\nGaropara and Rajabhatkhawa Grams"", """", ""W""]]",,native_fields_parsed,,
8b0de83c7b25ceb46466,West Bengal,Alipurduar,2023,final,district_ward_reservation,Kalchini,"Kalchini/ ZP-8 Malangi, Satali, Mendabari and Latabari Grams",8,8,ST,W,ST,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,10,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[null, null, ""Kalchini/ ZP-8\nMalangi, Satali, Mendabari\nand Latabari Grams"", ""ST"", ""W""]]",,native_fields_parsed,,
b74f39d79e9303df3d92,West Bengal,Alipurduar,2023,final,district_ward_reservation,Alipurduar-I,"Alipurduar-I/ ZP-10 Salkumar-I, Salkumar-II, Patlakhawa and Purba Kathalbari Grams",10,10,SC,W,SC,1,data/wb/2023/alipurduar/publication_of_final_order_showing_the_delimitation_of_constituencies_and_reservation_of_seats_for_the_zilla_p_2023030137.pdf,7575b42aaab72a3b77784e6df30ef45d81d68db188a196449fce3a4f0892258f,2,1,11,"[45.83999924999999, 71.03999750000003, 549.3000037500001, 802.139994125]","[[""Alipurduar-I"", ""3"", ""Alipurduar-I/ ZP-10\nSalkumar-I, Salkumar-II, Patlakhawa\nand Purba Kathalbari Grams"", ""SC"", ""W""]]",,native_fields_parsed,,
