mnrega_file_year,district,block,gram_panchayat,source
2013,JALPAIGURI,ALIPURDUAR-I,BANCHUKAMARI,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,CHAKOWAKHETI,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,MATHURA,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,PARORPAR,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,PATLAKHAWA,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,PURBA KANTHALBARI,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,SALKUMAR-I,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,SALKUMAR-II,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,TAPSIKHATA,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,VIVEKANADA-I,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-I,VIVEKANADA-II,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-II,BHATIBARI,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
2013,JALPAIGURI,ALIPURDUAR-II,CHAPORER PAR-I,"doi:10.7910/DVN/ZHF9WC datafile 10396541 (r3-all-2013.csv.gz, md5 e6950bd317dabe3b41bf7738c248e7ee)"
