district,addressee,address,pin,source_url,address_note,held_2008,held_2013,held_2018,sent_date,post_receipt,due_date,reply_date,reply_summary,first_appeal_date
Alipurduar,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","'Dooarskanya' Integrated Administrative Building, Alipurduar, West Bengal",736122,https://alipurduar.gov.in/contact-us/,site lists NIC room in the same building,n/a (district created 2014),n/a,yes (reserved-only list),,,,,,
Bankura,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","New Administrative Building, District Court Compound, Bankura, West Bengal",722101,https://bankura.gov.in/contact-us/,,no,no (only SEC/P&RD circulars found),no,,,,,,
Birbhum,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer, C/o District Panchayat & Rural Development Office","1st Floor, DM Office, PO+PS Suri, Birbhum, West Bengal",731101,https://birbhum.gov.in/district-panchayat-rural-development-office/,,no,no,no,,,,,,
Cooch Behar,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","District Magistrate Office, Cooch Behar, West Bengal",736101,https://coochbehar.gov.in/contact-us/,no street address on site,no,no,no,,,,,,
Dakshin Dinajpur,"The State Public Information Officer, Office of the District Magistrate & Collector (Re: Panchayat Election Cell / DP&RDO)","Office of the District Magistrate & Collector, Balurghat, Dakshin Dinajpur, West Bengal",733101,https://ddinajpur.nic.in/rti/,site names the SPIO; address by designation,no,no,no,,,,,,
Darjeeling,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / P&RD)","Kutchery Building, Lebong Cart Road, Darjeeling, West Bengal",734101,https://darjeeling.gov.in/contact-us/,plains GPs may sit with Siliguri Mahakuma Parishad (unchecked),no,no,no,,,,,,
Hooghly,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","New Administrative Building (2nd Floor), P.O. Chinsurah, Hooghly, West Bengal",712101,http://web.archive.org/web/20240610125119/https://hooghly.gov.in/contact-us/,live site 503; Jun 2024 archive copy,no,no,no,,,,,,
Howrah,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","New Collectorate Building, 7 Rishi Bankim Chandra Road, Howrah, West Bengal",711101,https://howrah.gov.in/contact-us/,,no,no,no,,,,,,
Jalpaiguri,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: DPRDO Section)","Collectorate Building, P.O. & Dist. Jalpaiguri, West Bengal",735101,https://jalpaiguri.gov.in/dprdo-section/,DPRDO page confirms it handles panchayat election reservation,no,no,no,,,,,,
Jhargram,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","O/o the District Magistrate and Collector, Jhargram, West Bengal",721507,https://jhargram.gov.in/contact-us/,no street address; 2008/2013 held by Paschim Medinipur (district created 2017),n/a,n/a,no,,,,,,
Kalimpong,"The State Public Information Officer, Office of the District Magistrate (Re: Panchayat Election Cell / P&RD)","Near Kalimpong Municipality, PO+PS Kalimpong, West Bengal",734301,https://kalimpong.gov.in/rti-2/,site: plain paper + Rs 10 court-fee stamp; district created 2017,n/a,n/a,no,,,,,,
Malda,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DPRDO)","New Collectorate Building, 1st Floor, Room 101, P.O. Englishbazar, Malda, West Bengal",732101,https://malda.gov.in/contact-us/,2013 list reachable in archive (reserved-only),no,partial (not yet harvested),no,,,,,,
Murshidabad,"The State Public Information Officer (Dy. Magistrate & Dy. Collector), Office of the District Magistrate & Collector (Re: Panchayat Election Cell / DP&RDO)","New Administrative Building, Berhampore, Murshidabad, West Bengal",742101,https://murshidabad.gov.in/rti/,town inferred from PIN,no,no,no,,,,,,
Nadia,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","Collectorate Building, Krishnanagar, Nadia, West Bengal",741101,https://nadia.gov.in/contact-us/,,no,yes (complete handbook),no,,,,,,
North 24 Parganas,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","New Administrative Building, Barasat, North 24 Parganas, West Bengal",700124,https://north24parganas.gov.in/contact-us/,,no,no,no,,,,,,
Paschim Bardhaman,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","Kalyanpur, Asansol, P.O. Ramkrishna Mission, P.S. Asansol North, Paschim Bardhaman, West Bengal",713305,https://paschimbardhaman.gov.in/contact-us/,2008/2013 held by Bardhaman (split 2017),n/a,n/a,no,,,,,,
Paschim Medinipur,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","O/o the District Magistrate and Collector, Midnapore, Paschim Medinipur, West Bengal",721101,https://paschimmedinipur.gov.in/contact-us/,no street address; town inferred from PIN; also ask for Jhargram blocks 2008/2013,no,no,no,,,,,,
Purba Bardhaman,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","Kachhari Road, Kalibazar, Burdwan, Purba Bardhaman, West Bengal",713101,https://purbabardhaman.nic.in/contact-us/,ask for undivided Bardhaman 2008/2013,no,no,no,,,,,,
Purba Medinipur,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","New Administrative Building (2nd Floor), Nimtouri, Ganapatinagar, Uttar Sonamui, Tamluk, Purba Medinipur, West Bengal",721648,https://purbamedinipur.gov.in/contact-us/,,no,no,no,,,,,,
Purulia,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: DP&RDO)","Office of the District Magistrate, Purulia, West Bengal",723101,https://purulia.gov.in/panchayat-and-rd/,no street address,no,no,partial (reserved-only; not all blocks),,,,,,
South 24 Parganas,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","Office of the District Magistrate and District Collector, Alipore, Kolkata",700027,https://s24pgs.gov.in/contact-us/,,no,no,yes (reserved-only; completed via MNREGA GP list),,,,,,
Uttar Dinajpur,"The State Public Information Officer, Office of the District Magistrate & District Panchayat Election Officer (Re: Panchayat Election Cell / DP&RDO)","Karnajora, Raiganj, Uttar Dinajpur, West Bengal",733130,https://uttardinajpur.gov.in/contact-us/,,no,no,no,,,,,,
State Election Commission (fallback),"The State Public Information Officer (Special Officer), West Bengal State Election Commission","18 Sarojini Naidu Sarani (Rawdon Street), Kolkata",700017,http://web.archive.org/web/20241208145619/https://www.wbsec.gov.in/home/page/RTI,Dec 2024 archive copy; SEC does not issue Form 1B but can direct DMs,,,,,,,,,
