label,started_utc,finished_utc,requested_url,response_url,status,bytes,sha256,body_path
api_guide,2026-09-08T05:24:30.863900+00:00,2026-09-08T05:24:31.575805+00:00,https://guides.dataverse.org/en/latest/api/dataaccess.html,https://guides.dataverse.org/en/latest/api/dataaccess.html,200,87756,94fe99686331273475d3215e5cf477c970fd4df64e837e75266f4cd9655a8b9b,data/wb/vintage_search/dataverse_documentation_followup/responses/api_guide_00.body
readme_download,2026-09-08T05:24:30.864494+00:00,2026-09-08T05:24:31.400716+00:00,https://dataverse.harvard.edu/api/access/datafile/13986331,https://dataverse.harvard.edu/api/access/datafile/13986331,400,122,e382e243e36812f920e017d39206c081b04463b9a11f356bdd2131a9c53f45af,data/wb/vintage_search/dataverse_documentation_followup/responses/readme_download_00.body
codebook_download,2026-09-08T05:24:30.864631+00:00,2026-09-08T05:24:31.399125+00:00,https://dataverse.harvard.edu/api/access/datafile/13986362,https://dataverse.harvard.edu/api/access/datafile/13986362,400,122,e382e243e36812f920e017d39206c081b04463b9a11f356bdd2131a9c53f45af,data/wb/vintage_search/dataverse_documentation_followup/responses/codebook_download_00.body
clean_election_download,2026-09-08T05:24:30.864733+00:00,2026-09-08T05:24:31.397946+00:00,https://dataverse.harvard.edu/api/access/datafile/13986343,https://dataverse.harvard.edu/api/access/datafile/13986343,400,122,e382e243e36812f920e017d39206c081b04463b9a11f356bdd2131a9c53f45af,data/wb/vintage_search/dataverse_documentation_followup/responses/clean_election_download_00.body
clean_pradhan_download,2026-09-08T05:24:31.398996+00:00,2026-09-08T05:24:32.755391+00:00,https://dataverse.harvard.edu/api/access/datafile/13986336,https://dataverse.harvard.edu/api/access/datafile/13986336,400,122,e382e243e36812f920e017d39206c081b04463b9a11f356bdd2131a9c53f45af,data/wb/vintage_search/dataverse_documentation_followup/responses/clean_pradhan_download_00.body
dataset_metadata,2026-09-08T05:24:31.399959+00:00,2026-09-08T05:24:32.725311+00:00,https://dataverse.harvard.edu/api/datasets/65898,https://dataverse.harvard.edu/api/datasets/65898,403,199,5b13fb5957b84ef7bb9d0b6cd509c947ff6a37d67efdac2b896ddd3b908aad10,data/wb/vintage_search/dataverse_documentation_followup/responses/dataset_metadata_00.body
beaman_author,2026-09-08T05:24:31.401473+00:00,2026-09-08T05:24:33.490722+00:00,https://faculty.wcas.northwestern.edu/lori-beaman/,https://faculty.wcas.northwestern.edu/lori-beaman/,404,377,0ee91fce3c8c2239106de55041bdfaf08af87e3d2a4f0026df8ea641c45a4aa3,data/wb/vintage_search/dataverse_documentation_followup/responses/beaman_author_00.body
nber_paper,2026-09-08T05:24:31.576238+00:00,2026-09-08T05:24:35.310209+00:00,https://www.nber.org/papers/w14198,https://www.nber.org/papers/w14198,200,91548,911c3a897674d8be5c0693de27266fe00a3b0c4a961e72f1eda183ca5b2c4052,data/wb/vintage_search/dataverse_documentation_followup/responses/nber_paper_00.body
beaman_author_actual,2026-09-08T05:25:03.808622+00:00,2026-09-08T05:25:04.151130+00:00,https://faculty.wcas.northwestern.edu/lab823/,https://faculty.wcas.northwestern.edu/lab823/,200,7549,2e79e6704a28263d6626216371a089c5b4f0c9e5153df96e81fd6517c9715f36,data/wb/vintage_search/dataverse_documentation_followup/responses/beaman_author_actual_00.body
guestbook_metadata,2026-09-08T05:25:03.809358+00:00,2026-09-08T05:25:04.240843+00:00,https://dataverse.harvard.edu/api/guestbooks/269,https://dataverse.harvard.edu/api/guestbooks/269,200,15214,a8b05cd7771371cd40cbcb09637a7f0f66894b3b8677e981d1cd9eb32e7b4c0d,data/wb/vintage_search/dataverse_documentation_followup/responses/guestbook_metadata_00.body
