district,year,stage,tier,source_tiers,source_sha256,unit,parsed_rows,rows_with_category,rows_visually_reviewed,rows_with_visually_reviewed_resolved_name,distinct_name_readings,distinct_source_gp_keys,output,note
Alipurduar,2018,final,gp_deputy,gp_deputy_head,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,source_gp_office_row,16,16,16,16,16,0,data/wb/derived/alipurduar_offices/office_reservations.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Alipurduar,2018,final,gp_head,gp_head,0e5a4e266527973820c56229f712cc7f093670ef61179177f61face3369fa734,source_gp_office_row,50,50,50,50,50,0,data/wb/derived/alipurduar_offices/office_reservations.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Alipurduar,2023,draft,gp_deputy,gp_deputy,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,source_cell,32,22,11,6,15,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Alipurduar,2023,draft,gp_head,gp_head,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,source_cell,96,64,12,6,50,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Alipurduar,2023,final,gp_deputy,gp_deputy,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,source_cell,32,22,11,6,15,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Alipurduar,2023,final,gp_head,gp_head,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,source_cell,96,64,12,6,48,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Birbhum,2023,final,gp_deputy,gp_deputy,1c238d8a73dbbc4083f4bcea8dbc3ccca1e4ded7100f7e9d88cbaf0d5eee8fef,source_cell,84,61,11,6,44,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Birbhum,2023,final,gp_head,gp_head,3d2bcfd846d98b2e0b02fa2d644686bcecbe023e9014577d3349a9c877497250,source_cell,244,161,12,6,123,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Cooch Behar,2023,final,gp_deputy,gp_deputy,322ba5a0cfee1abe610e3d00a16966e20ae1b72e6b113746705c81d34a2baea1,source_cell,64,48,8,4,33,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Cooch Behar,2023,final,gp_head,gp_head,322ba5a0cfee1abe610e3d00a16966e20ae1b72e6b113746705c81d34a2baea1,source_cell,192,128,13,7,105,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Jalpaiguri,2023,final,gp_deputy,gp_deputy,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,source_cell,40,28,40,28,20,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Jalpaiguri,2023,final,gp_head,gp_head,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,source_cell,118,80,118,80,60,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Nadia,2013,final,gp_deputy,gp_deputy,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,source_cell,94,68,9,6,53,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Nadia,2013,final,gp_head,gp_head,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,source_cell,280,186,12,6,150,0,data/wb/derived/office_scans/row_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Nadia,2013,handbook,gp_deputy,gp_deputy_head,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,source_gp_office_row,187,187,187,187,184,187,data/wb/derived/nadia_2013_handbook/office_reservations.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Nadia,2013,handbook,gp_head,gp_head,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,source_gp_office_row,187,186,187,187,184,187,data/wb/derived/nadia_2013_handbook/office_reservations.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,0f53ed43f261a010c010260fbd0441394eb3a34627cc199fce6f896c2eb31568,source_cell,2,2,2,2,1,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,112184f5bb077cb216d80bce9dadf83b43e763cc91c24d6f9c8907b0b0604d91,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
